Accnumber,UniProt ID,Genename,Proteinname,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
D3YYU8,sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1,Obsl1,Obscurin-like protein 1,,23.1405099918377,,26.0192380980242,,26.0301318883976,,,,,,,25.8879478886787,26.0182771759816,26.0396597183659,26.0951081811517,26.2990242034783,26.2278221799539,25.6007270702413,26.1166613006249,26.1515699488992,25.836601457721,26.213217229857,25.8310165625017,0.963176083701452,0.0953912993331247,1.83096086806978,25.8338341930476,2.36283405205514,-5.09123403136917,0.0318554171853634,0.0445668058786533,1,1
D3Z7P3,"sp|D3Z7P3|GLSK_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1",Gls,"Glutaminase kidney isoform, mitochondrial",,24.2885292380293,,24.0602498147227,23.9127999292005,,,,,,,,23.78642341033,,,23.9108692120129,23.8507805540318,23.844957312607,23.6376707829342,,23.7044465447198,,23.5513879414142,,-0.331973599977029,-0.567578084301811,-0.0963691156522475,23.8548114740002,-3.12721364185718,-3.79469459413901,0.0103794718921513,0.0158371710219548,-1,-1
O08663,sp|O08663|MAP2_MOUSE Methionine aminopeptidase 2 OS=Mus musculus OX=10090 GN=Metap2 PE=1 SV=1,Metap2,Methionine aminopeptidase 2,26.4542189389504,26.213095057165,26.4167945957126,26.4264048651396,26.6740657451597,26.3496096833743,26.2503495175192,26.310310418611,,,26.3126419342066,26.3147313328961,26.0072058954464,26.0142083618673,,,,26.0006613200471,26.3605919981636,26.2234243335589,25.6560946203146,26.1899593598803,26.3851998442002,25.8352398864249,-0.297490473328633,-0.47866876228147,-0.116312184375796,26.2313056688757,-3.4340890830556,-3.12821630258048,0.00274619304849614,0.00456290419050371,-1,-1
O55131,sp|O55131|SEPT7_MOUSE Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1,Sep-07,Septin-7,25.9262769740644,25.4912786258272,25.3802070785799,25.6794486467959,24.2273804398796,25.8061136263285,25.3553844841536,25.2537290640404,25.3872083675613,25.3545532934891,25.7355443228474,25.5250434482334,26.0631148866879,25.9782572647505,26.0902671111681,26.0659962916712,26.1404315694153,26.023410400769,26.1454142659607,26.0706281212033,26.1572890447916,26.1408042921425,26.0243491887241,26.0949102814788,0.656058695580196,0.404931112550171,0.907186278610221,25.7548767121068,5.38929711862569,1.84718344521945,1.51209204116447e-05,3.45348466183937e-05,1,1
O70194,sp|O70194|EIF3D_MOUSE Eukaryotic translation initiation factor 3 subunit D OS=Mus musculus OX=10090 GN=Eif3d PE=1 SV=2,Eif3d,Eukaryotic translation initiation factor 3 subunit D,,,,,,23.8732554274996,,23.1458205290444,,,,,23.8885748394793,,23.8511341918028,24.4012840618274,25.2439520215541,24.5979253897231,24.5506145548872,,,24.3880602816073,,24.506204772228,0.918930785866657,0.207565861314408,1.63029571041891,24.2446826069653,2.87006734267647,-4.11635087085004,0.0163313494214232,0.0243040020166709,1,1
O88441,sp|O88441|MTX2_MOUSE Metaxin-2 OS=Mus musculus OX=10090 GN=Mtx2 PE=1 SV=1,Mtx2,Metaxin-2,25.9240762483345,24.9805906201821,26.1641805100566,26.1067782131239,26.0213615611071,25.5495629817229,26.1491109135312,26.3124464041307,26.4870105384722,26.1166652201069,25.9841466743301,25.9262554045284,25.7406004286645,25.7268153244084,26.0079138171882,25.4488560963534,25.2917465183012,25.3487232357813,25.4332490327679,25.5726617174405,25.4388758796792,25.7832192519598,25.7938934227262,26.1542905677738,-0.331778333048543,-0.60332509345993,-0.0602315726371564,25.8109596076113,-2.52050314089224,-5.14167959116343,0.0187080193061707,0.027473845796486,-1,-1
O89079,sp|O89079|COPE_MOUSE Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=3,Cope,Coatomer subunit epsilon,,24.7159942095659,,,,,,,24.2805284682055,,24.4181331950202,,25.0057511343234,24.9183022664802,25.1200924584721,24.9591273156826,,24.7150705595287,24.8108366887956,24.7885383042184,24.7672131999567,24.7680600806918,24.7339390810352,24.8911595743028,0.390092648174377,0.176561810839292,0.603623485509463,24.7780533240199,3.91038989186357,-2.06535558992782,0.00151083107839857,0.0026231215845577,1,1
P02088,sp|P02088|HBB1_MOUSE Hemoglobin subunit beta-1 OS=Mus musculus OX=10090 GN=Hbb-b1 PE=1 SV=2,Hbb-b1,Hemoglobin subunit beta-1,34.3066684453035,34.380524247887,34.3652382365262,34.907019870685,34.8936667717911,34.8882858249421,34.2489341568121,34.2554230398811,34.2799797545816,33.8169803944118,33.8704563596562,33.8185970878056,34.4235107689262,34.4000230687684,34.3973783977427,33.4893352112515,33.4805523978993,33.6013087924122,34.1910249553509,34.1967489147542,34.1637478365196,32.7618050421975,32.779194079534,32.6865220189327,-0.621718558832868,-1.06944072295423,-0.173996394711509,34.0251219031072,-2.86463362565159,-4.40053064896803,0.00849496910398452,0.0131840463693136,-1,-1
P03930,sp|P03930|ATP8_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10090 GN=Mtatp8 PE=1 SV=1,Mtatp8,ATP synthase protein 8,27.9091570773468,27.999407904597,28.0467020270243,28.5760036108847,28.1352283402488,28.5092448533983,27.9955618556086,27.9826466037154,28.0508136228077,28.2647139922246,27.3721219728925,27.2609702150415,27.8976812808275,27.8262983755841,27.8806876923136,27.7752939111582,27.8246749136021,27.8267849802602,27.6305380991841,27.5922729105973,27.5983920690326,27.0685682170288,27.0878487920889,27.1326913984552,-0.413403286304789,-0.700624613504794,-0.126181959104783,27.8018460298301,-2.96921118694139,-4.16579157911307,0.00663682200851764,0.010468538418664,-1,-1
P05132,sp|P05132|KAPCA_MOUSE cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus OX=10090 GN=Prkaca PE=1 SV=3,Prkaca,cAMP-dependent protein kinase catalytic subunit alpha,27.6643894416777,27.79154876039,27.8886818302327,27.7715575646442,27.7056071616842,27.7261366680376,27.8929826141805,27.9522052350005,27.9750649415517,28.0437959655396,28.0208183425301,28.044854438088,27.4545151853093,27.4346254446815,27.4597254388537,27.4228748542826,27.4484568386285,27.5524149313588,27.6794078273028,27.6535993602694,27.5999408561281,27.489751637437,27.5251832975843,27.5107787422214,-0.35386404579161,-0.456531739355101,-0.251196352228119,27.6962048907339,-7.10888649138033,6.12960681871064,2.21977884768828e-07,6.26557460322151e-07,-1,-1
