Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech13_rep1,180808_AM_Ech13_rep2,180808_AM_Ech13_rep3,180808_AM_Ech14_rep1,180808_AM_Ech14_rep2,180808_AM_Ech14_rep3,180808_AM_Ech17_rep1,180808_AM_Ech17_rep2,180808_AM_Ech17_rep3,180808_AM_Ech18_rep1,180808_AM_Ech18_rep2,180808_AM_Ech18_rep3,180808_AM_Ech19_rep1,180808_AM_Ech19_rep2,180808_AM_Ech19_rep3,180808_AM_Ech20_rep1,180808_AM_Ech20_rep2,180808_AM_Ech20_rep3,180808_AM_Ech21_rep1,180808_AM_Ech21_rep2,180808_AM_Ech21_rep3,180808_AM_Ech22_rep1,180808_AM_Ech22_rep2,180808_AM_Ech22_rep3,180808_AM_Ech23_rep1,180808_AM_Ech23_rep2,180808_AM_Ech23_rep3,180808_AM_Ech24_rep1,180808_AM_Ech24_rep2,180808_AM_Ech24_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,25.74102496244753,25.830207915614597,25.440764916993025,25.43480200110213,25.57315853629187,25.647025215713448,26.720652942634626,26.719156082571537,26.877183428211776,26.748245923111064,26.53502996470261,26.78138269167169,26.7087988284328,26.896338287623927,26.676367927380188,27.11704130621513,27.13950182359661,27.16963946467249,26.13739111284344,25.9127140632036,26.06449884461178,25.921705672803988,25.98822246749858,25.779878770674625,26.227846807011705,26.122942433601764,25.933098776203263,25.979335692612025,25.99729874385116,26.270336847824023,1.2296142978749351,2.768306894312938e-07,1.2296142978749351,4.5668333045434205e-09,2.768306894312938e-07,-0.812839036507043,1.1720247212757663e-10,6.528494460944201e-09
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,27.74308964264377,27.676494731147443,27.686591081599826,27.33781795133388,27.4137482409835,27.339532153978947,27.879968324784794,27.990808444345465,27.932950791539625,27.89825075423593,28.02922183463873,28.0688228253258,27.88116930656349,27.969555779838103,27.938145371902756,27.93495755682883,27.81749815075139,27.826165561391587,27.71041219744536,27.669219347601203,27.788629263045685,27.813584453427676,27.82957592776476,27.89566379587061,27.84285409488104,27.76605668710872,27.791454985564283,27.676569000013345,27.7793390180038,27.75755598493369,0.3977472582309822,0.0084175770719859,0.3977472582309822,0.0027568483860216,0.0084175770719859,-0.1538833288738601,2.8668769348166724e-05,0.0001488320746261
D3Z4I3,sp|D3Z4I3|RBM24_MOUSE RNA-binding protein 24 OS=Mus musculus OX=10090 GN=Rbm24 PE=3 SV=1,Rbm24,RNA-binding protein 24;RNA-binding protein 38,23.98123816673251,24.06233098568261,24.055415684317552,23.65277163590832,24.120732838011374,24.033194501967188,24.38076690281232,23.82284573032449,,24.67641598613569,24.555708384759807,24.358309311283683,,24.34591925641608,24.37708990074149,24.075469105742567,24.36803376713094,24.39331102923293,,,24.065152942686293,24.148041259439047,,23.85402575668927,23.945392160659807,,23.91103767130713,24.025440239733147,23.84879907369502,23.50498071059291,0.3511063020214067,0.0118194351848648,0.3511063020214067,0.0041061211025537,0.0118194351848648,-0.4225282106076733,0.0007518321033145,0.0025113873013473
E9PV24,sp|E9PV24|FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1,Fga,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,26.594778394386413,26.66761009980103,26.58818269492607,27.015824464181883,26.880458761883983,27.155223746539065,25.74128912064065,25.19213877324563,25.25890777047367,26.23004270204544,26.149370737620075,26.229826294748083,26.589642197941945,26.727574901067,26.64417917997399,26.49266374027516,26.25974446319061,26.32119458991564,26.7804700617992,26.759960850218683,26.803711659590864,26.940818061267475,26.865650750154533,27.064481133082836,26.843661390580284,26.75784025139512,26.88272417051586,26.60378515698157,26.603188095129447,26.697915770653,-0.6639651543582517,0.0053012443679533,-0.6639651543582517,0.0016239366566211,0.0053012443679533,0.6473027400192564,0.000302431958918,0.0011332950315091
E9PZQ0,sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,Ryr1,Ryanodine receptor 1,31.44824321321968,31.40166809945984,31.42716751471268,31.71226795740517,31.726216555575697,31.680165483120344,31.19072822659504,31.276357629099508,31.190886082729985,31.08062138366073,31.07118575290755,31.062190704869533,31.07471718152953,31.150394741004074,31.16538933977965,31.135772343863337,31.155585100067,31.10526881825898,31.61294349248868,31.551538222273805,31.60254659201165,31.599925056635374,31.47964229948722,31.591961668032518,31.601147110183284,31.58153091327468,31.609948201783716,31.166259702457687,31.215368079478587,31.21396815321623,-0.4276966952184935,0.0026289366240903,-0.4276966952184935,0.0007015599918727,0.0026289366240903,0.3473068489132132,1.9817916408480604e-06,1.570950989149174e-05
E9Q9K5,sp|E9Q9K5|TRDN_MOUSE Triadin OS=Mus musculus OX=10090 GN=Trdn PE=1 SV=1,Trdn,Triadin,27.56474222106896,27.386907921904363,27.367942932299663,27.629312663084328,27.68205758885797,27.701003809052157,27.80283288473989,27.646517856928867,27.41785201894536,26.690053308846164,26.878812557841336,27.210762741579344,26.731195928092973,27.02296967027969,27.163703511357458,27.10348681974942,27.10327821981639,27.29000289995696,27.044472338100853,26.89288365698845,27.03195376110164,27.39159360560806,27.20175993104648,27.404109763854795,27.468086815906368,27.46541820558834,27.287477748175323,27.005339426896786,26.88153529260291,27.307597659803463,-0.3835388212000907,0.0114239203501036,-0.3835388212000907,0.0039422920711232,0.0114239203501036,0.0267299822949667,0.819536043093381,0.9602409237154396
O08528,sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1,Hk2,Hexokinase-2,27.84068115686572,27.650142799501268,27.824166971069072,27.73418598681636,27.94694982202705,27.73507912798744,27.2990567891885,27.15118649231744,27.34979675542711,27.385112829604587,27.3532139091373,27.37148391569182,27.441161130479298,27.481953038162757,27.60388622052755,27.476504641841117,27.324430146630245,27.2863730311048,27.7704587863298,27.71161949368843,27.721429606192807,27.502265572529566,27.48186785023921,27.58222608807393,27.69630107830529,27.56514399318272,27.57967519066991,27.58625838749365,27.66683918114902,27.592888293588597,-0.4115210690351105,7.646304753506223e-05,-0.4115210690351105,9.571793432336758e-06,7.646304753506223e-05,0.2444012184442066,8.193256326489806e-06,5.227957055385601e-05
O08547,sp|O08547|SC22B_MOUSE Vesicle-trafficking protein SEC22b OS=Mus musculus OX=10090 GN=Sec22b PE=1 SV=3,Sec22b,Vesicle-trafficking protein SEC22b,25.77902803082426,25.57026069947793,25.70360528074079,25.78353095552192,25.779818593110438,25.864464649714293,25.936192477397555,26.252044580186546,26.195114745357337,26.13629167663552,26.37975750348311,26.403159321233236,26.15578090749477,26.337006160203437,26.246356182965336,26.36522619099842,26.02209192610382,26.139433496917405,25.862097087356624,25.86582136250325,25.887205007176156,25.917159610594883,26.0373731131456,25.800400612022468,25.983751506648048,26.025226861615764,25.756682964763733,26.189917168791283,26.13612498301958,25.913595041578976,0.4672532291830933,1.7706165490777955e-05,0.4672532291830933,1.4432973325816091e-06,1.7706165490777955e-05,-0.2660916541466775,0.0001055489578436,0.0004688284528358
O08553,sp|O08553|DPYL2_MOUSE Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2,Dpysl2,Dihydropyrimidinase-related protein 2,28.413055249481136,28.34937412475574,28.37310448967824,28.26879682151372,28.34623267778045,28.34497404659957,28.803707962352263,28.90351762263137,28.77953624615285,28.925616784325975,28.845273828639986,28.867376123283247,28.83226594720627,28.81539359189141,28.90820832692792,28.702671176560635,28.66490709355308,28.742084832956294,28.63269136958672,28.61128864013564,28.581671326049385,28.41668669489724,28.44204752834824,28.455734492978813,28.45595741879052,28.362294920403897,28.50286678177401,28.394079733221183,28.46779537551997,28.431670413149728,0.4666237264053023,1.7654283532213397e-08,0.4666237264053023,9.626014044116295e-11,1.7654283532213397e-08,-0.3363145701354995,1.8284354881019507e-09,6.078073453190517e-08
O08600,"sp|O08600|NUCG_MOUSE Endonuclease G, mitochondrial OS=Mus musculus OX=10090 GN=Endog PE=1 SV=1",Endog,"Endonuclease G, mitochondrial",25.50795672752612,25.627664312797936,25.03755131200803,25.295869552720468,25.15878831279914,25.76855799153689,24.537114191482765,25.402527808339364,24.92795835088836,24.59432704763386,24.48431863604575,24.250353094510317,24.49471318335636,24.522730870930044,23.82370384354808,24.53167823548567,24.28038170079701,24.389750770950105,24.826210606865168,24.776811784435864,24.703948504757296,24.85179725342405,25.23615529698583,25.06325858652405,25.6319594486814,24.986310197688827,24.91730754228321,25.05144714651971,25.152983196165053,25.48679275538935,-0.8794348904007911,0.0004867128322472,-0.8794348904007911,9.25451186527074e-05,0.0004867128322472,0.5371187154793446,0.0007141041139278,0.0023931196403337
O08749,"sp|O08749|DLDH_MOUSE Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",29.833931570447408,29.79857834758315,29.843707968719023,29.89908991295833,29.965369223226176,29.862542120492986,29.67770277747551,29.777973037774924,29.78263435197057,29.59824129216881,29.423643529582662,29.556311957552,29.560398348434383,29.55434386297567,29.526386322429484,29.633491985580267,29.50212508509689,29.56952555417889,29.67016786869499,29.71188975507861,29.77501267247119,29.80664639018312,29.586866670531247,29.705373364813493,29.79008969864481,29.832199043899926,29.80063565651323,29.698954745101044,29.706828912477704,29.699762590840592,-0.2703050151361701,3.4842197900846294e-05,-0.2703050151361701,3.615643980645621e-06,3.4842197900846294e-05,0.1351374386691581,0.0013442517059197,0.0041412597397617
O08795,sp|O08795|GLU2B_MOUSE Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh PE=1 SV=1,Prkcsh,Glucosidase 2 subunit beta,25.48275550478248,25.20514189164938,25.1099365291376,24.399616598276083,24.991047227219543,24.625302609375872,25.407484241188097,25.47436123569356,25.4999712115483,25.55933978647452,25.598283040855293,25.53839832294313,25.659166972907567,25.74057902430289,25.625647366181497,25.45600204405361,25.50457996376388,25.388628128104216,25.557252333752363,25.263634301184386,25.442614091094544,25.421110339739023,25.291064202778845,25.161753945918093,25.27239993120586,25.19432041669093,25.36701414698764,25.233703719341527,25.191645075071254,25.481067133219156,0.5687367180945557,0.0377955618823827,0.5687367180945557,0.0161378430162527,0.0377955618823827,-0.2145718084194143,0.0001800781251752,0.0007378549025572
O08807,sp|O08807|PRDX4_MOUSE Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1,Prdx4,Peroxiredoxin-4,26.523520615721637,26.48719188128164,26.71027686601588,26.3138526292205,26.96066501112877,26.097394455766437,26.58509065056177,26.996868174519847,26.751484346922744,27.205210450532668,27.09632640129626,27.28162528116539,27.1158939601496,27.22329736924969,27.40271219558951,27.05589736123116,27.15134371081323,26.94548384713304,26.492581807948557,26.500027689089958,26.92036609144206,26.38502430190034,26.320709275943678,26.66798825208566,26.317329680774264,26.43732955483455,26.5828068974294,26.005163573067883,26.0281365700539,25.898846756558207,0.5521192359079379,0.0120283306677685,0.5521192359079379,0.0041845284273605,0.0120283306677685,-0.6879102748363728,1.835212443754452e-06,1.5033582639562515e-05
O09106,sp|O09106|HDAC1_MOUSE Histone deacetylase 1 OS=Mus musculus OX=10090 GN=Hdac1 PE=1 SV=1,Hdac1,Histone deacetylase 1,23.747107290039757,23.925927722902248,24.071355421691408,,23.8517978307379,,24.574783966535875,24.017873438535204,24.24979118379669,24.270316926761765,24.539915210258958,24.38348835193957,24.3716979991132,24.42984966283897,24.44625520230665,24.244699669125318,24.568997375569143,24.11122627355538,24.296951421455454,24.484270731764628,24.87396683619323,,24.03408928386539,24.140055469895245,24.089491425656487,,23.90356480189056,24.902884038163474,23.98319262776149,24.33507003062336,0.4516942053519024,0.0042865526174381,0.4516942053519024,0.0012583038978894,0.0042865526174381,-0.0463876049677942,0.7123667428859606,0.8661875263055839
