Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech13_rep1,180808_AM_Ech13_rep2,180808_AM_Ech13_rep3,180808_AM_Ech14_rep1,180808_AM_Ech14_rep2,180808_AM_Ech14_rep3,180808_AM_Ech17_rep1,180808_AM_Ech17_rep2,180808_AM_Ech17_rep3,180808_AM_Ech18_rep1,180808_AM_Ech18_rep2,180808_AM_Ech18_rep3,180808_AM_Ech19_rep1,180808_AM_Ech19_rep2,180808_AM_Ech19_rep3,180808_AM_Ech20_rep1,180808_AM_Ech20_rep2,180808_AM_Ech20_rep3,180808_AM_Ech21_rep1,180808_AM_Ech21_rep2,180808_AM_Ech21_rep3,180808_AM_Ech22_rep1,180808_AM_Ech22_rep2,180808_AM_Ech22_rep3,180808_AM_Ech23_rep1,180808_AM_Ech23_rep2,180808_AM_Ech23_rep3,180808_AM_Ech24_rep1,180808_AM_Ech24_rep2,180808_AM_Ech24_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,30.17317585442801,29.99204459186037,30.013023048604342,30.22171211890513,30.39812304292013,30.168568523914644,30.167562687643034,30.261262989572863,30.169076360244603,29.754859178861505,29.491467239427276,29.66795111230918,29.662214167642198,29.73568202097028,29.817045627878542,29.970800188171577,29.84180841648565,29.86416706684967,29.82662346296265,29.8243104361091,29.84954883951272,30.025683082464155,29.937897754703428,29.877961794137157,29.844612266641537,29.70691560115136,29.77939946183093,30.02192440446125,29.87437765387405,29.93429040714201,-0.2941164421007372,0.0153737641208608,-0.2941164421007372,0.0056243659132115,0.0153737641208608,0.008304009077829,0.9101824382947836,1.0
A2AJI0,sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1,Map7d1,MAP7 domain-containing protein 1,22.55109580051095,22.601502755063382,22.20669198669334,22.43935987161076,22.747015679909072,22.486026914199226,22.939480263516547,22.664549345330244,23.04455332735158,22.813751033071068,23.04688885623076,22.671314330263783,23.226123685574407,22.884024075548723,22.93800775114223,22.714863962160194,22.81036089510992,22.99831434102273,22.589994034101338,22.60143483964141,22.48774825439302,22.67002925884341,22.91718413743025,22.43837000368728,22.102546877707912,22.214836718122548,22.24198577151861,22.08544640730201,22.6374981086824,,0.3907371541957261,0.0049255306838904,0.3907371541957261,0.0014793321170927,0.0049255306838904,-0.4426489211544044,0.0001985852253317,0.0007901238405573
E9Q7G0,sp|E9Q7G0|NUMA1_MOUSE Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1,Numa1,,24.28218078796448,24.15655971751342,24.036219183528445,24.12119742002828,24.54109699127379,23.82426512317232,24.16116339457846,24.74611501038075,24.666999094489032,24.96103901483254,24.71447843824159,24.930701240399223,25.060388794165117,25.12950386993441,25.01355936526396,25.081401586618696,25.0113834660865,25.149507609185715,24.62666977716454,24.509832991951445,24.400473699648952,24.316481322212173,24.51826315971907,24.642233708382257,24.46302214660901,24.666928065839794,24.52460444463861,24.40746321700032,24.097658187589985,24.035142853903277,0.7252668697678786,0.0005625814202296,0.7252668697678786,0.0001116427951838,0.0005625814202296,-0.4514556091263841,0.0001603136036273,0.0006634665403131
O08529,sp|O08529|CAN2_MOUSE Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4,Capn2,Calpain-2 catalytic subunit,28.624726966951457,28.89625097854156,28.78278392773198,28.918239552347966,28.889877259346736,28.768178284983605,29.23943794650065,29.209629173467363,29.258126572519625,29.27227820297559,29.10672810570817,29.262759070686243,29.126570233127588,29.24965343975667,29.14300965045346,29.240071198333656,29.099009543745836,29.04694557022651,29.007428618845665,29.06839416617593,29.004589140010943,29.11650075363932,29.04220705046824,29.00400791724743,29.151081763528587,29.04466560420953,28.99568356521436,28.94702769371571,28.99383016058221,28.970679345605756,0.374508730641228,0.0005368672217913,0.374508730641228,0.0001054979256795,0.0005368672217913,-0.1590102440214771,1.2267515064573464e-05,7.122070013545326e-05
O08532,sp|O08532|CA2D1_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus OX=10090 GN=Cacna2d1 PE=1 SV=1,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,28.17921678983422,28.18504548893983,28.16873523843269,28.253395300546025,28.22088858449041,28.103838637369027,27.819465417168963,27.7918338042073,27.812610124039463,27.44838764550196,27.36576685475817,27.426010857764247,27.480638616680785,27.51180185310616,27.564773252288823,27.50416982400177,27.595347145126524,27.475523488749324,28.052390753965533,28.01505001405068,28.141353817064594,27.918586037691885,27.87234285732092,27.890022752355605,28.14718671429001,27.90808682384437,28.086402930454472,27.755239715575613,27.89397634233437,27.865346772098874,-0.6188259329859065,2.2938711354284933e-07,-0.6188259329859065,3.6728649912246613e-09,2.2938711354284933e-07,0.3958047206377841,6.965681442568017e-07,6.902052621698405e-06
O08585,sp|O08585|CLCA_MOUSE Clathrin light chain A OS=Mus musculus OX=10090 GN=Clta PE=1 SV=2,Clta,Clathrin light chain A,24.462034549564034,24.285216849913127,24.225413746557532,24.0276124422661,24.45140179860597,,25.24990622696138,24.76604183289485,24.513650984549315,24.5835873327212,24.445476909843084,24.54484165017542,24.65307440639554,24.805253155982857,24.71457404860512,24.859729216725068,24.650511474281178,25.132960781408364,24.782388338143043,24.600380077326133,,,,,,,,24.70561080676833,,,0.4529647909972567,0.0052156918855619,0.4529647909972567,0.0015892549753192,0.0052156918855619,-0.0471742609661092,0.6030956810945565,0.7621988383162656
O09044,sp|O09044|SNP23_MOUSE Synaptosomal-associated protein 23 OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1,Snap23,Synaptosomal-associated protein 23,22.226496063759367,,22.277883253848668,,,,22.722820367059445,22.435973267542213,,22.39673799478149,22.343126397858377,22.24688258746521,,22.715955877101205,22.63268409964369,22.53540556037168,22.54029317763566,22.47953924666858,,22.523217531183896,,22.18525183809176,,,,22.51791780038944,,,,,0.2527521988087393,0.0050254012104099,0.2527521988087393,0.001516642189653,0.0050254012104099,-0.0961461343910556,0.4919870327341394,0.6500642771369857
O09161,sp|O09161|CASQ2_MOUSE Calsequestrin-2 OS=Mus musculus OX=10090 GN=Casq2 PE=1 SV=3,Casq2,Calsequestrin-2,30.04802558332525,30.116597617663707,30.176408410485934,29.928885188778807,30.029258215710843,29.98687691828692,30.44209106710709,30.50783405970204,30.435548850572,30.54464473028184,30.55420381268196,30.534123645245607,30.50826509558277,30.530719984191684,30.58775563190416,30.42488284933815,30.43128994644756,30.35031064944316,30.028822898076317,30.1277695091652,30.15641906236222,30.049129346725973,29.956602265005287,30.016954200793133,29.93206663582805,29.840962379606957,29.93940649334724,29.92506789509642,29.97919461797962,30.01570341513142,0.4399638711662526,4.136323397439878e-05,0.4399638711662526,4.555775891406367e-06,4.136323397439878e-05,-0.4902976336150146,4.341769174144635e-13,8.948386267912092e-11
O35226,sp|O35226|PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,Psmd4,26S proteasome non-ATPase regulatory subunit 4,25.98305187445143,26.000088354521623,25.89750527079768,25.85701164085636,26.088290449119203,25.907533371606178,26.29412046347072,26.332296321510714,26.248304281890658,26.42691877032704,26.226448650643608,26.260563398027752,26.30173458745088,26.11908016517778,26.201239092981325,26.14242846298028,26.09502960694685,26.102653417245453,26.02814232134245,26.088050488834387,26.08237935679689,26.093335833601262,25.965828456056315,25.95246384758136,26.012712442206084,25.893855704689184,25.86663678090371,26.02773128664609,26.004747446795747,26.109798822523253,0.2736546079956774,0.0003293496855549,0.2736546079956774,5.864693575869065e-05,0.0003293496855549,-0.2187612025563616,6.577493151107696e-06,4.276408007707559e-05
O35459,"sp|O35459|ECH1_MOUSE Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1",Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",27.36798472727804,27.36810059793139,27.22197588314546,27.124739019312084,27.188139758846244,27.155901181754345,26.88610171996301,26.947428412218557,26.82263602087404,25.9321457338733,26.36249172272531,26.29000810849965,26.44932257692601,25.866427835689183,26.517902370457637,26.405324782140674,26.50384433006485,26.66355436838056,26.817374747079707,26.87879307499397,26.701321122787476,27.14233565107658,26.558899703687253,26.798257917761497,27.063432572712685,27.074384479948908,27.24633732909384,27.11741601195505,27.18963678387448,27.17346477668226,-0.7672078628935282,3.735172222690819e-05,-0.7672078628935282,3.993199950937566e-06,3.735172222690819e-05,0.5095388491534081,0.0002532091134674,0.0009772733761356
