Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech13_rep1,180808_AM_Ech13_rep2,180808_AM_Ech13_rep3,180808_AM_Ech14_rep1,180808_AM_Ech14_rep2,180808_AM_Ech14_rep3,180808_AM_Ech17_rep1,180808_AM_Ech17_rep2,180808_AM_Ech17_rep3,180808_AM_Ech18_rep1,180808_AM_Ech18_rep2,180808_AM_Ech18_rep3,180808_AM_Ech19_rep1,180808_AM_Ech19_rep2,180808_AM_Ech19_rep3,180808_AM_Ech20_rep1,180808_AM_Ech20_rep2,180808_AM_Ech20_rep3,180808_AM_Ech21_rep1,180808_AM_Ech21_rep2,180808_AM_Ech21_rep3,180808_AM_Ech22_rep1,180808_AM_Ech22_rep2,180808_AM_Ech22_rep3,180808_AM_Ech23_rep1,180808_AM_Ech23_rep2,180808_AM_Ech23_rep3,180808_AM_Ech24_rep1,180808_AM_Ech24_rep2,180808_AM_Ech24_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,30.173175854428006,29.99204459186037,30.013023048604346,30.22171211890513,30.39812304292013,30.168568523914644,30.167562687643034,30.261262989572863,30.169076360244603,29.754859178861505,29.491467239427273,29.66795111230918,29.662214167642194,29.73568202097028,29.817045627878542,29.970800188171577,29.841808416485655,29.86416706684967,29.82662346296265,29.8243104361091,29.849548839512718,30.025683082464155,29.937897754703428,29.877961794137153,29.844612266641537,29.706915601151362,29.77939946183093,30.02192440446125,29.87437765387405,29.934290407142015,-0.2941164421007372,0.015373764120860814,-0.2941164421007372,0.005624365913211574,0.015373764120860814,0.008304009077829022,0.9101824382947835,1.0
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,25.74102496244753,25.830207915614594,25.440764916993025,25.43480200110213,25.57315853629187,25.647025215713448,26.720652942634626,26.719156082571537,26.877183428211776,26.748245923111064,26.535029964702606,26.78138269167169,26.708798828432798,26.896338287623927,26.676367927380188,27.11704130621513,27.13950182359661,27.16963946467249,26.13739111284344,25.912714063203598,26.06449884461178,25.921705672803988,25.98822246749858,25.779878770674625,26.227846807011705,26.122942433601764,25.933098776203266,25.979335692612022,25.99729874385116,26.270336847824023,1.2296142978749351,2.768306894312938e-07,1.2296142978749351,4.5668333045434205e-09,2.768306894312938e-07,-0.812839036507043,1.1720247212757663e-10,6.528494460944201e-09
A2AGT5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,Ckap5,Cytoskeleton-associated protein 5,,,,25.049711470380018,,,,,,,24.989173187547234,25.110407680807626,,,25.06392140787467,25.908261675079192,,,,,24.840353887175755,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2AJI0,sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1,Map7d1,MAP7 domain-containing protein 1,22.55109580051095,22.601502755063382,22.20669198669334,22.43935987161076,22.747015679909072,22.486026914199222,22.939480263516547,22.664549345330244,23.04455332735158,22.813751033071068,23.04688885623076,22.671314330263783,23.226123685574407,22.884024075548723,22.93800775114223,22.714863962160194,22.81036089510992,22.998314341022734,22.589994034101338,22.60143483964141,22.48774825439302,22.67002925884341,22.917184137430255,22.43837000368728,22.102546877707912,22.214836718122548,22.241985771518614,22.085446407302012,22.6374981086824,,0.3907371541957261,0.004925530683890486,0.3907371541957261,0.0014793321170927757,0.004925530683890486,-0.44264892115440446,0.00019858522533173516,0.0007901238405573478
A2AM05,sp|A2AM05|CNTLN_MOUSE Centlein OS=Mus musculus OX=10090 GN=Cntln PE=1 SV=1,Cntln,Centlein,,,,,,,,,,,,,,,,,,,,,,,,,29.697641250292868,29.539184766120037,29.578038554032805,,29.44804367437756,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,27.74308964264377,27.676494731147443,27.686591081599822,27.337817951333882,27.4137482409835,27.339532153978947,27.879968324784794,27.990808444345465,27.932950791539625,27.89825075423593,28.02922183463873,28.068822825325796,27.88116930656349,27.969555779838103,27.938145371902753,27.93495755682883,27.81749815075139,27.826165561391587,27.710412197445358,27.669219347601203,27.788629263045685,27.813584453427673,27.82957592776476,27.895663795870615,27.842854094881037,27.766056687108716,27.791454985564283,27.676569000013345,27.779339018003796,27.757555984933692,0.3977472582309822,0.008417577071985961,0.3977472582309822,0.002756848386021603,0.008417577071985961,-0.15388332887386014,2.8668769348166724e-05,0.00014883207462612497
A2AN08,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,Ubr4,E3 ubiquitin-protein ligase UBR4,,,,22.890655382126187,,,,23.27988264895594,,,23.111625384098957,,,,,23.011046829408876,,,,,,,,,,,22.72020902574526,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2AQP0,sp|A2AQP0|MYH7B_MOUSE Myosin-7B OS=Mus musculus OX=10090 GN=Myh7b PE=3 SV=1,Myh7b,Myosin-7B,,,,,,,,,,,,,24.949221070418933,25.269854195975956,24.801965184520576,25.55878057574641,25.448876198870312,25.006766501393585,,,24.519798338396775,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2ASS6,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,Ttn,Titin,35.224380397769046,35.199102176054076,35.22363412062755,35.520601370572564,35.53199280337087,35.495045067898836,35.33906045174072,35.36657042924978,35.34891596799301,35.15801395021624,35.11766722448246,35.14082467807745,35.22529349297145,35.23714844471004,35.26816227492294,35.40043008988892,35.35699012526267,35.31801865772126,35.27731684753954,35.22183367704744,35.264531647519476,35.310162390364,35.2213711356886,35.27464902174009,35.18308003767883,35.13643913938359,35.146758911786165,35.254624971798144,35.29243996121647,35.32725973529092,-0.09270134044574974,0.3898191866738395,-0.09270134044574974,0.24569389785993087,0.3898191866738395,-0.03055235918196786,0.36590711378620855,0.5078347215578288
A2AUC9,sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1,Klhl41,Kelch-like protein 41,31.144661733913928,31.049535234993126,31.11980598618651,31.111922874593144,31.121422737621668,31.062178873493774,31.11173429933101,31.125311307178244,31.207412968782688,31.12057438531657,31.10166255048744,31.12026316810437,30.96713729432972,31.02474729351573,31.06139942475892,30.95389034715202,30.972199128244927,30.919427398034347,31.07150852228672,31.02173393032945,31.060309168055763,30.99757085578476,30.900952785409324,30.933174590770108,30.998493658683437,30.920862297124298,30.918676798916216,30.86166209744064,30.8954904765016,30.90433532569962,-0.044441276364022286,0.2637462066105513,-0.044441276364022286,0.15484372149382197,0.2637462066105513,-0.10008242151951308,0.005518241856963503,0.013835883780050826
