Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech01_rep1,180808_AM_Ech01_rep2,180808_AM_Ech01_rep3,180808_AM_Ech02_rep1,180808_AM_Ech02_rep2,180808_AM_Ech02_rep3,180808_AM_Ech03_rep1,180808_AM_Ech03_rep2,180808_AM_Ech03_rep3,180808_AM_Ech04_rep1,180808_AM_Ech04_rep2,180808_AM_Ech04_rep3,180808_AM_Ech05_rep1,180808_AM_Ech05_rep2,180808_AM_Ech05_rep3,180808_AM_Ech06_rep1,180808_AM_Ech06_rep2,180808_AM_Ech06_rep3,180808_AM_Ech07_rep1,180808_AM_Ech07_rep2,180808_AM_Ech07_rep3,180808_AM_Ech08_rep1,180808_AM_Ech08_rep2,180808_AM_Ech08_rep3,180808_AM_Ech09_rep1,180808_AM_Ech09_rep2,180808_AM_Ech09_rep3,180808_AM_Ech10_rep1,180808_AM_Ech10_rep2,180808_AM_Ech10_rep3,180808_AM_Ech11_rep1,180808_AM_Ech11_rep2,180808_AM_Ech11_rep3,180808_AM_Ech12_rep1,180808_AM_Ech12_rep2,180808_AM_Ech12_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2A432,sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1,Cul4b,Cullin-4B,,,22.672957029288554,22.846389695569993,,,22.09517341031362,,,22.669018253384806,,,,,,,22.443255157883318,,,,,,22.377710664647033,,,,,,,22.200573537574183,22.50578738606759,,22.495156915379834,22.22148796659892,,22.454353426322438,-0.1604016858740671,0.7086544237642152,-0.1604016858740671,0.4033684760954096,0.7086544237642152,-0.035011064876581344,0.6613964048817176,0.8619137638235309
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,25.48184857780738,26.65667318874411,26.041877959834242,24.98830643189869,24.766548182993734,26.369585526314946,26.702691620959,26.08980195448803,26.826934023639765,25.345771589817925,25.47586803267166,25.387950224840395,27.806953991558146,27.396236695633615,27.955563530220328,26.915984257034456,26.22026391980171,26.752268064839697,27.563472561014276,26.564254761358875,26.724328064910992,26.046928091861957,26.07694617685361,27.023434193710433,25.172246140400702,26.15023810306559,26.540587280674302,26.668840184881944,26.401279928198825,26.396589656767276,25.71150890303143,25.077614832869987,25.013208941812596,26.335416753467463,26.294213066332187,26.245630407140922,1.0760647495656883,0.014526010815227206,1.0760647495656883,0.0007597011968288349,0.014526010815227206,-0.9199383425129,0.0015750968023483464,0.01624913817492387
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,26.12442425436988,26.20724179204621,26.450050881853077,26.90526430299644,26.823515330332217,26.985194138919727,27.131142437336212,27.218746779944972,27.328164257051967,27.062102179498844,26.96177804799207,27.168118958587087,27.33677753062626,26.99809054620929,27.201686078254866,26.77250320070776,26.51375214765837,27.193539854168275,27.026370922707237,27.052771090072095,26.983332593708635,26.61693452408009,26.656507834700857,26.73970128658547,26.356759094060113,26.54829779643796,26.30857455355523,26.03683565033661,26.26467676245843,26.304397715097497,26.32752552043696,26.41744189304335,26.47192555626143,26.783172788410383,26.67439283682686,26.794815424221404,0.060518687379204295,0.878791430666888,0.060518687379204295,0.6624402062831556,0.878791430666888,-0.4835960015277472,7.421243175370329e-05,0.00178916493075776
A2AGT5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,Ckap5,Cytoskeleton-associated protein 5,25.81197778626181,25.31644245613347,25.297488947540494,25.49544575295761,25.214951190743086,25.261131456921998,25.316746562871447,25.638134358684944,25.56661027556706,25.377539355317914,25.514911659315334,,25.48346131382718,25.28950079875284,25.314841696420135,25.323540174943847,25.330913485351935,25.251651218073203,25.443236841922506,25.507460418038672,25.480739598175028,25.29542301181487,25.475232266901934,25.364543814076363,25.17947712814989,25.392459230982404,25.328575650666583,25.350955433275363,25.310133438647743,25.35298331232814,,25.567001795005567,25.498973301405425,25.3929458307738,25.41540052890453,25.373737732661652,-0.057352777321959536,0.6720250451867172,-0.057352777321959536,0.3665968216044664,0.6720250451867172,-0.001623260815684091,0.968092311327562,1.0
A2AJI0,sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1,Map7d1,MAP7 domain-containing protein 1,23.25043998270554,22.770269799718072,23.290552699441715,23.74344531329607,23.21831741133009,23.726010865478745,22.509902892026172,,22.536255846300723,23.013895664023604,22.88371473065114,23.114202765102398,22.933080079087475,23.060534583011066,22.97721034241793,23.17950991852666,22.956034483128093,23.105697490367934,23.197032136134453,23.19660108268612,23.40461571369603,,23.24686023257676,22.70738093735021,22.654768174269055,22.65185252647341,,23.459127243685824,22.917223994048587,23.058761809505203,22.690049282728815,22.142359101415465,22.52835401105665,23.243945906919407,23.365203001644602,22.42694489505241,-0.008404633735597855,1.0,-0.008404633735597855,0.9516959000953571,1.0,-0.2569060956530258,0.07638162104945254,0.23595325276836454
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,27.17117038080399,26.970304154924698,27.107888483798536,27.296900073575532,26.61329762294187,26.579465409458297,27.109021326787985,27.346526992128133,27.23078132457329,27.20702833194418,27.30353483425788,27.270213042983443,27.593638108944404,27.40629156839007,27.456302640203305,27.30135358163146,27.240440988465664,27.195435970774827,27.616941441551898,27.547493208457876,27.591983188485884,27.338710187292723,27.44245718787247,27.22732547257275,27.302503502460205,27.093517033777808,27.2512051050664,27.200791705843383,26.842075969103117,27.33627914694048,26.80902087721715,26.859481278710742,26.921606183616074,27.03838078424024,27.147377685314986,27.008132923392086,0.3126867972054619,0.022903337489964943,0.3126867972054619,0.0015179398606965044,0.022903337489964943,-0.3456667790800587,5.188810426017604e-05,0.001403509942061835
A2AN08,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,Ubr4,E3 ubiquitin-protein ligase UBR4,22.98603329225791,22.98674657651731,,22.782124914038608,22.959143382976578,22.954692742492416,,,,,,,23.54210584460337,23.188278222751997,22.994067999500924,,,,22.960591339864234,,,,,,,,,,,,,,,,,,0.23751267002356968,0.45858245410329,0.23751267002356968,0.1724336189008764,0.45858245410329,0.0,1.0,1.0
A2ASS6,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,Ttn,Titin,33.06295515521211,33.00961148684631,33.17610309901466,33.30100692023562,33.389555452711555,33.37444946791777,33.40420741213829,33.409161788924784,33.39144971522269,33.44050839980992,33.43688446099418,33.46894241387278,33.8942132785046,33.8614214087514,33.86660244683412,33.484190350056735,33.414167700765795,33.51226884572077,33.543985902295105,33.56524254602262,33.49646379236449,33.342982802528205,33.38127652888713,33.37225947824938,33.108216209715195,33.182683458054356,33.10432717589658,33.40245366413352,33.375019328404406,33.38975049348213,32.95586879817477,32.958418707638444,32.94888289911572,33.4099871578769,33.41942940565746,33.40343378114393,0.23918660900663014,0.039421224275848814,0.23918660900663014,0.00350134408581705,0.039421224275848814,-0.33971700014055983,0.0004052360164646737,0.005858368046958501
A2AUC9,sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1,Klhl41,Kelch-like protein 41,30.28526922456674,30.27862508197337,30.443259102991735,30.252837959070096,30.246576414080796,30.134651655989117,30.28009738299178,30.257380086570613,30.178323863606572,30.364693487746532,30.402156550869762,30.41538570287029,30.30535030175905,30.362487132243082,30.383491138838966,30.279679883158746,30.313412665759646,30.266247902254598,30.688610846108475,30.665368194630563,30.59870198629522,30.517980297213956,30.458851176124753,30.52083755164056,30.210131800467053,30.26210909701463,30.25141318441497,30.279935079499317,30.195414100021317,30.048442710287777,29.921860804993106,29.939787030219875,29.890421792303876,30.262358382071948,30.32178583656501,30.254754591092535,0.15181354689168103,0.06501088222194742,0.15181354689168103,0.007269025604618107,0.06501088222194742,-0.29355038892301266,0.00011777122197855886,0.0024412763583966687
A3KG59,sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1,Pm20d2,Peptidase M20 domain-containing protein 2,,,,,,,,,,,22.959047834185604,,,24.101877958328124,,,,,24.28775982503685,,,,,23.339907214504194,,,,,,,,23.863573650611176,,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
