Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,180808_AM_Ech34_rep1,180808_AM_Ech34_rep2,180808_AM_Ech34_rep3,180808_AM_Ech35_rep1,180808_AM_Ech35_rep2,180808_AM_Ech35_rep3,180808_AM_Ech36_rep1,180808_AM_Ech36_rep2,180808_AM_Ech36_rep3,180808_AM_Ech25_rep1,180808_AM_Ech25_rep2,180808_AM_Ech25_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,26.55497593898141,26.81060063534632,26.971195081401003,26.92223429837306,26.85247330430122,26.86322747182397,26.78049941598085,26.784574524291962,26.726767499633777,26.967200352615748,27.055945870528898,27.067375806204883,28.495806204882882,28.477495915611655,28.555459254913238,28.247920388940187,28.358797714410525,28.418957526985192,28.25110457490347,28.393375782184425,28.316823297888398,28.42705345569864,28.32800902527478,28.28188118632406,27.681444675779233,27.52465217605974,27.543631600943367,27.324753249758178,27.40271415317838,27.47442957488401,27.36938151847126,27.10155232307806,27.540781164712453,27.277175413242677,27.47891891858194,27.485736387730903,1.516301177377862,1.9996679609333888e-17,1.516301177377862,2.893231329118982e-19,1.9996679609333888e-17,-0.9456260976331023,1.0478006242220952e-14,4.617644195662551e-13
A2AUC9,sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1,Klhl41,Kelch-like protein 41,30.710053754819143,30.77704431624286,30.804649752297657,30.69502759881826,30.79033115251157,30.76469217828969,30.904020639111444,30.94285892281433,30.903939115765624,30.700489589644146,30.826397830429315,30.833858786312042,30.974839186213963,31.000589610912993,30.993713097946763,30.97836795066285,31.003366337818584,31.09099006454909,31.060957582984955,31.036514112285495,31.03581831869682,31.264862715002728,31.29942413129519,31.21348549910533,30.935425590483227,30.95259385341462,30.91058006125132,30.768269690627445,30.782495869635415,30.836288090732275,31.146789208663293,31.120667702148936,31.172815717934437,31.16801372512467,31.185018197546423,31.15953315452978,0.2749637475348976,3.000540966372574e-06,0.2749637475348976,9.066743153813621e-07,3.000540966372574e-06,-0.0678698121152479,0.2523347843886322,0.3735136800217233
A3KG59,sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1,Pm20d2,Peptidase M20 domain-containing protein 2,24.938753682786448,24.742688870873597,24.6263428524188,24.6808442657006,24.79524303451157,24.518276527746725,24.900041426134095,24.945214133739746,25.032745453176837,24.757770277287005,24.468906652821985,24.588981449434637,,,,,,,24.435731690150654,,,23.76781609318453,23.712089712003177,23.27384243492297,24.745069406989295,24.683615881161657,24.662141963265228,24.47291937214268,24.169577196862704,24.58607804438386,23.995770483337765,,24.15941783357141,24.47656664777343,24.715928576369876,24.625593080324816,-0.9522807363206702,0.04603356170438873,-0.9522807363206702,0.025668129564717587,0.04603356170438873,0.6837826070876396,0.05887641474208137,0.10829162465866964
E9PZQ0,sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,Ryr1,Ryanodine receptor 1,32.07981811689048,32.13172963912038,32.13007264151453,32.141293681766214,32.13365262354119,32.11989026901804,32.176866749228594,32.231140261755804,32.22541090526135,32.477915164850884,32.4924968958671,32.48147138811292,31.546756287159603,31.593107970644745,31.532064160564225,31.596049661665305,31.57939234312868,31.629155647901815,31.672242554862283,31.650201648018157,31.684489422388754,31.51153791146561,31.48734482480866,31.393487674305952,31.905858861664434,31.911991279277068,31.837323217085363,31.895821893558256,31.925356949544845,31.971971578262412,31.613411476552287,31.524274653910854,31.57320264240483,31.712915015910664,31.741894619809884,31.68201178044278,-0.6621606858344791,6.76683686938268e-11,-0.6621606858344791,9.225793171946336e-12,6.76683686938268e-11,0.20168365512583009,0.0006169464522394316,0.0018508393567182948
E9Q7G0,sp|E9Q7G0|NUMA1_MOUSE Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1,Numa1,,,20.96771255231883,,,,,,21.01778660712853,,21.7986994779098,21.87170994369537,,22.866589713504357,23.8308824240768,23.615593789978643,23.556556724625548,23.46818796065963,21.780526695459844,23.40040791981684,23.10042365164213,23.91402432687023,24.00675899172355,23.363567407104103,24.164397050064398,,23.809004924502766,22.67845034025376,22.940286992934837,21.65426419156488,22.279925444349736,22.75490550871577,21.90941965680537,21.866607225714368,21.460098571093354,21.269690956443938,22.030803007376274,2.008349242697374,0.0008345427307628708,2.008349242697374,0.000355272781877349,0.0008345427307628708,-1.181103040710049,0.0006271964494464204,0.0018753278197258193
G5E829,sp|G5E829|AT2B1_MOUSE Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1,Atp2b1,Plasma membrane calcium-transporting ATPase 1,,24.841581297758186,24.484523996262954,,24.56835529717255,,24.406149352294943,,,24.534955375394862,,24.065865856204542,24.83007429903083,24.485968721921406,24.63149239016292,25.14241835542962,24.86685447863783,25.212901670340806,25.187479737085418,25.338941199593563,24.23764205616041,24.552033111987658,24.861512051713078,25.06416453309368,24.17762484575173,24.652758942406933,24.456862332468614,24.743700847304275,24.485890497922306,24.440921204250355,24.340227014640732,24.317086967148104,,24.109881522742246,,,0.38405168791509325,0.033017438113769726,0.38405168791509325,0.01780406095283409,0.033017438113769726,-0.4537397532480689,0.001250295487127602,0.0034354449394010714
G5E8K5,sp|G5E8K5|ANK3_MOUSE Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1,Ank3,Ankyrin-3,24.567370509271395,24.014006204592764,,24.48210687471373,24.591157148725706,24.52180119905465,,,24.573746682428563,24.623517402319056,24.67222017715876,,25.591088133842334,25.04058441137547,25.36708701879925,,25.379350233288637,25.414293379400263,25.56850888935642,25.01703740702562,25.557814284485517,25.42360941588403,25.003812343326448,25.937559906460113,25.231669754072513,,24.42124293340818,25.129204124683163,24.56112576640315,24.778843512449487,24.647606095385225,24.79627896943797,25.007965492200576,24.658125268817468,24.56190222861948,24.326535807747785,0.8852360818754761,1.6500806832408934e-06,0.8852360818754761,4.802405104813508e-07,1.6500806832408934e-06,-0.6527495881835534,3.0527328892074485e-05,0.00012262318546512585
O08528,sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1,Hk2,Hexokinase-2,29.656393693065503,29.72114223572334,29.669478057782925,29.595739747142197,29.664808584450956,29.595357936874013,29.958935115187664,30.036082050260177,30.02529370199604,29.684295844660987,29.69852315623884,29.821317380505374,29.05177908562145,28.98937869272595,28.9072767269893,29.25613293917669,29.230039515295076,29.230708009364466,28.96086976827762,28.911902480397437,28.987061900673773,29.110922013736058,29.111101764663704,29.141331979516902,29.72683896867181,29.665636837652812,29.606856776834988,29.57206240937133,29.49881518757152,29.532845131921448,29.8393353206413,29.75001367915637,29.85780128209076,30.194314413401777,30.25417326945741,30.278447789321973,-0.6865718856207934,4.007167879656156e-10,-0.6865718856207934,6.444471436953974e-11,4.007167879656156e-10,0.7407196824712514,2.9471351183031924e-08,2.2729621491806167e-07
O08529,sp|O08529|CAN2_MOUSE Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4,Capn2,Calpain-2 catalytic subunit,28.998499278744454,28.87191063858631,28.64905409885225,28.56091388854695,28.57551966517302,28.65546735756056,28.62273746231336,28.74373258552588,28.86898799316197,28.67665823108053,28.67035075168528,28.66421099509437,29.249531549319656,29.17243508747232,29.113971454260724,29.194587708651685,29.083914307856208,29.041934567820775,29.0832353411044,28.94944769858254,29.12574875491086,29.134723175902653,29.054610931128963,29.18277123709845,28.817646322086755,28.658331268176347,28.92374871325631,28.698887714138007,28.880526816973717,28.834404707565625,28.9029096551823,29.00205732376955,29.13680228695595,28.837505829961582,28.729761453804844,28.938982809151995,0.40240573898202214,3.770791530281054e-08,0.40240573898202214,8.582380277601285e-09,3.770791530281054e-08,-0.25211224275719246,1.2311182633342422e-05,5.356705857655286e-05
O08532,sp|O08532|CA2D1_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus OX=10090 GN=Cacna2d1 PE=1 SV=1,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,29.103683685073374,28.966955791830827,28.99140615267029,28.97552521089544,28.852969612537073,28.907885573421943,28.927222038236675,29.036947801108543,29.008550948164043,29.225880636784797,29.233574707712112,29.261367258629246,27.527561656225814,27.692823408078628,27.45091038441447,27.669611993302535,27.564711206812838,27.586312253311732,27.521317244160322,27.609312481752767,27.612619402078913,27.37678275001414,27.564936277276573,27.51387445269146,28.51838610527911,28.580061853917144,28.43680896526447,28.619187222172354,28.583029167697067,28.671336679680564,28.323570091755144,28.236975001028085,28.309782841540258,28.438936359861803,28.405254986555583,28.449019620952914,-1.4834329922453549,8.228003412838317e-18,-1.4834329922453549,7.325990796071957e-20,8.228003412838317e-18,0.9067979487986975,2.098666276169501e-15,1.3468940350987833e-13
