Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech01_rep1,180808_AM_Ech01_rep2,180808_AM_Ech01_rep3,180808_AM_Ech02_rep1,180808_AM_Ech02_rep2,180808_AM_Ech02_rep3,180808_AM_Ech03_rep1,180808_AM_Ech03_rep2,180808_AM_Ech03_rep3,180808_AM_Ech04_rep1,180808_AM_Ech04_rep2,180808_AM_Ech04_rep3,180808_AM_Ech05_rep1,180808_AM_Ech05_rep2,180808_AM_Ech05_rep3,180808_AM_Ech06_rep1,180808_AM_Ech06_rep2,180808_AM_Ech06_rep3,180808_AM_Ech07_rep1,180808_AM_Ech07_rep2,180808_AM_Ech07_rep3,180808_AM_Ech08_rep1,180808_AM_Ech08_rep2,180808_AM_Ech08_rep3,180808_AM_Ech09_rep1,180808_AM_Ech09_rep2,180808_AM_Ech09_rep3,180808_AM_Ech10_rep1,180808_AM_Ech10_rep2,180808_AM_Ech10_rep3,180808_AM_Ech11_rep1,180808_AM_Ech11_rep2,180808_AM_Ech11_rep3,180808_AM_Ech12_rep1,180808_AM_Ech12_rep2,180808_AM_Ech12_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,25.48184857780738,26.65667318874411,26.041877959834242,24.98830643189869,24.766548182993734,26.369585526314946,26.702691620959,26.08980195448803,26.826934023639765,25.345771589817925,25.47586803267166,25.387950224840395,27.806953991558146,27.396236695633615,27.955563530220328,26.915984257034456,26.22026391980171,26.752268064839697,27.563472561014276,26.564254761358875,26.724328064910992,26.046928091861957,26.07694617685361,27.023434193710433,25.172246140400702,26.15023810306559,26.540587280674302,26.668840184881944,26.401279928198825,26.396589656767276,25.71150890303143,25.077614832869987,25.013208941812596,26.335416753467463,26.294213066332187,26.245630407140922,1.0760647495656883,0.014526010815227206,1.0760647495656883,0.0007597011968288349,0.014526010815227206,-0.9199383425129,0.0015750968023483464,0.01624913817492387
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,27.17117038080399,26.970304154924698,27.107888483798536,27.296900073575532,26.61329762294187,26.579465409458297,27.109021326787985,27.346526992128133,27.23078132457329,27.20702833194418,27.30353483425788,27.270213042983443,27.593638108944404,27.40629156839007,27.456302640203305,27.30135358163146,27.240440988465664,27.195435970774827,27.616941441551898,27.547493208457876,27.591983188485884,27.338710187292723,27.44245718787247,27.22732547257275,27.302503502460205,27.093517033777808,27.2512051050664,27.200791705843383,26.842075969103117,27.33627914694048,26.80902087721715,26.859481278710742,26.921606183616074,27.03838078424024,27.147377685314986,27.008132923392086,0.3126867972054619,0.022903337489964943,0.3126867972054619,0.0015179398606965044,0.022903337489964943,-0.3456667790800587,5.188810426017604e-05,0.001403509942061835
D3YYU8,sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1,Obsl1,Obscurin-like protein 1,27.865231914830485,27.866704722436662,27.728458204621077,27.902456554835723,28.152855979235557,27.801575558236443,27.948093610292435,28.141305035217584,27.913405998079984,27.941772966479995,28.135048141923452,28.155845468491844,28.250601741860223,28.49944416142503,28.400606293381276,27.979458547391953,28.188910687825583,28.240210827389205,28.305952726885003,28.335826037383377,28.403815976535856,28.12273155942561,28.105124531530464,28.035181124521245,28.055687931136664,27.955077074226324,27.71428951145065,27.963547338378373,28.170859981224687,28.311157891660937,27.860568434410332,27.84505449095837,27.730712034005244,28.111717100580847,28.222927768187734,28.31651139274179,0.2762591717394649,0.007116441788195313,0.2762591717394649,0.00022458016475076432,0.007116441788195313,-0.2174794388827408,0.009162829286720608,0.05661046060709279
E9PZQ0,sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,Ryr1,Ryanodine receptor 1,29.118473033430895,29.090409000968126,28.89354973790893,29.13476214402964,29.15747550284732,29.054756377413714,29.196576183986114,29.40395151605811,29.113229907880463,29.226249944057386,29.16736113787075,29.096064148646928,29.62239481801587,29.622587607156195,29.60449703791194,29.160367838756205,29.308096418229866,29.24619271869419,29.744491622537236,29.698822493026878,29.71691757841367,29.470695034182445,29.48451060455173,29.44293435434286,29.142044038900174,29.19661052674191,29.081433276059357,29.276736876792413,29.22470141574362,29.308961309309353,28.879288968378734,28.785771025050767,28.965089017352174,29.323837597318025,29.11474774609424,29.30279153015768,0.3724707908933915,0.0007135022420776106,0.3724707908933915,9.65061643928238e-06,0.0007135022420776106,-0.37670789982671593,5.407580750349603e-05,0.0014450619402741468
E9Q414,sp|E9Q414|APOB_MOUSE Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1,Apob,Apolipoprotein B-100;Apolipoprotein B-48,25.53146142967738,25.398059652715656,24.99593635325275,25.45149456499829,24.56094113265764,25.034062548376077,26.397638851328594,26.24914809356637,26.369734506732353,25.424667789353446,25.000792130801607,25.13657660689636,24.77996660459073,24.564734475092298,24.82134129714218,24.224510433462008,25.031700806344954,24.37991000717376,24.93379316317478,24.301351387133728,24.523674474554205,24.79241639194501,25.305097026461716,24.981582764670666,25.18155849458645,25.545686138088623,24.75999926817948,25.18579788213759,25.0036776662134,25.70351826184235,25.295026193925953,25.344586391705874,25.707747904384977,26.195666812584836,25.9459104870447,25.9708237924653,-0.7425362357175374,0.017420338172804667,-0.7425362357175374,0.0009739052900936784,0.017420338172804667,0.7666600384511248,6.587207665467819e-05,0.001660275750228139
O08749,"sp|O08749|DLDH_MOUSE Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",28.55272385916429,28.41751826231579,28.778051628972037,28.392170570210897,28.304319958772677,28.410673352910905,28.564928922674838,28.643686821504552,28.707094720500507,28.36935394453723,28.389876033149328,28.4334793798497,28.764548519812895,28.70817949385481,28.76013597918127,28.718461419018738,28.857664562275918,28.91503417415589,28.62313956022399,28.68277462436073,28.634196817524707,28.819932396275348,28.858649145793393,28.828738354610056,28.768080051931083,28.840263009107883,28.621354537620075,28.328391465481637,28.539011517827763,28.544381488737955,28.176981192802685,28.22597406985329,28.32002456915491,28.28246633100181,28.223016128012652,28.379579896715423,0.26729813271041536,0.0017718900117847992,0.26729813271041536,2.894516650034682e-05,0.0017718900117847992,-0.3268275657367141,0.00010610758300070615,0.0022629482605342906
O08807,sp|O08807|PRDX4_MOUSE Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1,Prdx4,Peroxiredoxin-4,28.43085969079799,28.450556935757003,28.420212090440305,28.331478467977195,28.57877569761568,28.690680953311972,28.576783742341053,28.60443977254708,28.60578619910881,28.5514815098562,28.533210149937332,28.514433637352504,28.202597840421646,28.0993369678043,28.157700828118614,28.387758081931377,28.18726408877955,28.420817195833827,28.312837499562193,28.226132382346613,28.352652743183523,28.118911924011936,28.15477693230782,28.267761148265834,28.232147379283376,28.317576399370687,28.211543143256485,28.355262760296785,28.345509962080282,28.163807593308057,28.732502688916917,28.66035593459683,28.589617593461952,28.54672015988138,28.38395970930218,28.464300165984543,-0.28334593453966406,0.00012646858151867726,-0.28334593453966406,9.69326368718446e-07,0.00012646858151867726,0.17622965476435937,0.008689804579971308,0.05455444715833839
O09161,sp|O09161|CASQ2_MOUSE Calsequestrin-2 OS=Mus musculus OX=10090 GN=Casq2 PE=1 SV=3,Casq2,Calsequestrin-2,30.31654366459253,30.36398727484712,30.36563713008257,30.43219233272539,30.43723656117295,30.667998723997165,30.18926566173014,30.16079831246179,30.191048164699776,30.457165743763532,30.498136819843324,30.517344372199904,31.03606100149682,31.043810949760744,30.971654618221834,30.464936538357048,30.57854221295444,30.483357369386837,30.707644889511876,30.725751697106006,30.654558410887667,30.49161826018755,30.587684124421276,30.59823082055377,30.381917414272124,30.665076713026064,30.29378479035291,30.71789974107226,30.484794237135485,30.291631310021337,30.032421373068058,29.91548984720097,29.93317245164147,30.362537762358826,30.30623158138388,30.317090572360513,0.31220801089413897,0.00969073728466466,0.31220801089413897,0.00040688715402926816,0.00969073728466466,-0.3868169249126616,0.000518599328323801,0.0069784523772121985
O09165,sp|O09165|CASQ1_MOUSE Calsequestrin-1 OS=Mus musculus OX=10090 GN=Casq1 PE=1 SV=3,Casq1,Calsequestrin-1,29.56547807875782,29.459108725682828,29.143082793702803,29.487916062015355,29.336826372201692,29.305352801113283,29.259588930643943,29.421641567226317,29.3526083242986,29.709758711490217,29.74778256422472,29.823319481296803,30.131873368962058,30.286153183257003,30.23810042437842,29.49191706899148,29.683339130338453,29.71598553789855,30.11073478535013,30.317331712323536,30.235447747064995,30.235912180697934,30.33077658433134,30.3138871824219,29.648003962905634,29.66677435518076,29.41295792669793,29.692063866994676,29.33133582522136,29.49429367410465,29.196663315657176,29.090037272323766,29.00268995199287,29.31679089365781,29.42088413849396,29.344357460905755,0.6232495411134522,0.0004172819478613124,0.6232495411134522,4.515223962430793e-06,0.0004172819478613124,-0.7062171884899513,9.603264667968272e-07,9.260887405892882e-05
O35074,sp|O35074|PTGIS_MOUSE Prostacyclin synthase OS=Mus musculus OX=10090 GN=Ptgis PE=1 SV=1,Ptgis,Prostacyclin synthase,25.373127192958897,25.148768441492848,24.904003416765104,24.937575356717165,25.012818300122966,24.649727049461834,24.960056766565746,24.6470567362651,24.96713012799691,25.512277854899615,25.141092308464074,24.845624508664624,24.58191076861045,24.8499795150621,24.445459647883098,24.179479219948263,24.7011161582702,24.51537607380813,24.869058917877123,24.616537007601256,24.531130279473253,24.41129533748191,24.558109623994625,24.388502765608408,24.725276934626404,24.668544141107066,24.39725089119325,25.130057675407922,24.773801264606632,24.65624497847361,25.074252310348214,25.31913805459249,25.20193753051533,25.35944476757858,25.24016115689073,24.95038312613693,-0.45427522872967785,0.003402650098801168,-0.45427522872967785,7.087595778438212e-05,0.003402650098801168,0.40404479298820206,0.000904200037972564,0.010840625320125117
