Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,180808_AM_Ech34_rep1,180808_AM_Ech34_rep2,180808_AM_Ech34_rep3,180808_AM_Ech35_rep1,180808_AM_Ech35_rep2,180808_AM_Ech35_rep3,180808_AM_Ech36_rep1,180808_AM_Ech36_rep2,180808_AM_Ech36_rep3,180808_AM_Ech25_rep1,180808_AM_Ech25_rep2,180808_AM_Ech25_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,30.672427303744854,30.701941612652107,30.542062289952725,30.170375753955724,30.34068808574148,30.01331614119932,30.33013966183158,30.39308669376217,30.419837607509393,30.522020050237256,30.586743907164315,30.689884572429524,30.773837266691572,30.798505495321137,30.732883723789236,30.73287922592337,30.746316036134736,30.782563939888103,30.55416429078583,30.4713639240691,30.461764363635186,30.448133808974724,30.42723682834933,30.414590845680326,30.07534633551489,29.96399753055935,30.028830871696275,30.386306958259315,30.297380169281322,30.32632818922011,30.067944269683544,30.333512206618753,30.081007773554266,29.964943661018463,29.894460861683264,30.040230203339807,0.16347633908851833,0.07879163891810208,0.16347633908851833,0.04555621192871901,0.07879163891810208,-0.49032922656776634,2.542468590743084e-07,1.5754538129535591e-06
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,,,,,26.601813039424968,,,,26.779069102041277,24.339569620987405,,,26.048231068136346,25.751893675362286,25.740359681832537,26.79023222296354,26.65210914901425,26.317182298900892,25.871768268056176,25.89727226363076,26.089294027535608,27.136018040648565,27.14502243295601,27.083376136155604,,25.926970478194658,24.526426614921334,25.213160098341746,25.627651506188467,24.96885275993513,26.137786898648994,25.47517155356069,24.645225160106275,26.08666189186912,26.144005113243153,26.322940221255273,0.47007935128149825,0.8230210731766539,0.47007935128149825,0.6128003316140027,0.8230210731766539,-0.8246373057722742,0.003598904619455196,0.008822962620956326
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,26.55497593898141,26.81060063534632,26.971195081401003,26.92223429837306,26.85247330430122,26.86322747182397,26.78049941598085,26.784574524291962,26.726767499633777,26.967200352615748,27.055945870528898,27.067375806204883,28.495806204882882,28.477495915611655,28.555459254913238,28.247920388940187,28.358797714410525,28.418957526985192,28.25110457490347,28.393375782184425,28.316823297888398,28.42705345569864,28.32800902527478,28.28188118632406,27.681444675779233,27.52465217605974,27.543631600943367,27.324753249758178,27.40271415317838,27.47442957488401,27.36938151847126,27.10155232307806,27.540781164712453,27.277175413242677,27.47891891858194,27.485736387730903,1.516301177377862,1.9996679609333888e-17,1.516301177377862,2.893231329118982e-19,1.9996679609333888e-17,-0.9456260976331023,1.0478006242220952e-14,4.617644195662551e-13
A2ASS6,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,Ttn,Titin,35.67980097809676,35.6880718307405,35.62536947556448,35.25182776583505,35.27575117501404,35.301938571842136,35.35577679372553,35.417265938669466,35.39257281202349,35.48246351238831,35.493155619720966,35.5126829275073,35.63602300359817,35.64683995458253,35.626235029219146,35.618012223778805,35.55310339894787,35.63092925343172,35.49295353927471,35.45786548774235,35.44888153203391,35.15055468570612,35.17243280970727,35.17390326566867,34.72530467623656,34.715058239719895,34.660574918403825,35.26456795374404,35.249924733097956,35.33176562090678,34.92551750546246,34.920459967473185,34.928672323628284,34.88120142054116,34.89613710791764,34.8843587609158,0.010921398546940964,1.0,0.010921398546940964,0.8794431523598383,1.0,-0.5186825796369732,3.886017072533763e-06,1.9290532263378927e-05
D3YYU8,sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1,Obsl1,Obscurin-like protein 1,,23.125613013213016,,25.966973302739884,,25.983330495160363,,,,,,,26.001387688731512,26.11272041656392,26.12237175328575,26.19977010165618,26.34574217856293,26.344947935032923,25.640190478027357,26.107539574014385,26.16035022495556,25.95389693651291,26.349210803538647,25.945609763181398,24.91824692059223,25.569379158264315,25.72526946324606,23.137470374186474,23.32025485085238,23.91724690772315,22.860337120713435,25.029732973664608,,25.86354524345036,,25.114243963492317,1.0816725508008673,0.5295616434853915,1.0816725508008673,0.3727854641118643,0.5295616434853915,-1.5614054568867566,0.0017809803261625596,0.004705882437954866
E9Q7G0,sp|E9Q7G0|NUMA1_MOUSE Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1,Numa1,,,20.96771255231883,,,,,,21.01778660712853,,21.7986994779098,21.87170994369537,,22.866589713504357,23.8308824240768,23.615593789978643,23.556556724625548,23.46818796065963,21.780526695459844,23.40040791981684,23.10042365164213,23.91402432687023,24.00675899172355,23.363567407104103,24.164397050064398,,23.809004924502766,22.67845034025376,22.940286992934837,21.65426419156488,22.279925444349736,22.75490550871577,21.90941965680537,21.866607225714368,21.460098571093354,21.269690956443938,22.030803007376274,2.008349242697374,0.0008345427307628708,2.008349242697374,0.000355272781877349,0.0008345427307628708,-1.181103040710049,0.0006271964494464204,0.0018753278197258193
E9Q9K5,sp|E9Q9K5|TRDN_MOUSE Triadin OS=Mus musculus OX=10090 GN=Trdn PE=1 SV=1,Trdn,Triadin,28.46586930208648,28.109881285659302,27.93964979572339,27.994901781196326,27.931004386346093,27.76267389338815,27.778165851791236,27.97915522591601,27.999719288147233,28.116729794798914,28.16757080513572,28.21995763948412,27.970114885365565,28.084301741033872,27.80171666948551,28.29838931282023,27.639454458139454,28.19513774039302,28.161349471935413,28.09478728282079,28.290926210958773,27.849145521393456,27.692946577977743,28.1404838619597,27.745624918256734,27.89819912154883,27.898702104918844,28.16408127669576,27.848455481524404,27.464067158917672,27.063651926228356,27.55736427638761,27.340946266095095,27.50947922134486,27.656607804537586,27.56693247057888,-0.020543776282455184,1.0,-0.020543776282455184,0.8130470427134336,1.0,-0.37538680893740306,0.001931670132407099,0.005038042420806323
G5E829,sp|G5E829|AT2B1_MOUSE Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1,Atp2b1,Plasma membrane calcium-transporting ATPase 1,,24.841581297758186,24.484523996262954,,24.56835529717255,,24.406149352294943,,,24.534955375394862,,24.065865856204542,24.83007429903083,24.485968721921406,24.63149239016292,25.14241835542962,24.86685447863783,25.212901670340806,25.187479737085418,25.338941199593563,24.23764205616041,24.552033111987658,24.861512051713078,25.06416453309368,24.17762484575173,24.652758942406933,24.456862332468614,24.743700847304275,24.485890497922306,24.440921204250355,24.340227014640732,24.317086967148104,,24.109881522742246,,,0.38405168791509325,0.033017438113769726,0.38405168791509325,0.01780406095283409,0.033017438113769726,-0.4537397532480689,0.001250295487127602,0.0034354449394010714
G5E8K5,sp|G5E8K5|ANK3_MOUSE Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1,Ank3,Ankyrin-3,24.567370509271395,24.014006204592764,,24.48210687471373,24.591157148725706,24.52180119905465,,,24.573746682428563,24.623517402319056,24.67222017715876,,25.591088133842334,25.04058441137547,25.36708701879925,,25.379350233288637,25.414293379400263,25.56850888935642,25.01703740702562,25.557814284485517,25.42360941588403,25.003812343326448,25.937559906460113,25.231669754072513,,24.42124293340818,25.129204124683163,24.56112576640315,24.778843512449487,24.647606095385225,24.79627896943797,25.007965492200576,24.658125268817468,24.56190222861948,24.326535807747785,0.8852360818754761,1.6500806832408934e-06,0.8852360818754761,4.802405104813508e-07,1.6500806832408934e-06,-0.6527495881835534,3.0527328892074485e-05,0.00012262318546512585
O08528,sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1,Hk2,Hexokinase-2,29.656393693065503,29.72114223572334,29.669478057782925,29.595739747142197,29.664808584450956,29.595357936874013,29.958935115187664,30.036082050260177,30.02529370199604,29.684295844660987,29.69852315623884,29.821317380505374,29.05177908562145,28.98937869272595,28.9072767269893,29.25613293917669,29.230039515295076,29.230708009364466,28.96086976827762,28.911902480397437,28.987061900673773,29.110922013736058,29.111101764663704,29.141331979516902,29.72683896867181,29.665636837652812,29.606856776834988,29.57206240937133,29.49881518757152,29.532845131921448,29.8393353206413,29.75001367915637,29.85780128209076,30.194314413401777,30.25417326945741,30.278447789321973,-0.6865718856207934,4.007167879656156e-10,-0.6865718856207934,6.444471436953974e-11,4.007167879656156e-10,0.7407196824712514,2.9471351183031924e-08,2.2729621491806167e-07
