Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech01_rep1,180808_AM_Ech01_rep2,180808_AM_Ech01_rep3,180808_AM_Ech02_rep1,180808_AM_Ech02_rep2,180808_AM_Ech02_rep3,180808_AM_Ech03_rep1,180808_AM_Ech03_rep2,180808_AM_Ech03_rep3,180808_AM_Ech04_rep1,180808_AM_Ech04_rep2,180808_AM_Ech04_rep3,180808_AM_Ech05_rep1,180808_AM_Ech05_rep2,180808_AM_Ech05_rep3,180808_AM_Ech06_rep1,180808_AM_Ech06_rep2,180808_AM_Ech06_rep3,180808_AM_Ech07_rep1,180808_AM_Ech07_rep2,180808_AM_Ech07_rep3,180808_AM_Ech08_rep1,180808_AM_Ech08_rep2,180808_AM_Ech08_rep3,180808_AM_Ech09_rep1,180808_AM_Ech09_rep2,180808_AM_Ech09_rep3,180808_AM_Ech10_rep1,180808_AM_Ech10_rep2,180808_AM_Ech10_rep3,180808_AM_Ech11_rep1,180808_AM_Ech11_rep2,180808_AM_Ech11_rep3,180808_AM_Ech12_rep1,180808_AM_Ech12_rep2,180808_AM_Ech12_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,25.48184857780738,26.65667318874411,26.041877959834242,24.98830643189869,24.766548182993734,26.369585526314946,26.702691620959,26.08980195448803,26.826934023639765,25.345771589817925,25.47586803267166,25.387950224840395,27.806953991558146,27.396236695633615,27.955563530220328,26.915984257034456,26.22026391980171,26.752268064839697,27.563472561014276,26.564254761358875,26.724328064910992,26.046928091861957,26.07694617685361,27.023434193710433,25.172246140400702,26.15023810306559,26.540587280674302,26.668840184881944,26.401279928198825,26.396589656767276,25.71150890303143,25.077614832869987,25.013208941812596,26.335416753467463,26.294213066332187,26.245630407140922,1.0760647495656883,0.014526010815227206,1.0760647495656883,0.0007597011968288349,0.014526010815227206,-0.9199383425129,0.0015750968023483464,0.01624913817492387
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,26.12442425436988,26.20724179204621,26.450050881853077,26.90526430299644,26.823515330332217,26.985194138919727,27.131142437336212,27.218746779944972,27.328164257051967,27.062102179498844,26.96177804799207,27.168118958587087,27.33677753062626,26.99809054620929,27.201686078254866,26.77250320070776,26.51375214765837,27.193539854168275,27.026370922707237,27.052771090072095,26.983332593708635,26.61693452408009,26.656507834700857,26.73970128658547,26.356759094060113,26.54829779643796,26.30857455355523,26.03683565033661,26.26467676245843,26.304397715097497,26.32752552043696,26.41744189304335,26.47192555626143,26.783172788410383,26.67439283682686,26.794815424221404,0.060518687379204295,0.878791430666888,0.060518687379204295,0.6624402062831556,0.878791430666888,-0.4835960015277472,7.421243175370329e-05,0.00178916493075776
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,27.17117038080399,26.970304154924698,27.107888483798536,27.296900073575532,26.61329762294187,26.579465409458297,27.109021326787985,27.346526992128133,27.23078132457329,27.20702833194418,27.30353483425788,27.270213042983443,27.593638108944404,27.40629156839007,27.456302640203305,27.30135358163146,27.240440988465664,27.195435970774827,27.616941441551898,27.547493208457876,27.591983188485884,27.338710187292723,27.44245718787247,27.22732547257275,27.302503502460205,27.093517033777808,27.2512051050664,27.200791705843383,26.842075969103117,27.33627914694048,26.80902087721715,26.859481278710742,26.921606183616074,27.03838078424024,27.147377685314986,27.008132923392086,0.3126867972054619,0.022903337489964943,0.3126867972054619,0.0015179398606965044,0.022903337489964943,-0.3456667790800587,5.188810426017604e-05,0.001403509942061835
A2ASS6,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,Ttn,Titin,33.06295515521211,33.00961148684631,33.17610309901466,33.30100692023562,33.389555452711555,33.37444946791777,33.40420741213829,33.409161788924784,33.39144971522269,33.44050839980992,33.43688446099418,33.46894241387278,33.8942132785046,33.8614214087514,33.86660244683412,33.484190350056735,33.414167700765795,33.51226884572077,33.543985902295105,33.56524254602262,33.49646379236449,33.342982802528205,33.38127652888713,33.37225947824938,33.108216209715195,33.182683458054356,33.10432717589658,33.40245366413352,33.375019328404406,33.38975049348213,32.95586879817477,32.958418707638444,32.94888289911572,33.4099871578769,33.41942940565746,33.40343378114393,0.23918660900663014,0.039421224275848814,0.23918660900663014,0.00350134408581705,0.039421224275848814,-0.33971700014055983,0.0004052360164646737,0.005858368046958501
A2AUC9,sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1,Klhl41,Kelch-like protein 41,30.28526922456674,30.27862508197337,30.443259102991735,30.252837959070096,30.246576414080796,30.134651655989117,30.28009738299178,30.257380086570613,30.178323863606572,30.364693487746532,30.402156550869762,30.41538570287029,30.30535030175905,30.362487132243082,30.383491138838966,30.279679883158746,30.313412665759646,30.266247902254598,30.688610846108475,30.665368194630563,30.59870198629522,30.517980297213956,30.458851176124753,30.52083755164056,30.210131800467053,30.26210909701463,30.25141318441497,30.279935079499317,30.195414100021317,30.048442710287777,29.921860804993106,29.939787030219875,29.890421792303876,30.262358382071948,30.32178583656501,30.254754591092535,0.15181354689168103,0.06501088222194742,0.15181354689168103,0.007269025604618107,0.06501088222194742,-0.29355038892301266,0.00011777122197855886,0.0024412763583966687
A3KGA4,sp|A3KGA4|TCAL7_MOUSE Transcription elongation factor A protein-like 7 OS=Mus musculus OX=10090 GN=Tceal7 PE=3 SV=1,Tceal7,Transcription elongation factor A protein-like 7,27.093936540518744,27.035821080551255,27.40080913846554,27.215489928545566,27.142755947817797,27.065476768441215,26.982708072103126,26.980456437789982,27.05483853586938,27.40070762843877,27.378231040912926,27.459314738724878,27.122519981267533,26.956577133611603,27.145177889653645,27.4522277504503,27.439675288381746,27.46649292077475,27.468695210767233,27.551019262386774,27.434787227463655,27.12322052572105,27.092135159490553,27.107135524167212,26.84727174365026,26.904773486272028,26.863256821581157,26.79710242979064,27.41075371230976,27.140145001523692,26.92610838949444,26.920004313008025,26.942936740799144,27.315808295106308,27.151654544275004,27.08398717780732,0.09575983466307747,0.5455203816108922,0.09575983466307747,0.23537556591597109,0.5455203816108922,-0.25465510154319304,0.004960498704599619,0.037741791396940214
E9PZQ0,sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,Ryr1,Ryanodine receptor 1,29.118473033430895,29.090409000968126,28.89354973790893,29.13476214402964,29.15747550284732,29.054756377413714,29.196576183986114,29.40395151605811,29.113229907880463,29.226249944057386,29.16736113787075,29.096064148646928,29.62239481801587,29.622587607156195,29.60449703791194,29.160367838756205,29.308096418229866,29.24619271869419,29.744491622537236,29.698822493026878,29.71691757841367,29.470695034182445,29.48451060455173,29.44293435434286,29.142044038900174,29.19661052674191,29.081433276059357,29.276736876792413,29.22470141574362,29.308961309309353,28.879288968378734,28.785771025050767,28.965089017352174,29.323837597318025,29.11474774609424,29.30279153015768,0.3724707908933915,0.0007135022420776106,0.3724707908933915,9.65061643928238e-06,0.0007135022420776106,-0.37670789982671593,5.407580750349603e-05,0.0014450619402741468
E9Q414,sp|E9Q414|APOB_MOUSE Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1,Apob,Apolipoprotein B-100;Apolipoprotein B-48,25.53146142967738,25.398059652715656,24.99593635325275,25.45149456499829,24.56094113265764,25.034062548376077,26.397638851328594,26.24914809356637,26.369734506732353,25.424667789353446,25.000792130801607,25.13657660689636,24.77996660459073,24.564734475092298,24.82134129714218,24.224510433462008,25.031700806344954,24.37991000717376,24.93379316317478,24.301351387133728,24.523674474554205,24.79241639194501,25.305097026461716,24.981582764670666,25.18155849458645,25.545686138088623,24.75999926817948,25.18579788213759,25.0036776662134,25.70351826184235,25.295026193925953,25.344586391705874,25.707747904384977,26.195666812584836,25.9459104870447,25.9708237924653,-0.7425362357175374,0.017420338172804667,-0.7425362357175374,0.0009739052900936784,0.017420338172804667,0.7666600384511248,6.587207665467819e-05,0.001660275750228139
O08528,sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1,Hk2,Hexokinase-2,27.485650579797504,27.506792334882125,27.570195102261522,27.42763606240644,27.710612911228203,27.669590517142343,27.636810951207305,27.569026436996058,27.522567647266722,27.35300687664905,27.5338573402469,27.489008566013467,27.730292784259817,27.70484734963901,27.566182473840108,27.93116252141111,27.76677442874437,27.573042067826748,27.603362712319814,27.8027132654529,27.8115082628028,27.829372616735018,27.806813853872402,27.907943693701537,27.258723546645452,27.63455209083773,27.475749531996723,27.596092195827122,27.671402825908824,27.40602215712631,27.10481531240404,27.286683084658794,27.23121791619175,27.25253705547692,27.20299752898946,27.390313344778185,0.21327172537566952,0.004594658757643552,0.21327172537566952,0.00011600581173491384,0.004594658757643552,-0.37690911998036825,6.108513882690031e-06,0.0002860075858516735
O08715,"sp|O08715|AKAP1_MOUSE A-kinase anchor protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Akap1 PE=1 SV=4",Akap1,"A-kinase anchor protein 1, mitochondrial",24.839337344227257,24.989865957574352,24.75284628908236,24.931786889306885,,,25.095189204313705,25.244098678071737,25.098638497880295,25.09577726059097,24.84971345672685,24.582571220500064,24.919839891191383,24.86353221982947,,25.080165548182247,24.704357291924975,24.99582720245054,25.375940788324947,25.034442538771742,24.794324299874088,25.338541756373044,25.212403398468837,24.83952151282107,25.31739085556362,24.19441524013035,24.7850525932947,,24.175484656809456,24.84638075296447,,24.606150723587906,24.627942898005607,24.488515357544767,24.17996882586942,24.71592289197507,0.06646265182821764,0.7673830680683628,0.06646265182821764,0.47468420621721985,0.7673830680683628,-0.4207226520811318,0.006090040872836531,0.04274591979731464
