Accnumber,UniProt ID,Genename,Proteinname,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
D3YYU8,sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1,Obsl1,Obscurin-like protein 1,,23.1405099918377,,26.0192380980242,,26.0301318883976,,,,,,,25.8879478886787,26.0182771759816,26.0396597183659,26.0951081811517,26.2990242034783,26.2278221799539,25.6007270702413,26.1166613006249,26.1515699488992,25.836601457721,26.213217229857,25.8310165625017,0.963176083701452,0.0953912993331247,1.83096086806978,25.8338341930476,2.36283405205514,-5.09123403136917,0.0318554171853634,0.0445668058786533,1,1
D3Z7P3,"sp|D3Z7P3|GLSK_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1",Gls,"Glutaminase kidney isoform, mitochondrial",,24.2885292380293,,24.0602498147227,23.9127999292005,,,,,,,,23.78642341033,,,23.9108692120129,23.8507805540318,23.844957312607,23.6376707829342,,23.7044465447198,,23.5513879414142,,-0.331973599977029,-0.567578084301811,-0.0963691156522475,23.8548114740002,-3.12721364185718,-3.79469459413901,0.0103794718921513,0.0158371710219548,-1,-1
O55131,sp|O55131|SEPT7_MOUSE Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1,Sep-07,Septin-7,25.9262769740644,25.4912786258272,25.3802070785799,25.6794486467959,24.2273804398796,25.8061136263285,25.3553844841536,25.2537290640404,25.3872083675613,25.3545532934891,25.7355443228474,25.5250434482334,26.0631148866879,25.9782572647505,26.0902671111681,26.0659962916712,26.1404315694153,26.023410400769,26.1454142659607,26.0706281212033,26.1572890447916,26.1408042921425,26.0243491887241,26.0949102814788,0.656058695580196,0.404931112550171,0.907186278610221,25.7548767121068,5.38929711862569,1.84718344521945,1.51209204116447e-05,3.45348466183937e-05,1,1
P27573,sp|P27573|MYP0_MOUSE Myelin protein P0 OS=Mus musculus OX=10090 GN=Mpz PE=1 SV=1,Mpz,Myelin protein P0,26.9993988638842,27.0512641648021,26.9022628277409,27.2629787792707,27.0141209183509,27.0424502440209,26.5321674931882,26.6857070854916,27.0200371795477,28.2579546473111,28.2466625886342,28.3146585173184,27.5624269924178,27.5279512934724,27.3741592235172,28.9629298793211,29.1163288027536,29.1518388670947,27.4028196171945,27.2961702515163,27.2371592392906,27.7326685598293,27.6710956796661,27.6362983982859,0.611848624566569,0.0621449645890948,1.16155228454404,27.5833962547467,2.29614445902493,-5.59492538478855,0.0306189239237374,0.0429198468940676,1,1
P29758,"sp|P29758|OAT_MOUSE Ornithine aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Oat PE=1 SV=1",Oat,"Ornithine aminotransferase, mitochondrial",27.0897791210141,26.9498456839363,27.0863122761941,26.9655505384313,26.9275651472599,26.7584704705979,26.9718844606219,26.9574200104955,26.9285261473112,27.0064763719414,26.8140415563286,26.8940884358269,26.4669290677579,26.4510112369946,26.7254306145977,26.6204973389931,26.5608196489403,26.6980001071077,26.8682094685033,26.7467497311124,26.7857216067709,26.7086815336129,26.656080084569,26.8578261537044,-0.267000302274575,-0.371603248887832,-0.162397355661317,26.8123298671926,-5.26461699514088,1.53877785832671,2.0491189623426e-05,4.60019264724354e-05,-1,-1
P31786,sp|P31786|ACBP_MOUSE Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2,Dbi,Acyl-CoA-binding protein,28.9385761172694,28.643241433469,28.7718748300613,28.8217555419503,28.9787578497079,28.858616292198,28.317806048758,28.6040866700568,28.735317893262,28.7387969021186,28.7178839163066,28.8199724331369,28.5194839422661,28.4262245091709,28.3898537967964,28.2115395120702,28.5379340978162,28.3496095876686,28.3887837205285,28.7435508494451,28.596639261758,28.4006299851604,28.7991666486946,28.56715112044,-0.251343241373309,-0.395513819956034,-0.107172662790584,28.6198855400046,-3.5961187200238,-2.68588467398938,0.001433993138038,0.00249569959600845,-1,-1
P61971,sp|P61971|NTF2_MOUSE Nuclear transport factor 2 OS=Mus musculus OX=10090 GN=Nutf2 PE=1 SV=1,Nutf2,Nuclear transport factor 2,27.0273018135203,27.0461177385696,27.4469277584909,26.9049846481032,27.0312057343622,27.0404080603477,27.0457128724801,27.1171295553845,26.9692709777767,27.3389627518767,27.379965568006,27.2019623667659,26.9609261883855,26.9614055484947,26.8878232996796,26.4648219509881,26.8492613739853,26.7724104129963,26.8180905433877,27.0356864377469,27.0728917880288,26.8065522386687,26.9464053525925,26.8032154232588,-0.264204940622577,-0.404959532979701,-0.123450348265452,26.997060016829,-3.87187931410847,-2.00624717422888,0.000717123240169306,0.00129799306470644,-1,-1
P63005,sp|P63005|LIS1_MOUSE Platelet-activating factor acetylhydrolase IB subunit alpha OS=Mus musculus OX=10090 GN=Pafah1b1 PE=1 SV=2,Pafah1b1,Platelet-activating factor acetylhydrolase IB subunit alpha,26.4247433728151,26.4299187161379,26.4796145068718,26.2696571662146,26.3192692802764,26.214969781232,26.3845097139581,26.2805321284626,26.5032523899327,26.2763092345138,26.2657914805101,26.2476639451112,26.0545529956247,25.8861509640472,25.9391891187749,26.0711753819637,26.2026146388553,26.0616047514852,26.327557057537,26.1410099682931,26.3042891704076,26.0284114640124,25.991789679974,26.0588612734641,-0.252418770966422,-0.357243830511812,-0.147593711421031,26.2151432575198,-4.96655760446766,0.775942138166705,4.37563031570249e-05,9.3175186722606e-05,-1,-1
P63011,sp|P63011|RAB3A_MOUSE Ras-related protein Rab-3A OS=Mus musculus OX=10090 GN=Rab3a PE=1 SV=1,Rab3a,Ras-related protein Rab-3A,,,,,23.4598922951529,,,,,23.5903556139882,,,,,,,,,,,,22.9838359178736,,23.1476523886961,-0.459379801285657,-0.858084482549101,-0.0606751200222126,23.2954340539277,-3.1112333766301,-4.09051740522081,0.0324247335180988,0.045232190880739,-1,-1
Q62417,sp|Q62417|SRBS1_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=2,Sorbs1,Sorbin and SH3 domain-containing protein 1,,,,,,,23.1925404715436,23.3322966518552,,,,,,23.6034761329899,,23.665588166349,23.3254889437809,23.5875702042326,23.7499868027767,23.4006553250943,23.4242026885988,23.7962534401804,23.777604685516,23.9012661329976,0.360790690552236,0.0532233917677491,0.668357989336722,23.5630774704929,2.55085612519676,-4.62697138276011,0.025132114193566,0.035935158046265,1,1
