Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,LFQ intensity 180808_AM_Ech26_rep1,LFQ intensity 180808_AM_Ech27_rep1,LFQ intensity 180808_AM_Ech28_rep1,LFQ intensity 180808_AM_Ech29_rep1,LFQ intensity 180808_AM_Ech26_rep2,LFQ intensity 180808_AM_Ech27_rep2,LFQ intensity 180808_AM_Ech28_rep2,LFQ intensity 180808_AM_Ech29_rep2,LFQ intensity 180808_AM_Ech26_rep3,LFQ intensity 180808_AM_Ech27_rep3,LFQ intensity 180808_AM_Ech28_rep3,LFQ intensity 180808_AM_Ech29_rep3,LFQ intensity 180808_AM_Ech30_rep1,LFQ intensity 180808_AM_Ech31_rep1,LFQ intensity 180808_AM_Ech32_rep1,LFQ intensity 180808_AM_Ech33_rep1,LFQ intensity 180808_AM_Ech30_rep2,LFQ intensity 180808_AM_Ech31_rep2,LFQ intensity 180808_AM_Ech32_rep2,LFQ intensity 180808_AM_Ech33_rep2,LFQ intensity 180808_AM_Ech30_rep3,LFQ intensity 180808_AM_Ech31_rep3,LFQ intensity 180808_AM_Ech32_rep3,LFQ intensity 180808_AM_Ech33_rep3,LFQ intensity 180808_AM_Ech34_rep1,LFQ intensity 180808_AM_Ech35_rep1,LFQ intensity 180808_AM_Ech36_rep1,LFQ intensity 180808_AM_Ech34_rep2,LFQ intensity 180808_AM_Ech35_rep2,LFQ intensity 180808_AM_Ech36_rep2,LFQ intensity 180808_AM_Ech34_rep3,LFQ intensity 180808_AM_Ech35_rep3,LFQ intensity 180808_AM_Ech36_rep3,LFQ intensity 180808_AM_Ech25_rep1,LFQ intensity 180808_AM_Ech25_rep2,LFQ intensity 180808_AM_Ech25_rep3,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC,adj.P.Val,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
E9PV24,sp|E9PV24|FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1,Fga,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,27.5205953903847,27.4092763065556,26.3539238508772,26.8119749884293,27.2324960291426,27.5068351259868,26.2341339067424,26.730751879788,27.2919730378193,27.3907585864094,25.3637690131566,26.7016387799728,26.6702233333776,26.6122830529065,26.4648618884811,26.3887433613137,26.7107165992674,26.8230944169014,26.3726146713214,26.2783435465714,26.7157860688846,26.6446581987096,26.3666751051575,25.0510189593731,26.621799294639,26.8514801132895,26.768926810882,26.8749014548589,26.8035288648041,26.7532820674306,26.9573189634296,26.8714129633405,26.6820115986506,25.8752778661547,25.7320847889301,26.2172575476487,-0.454092307749946,0.034427619645001,0.0498908725363998,-0.454092307749946,0.0498908725363998,0.15918859431607,0.445640637950351,0.536581102194395
O09106,sp|O09106|HDAC1_MOUSE Histone deacetylase 1 OS=Mus musculus OX=10090 GN=Hdac1 PE=1 SV=1,Hdac1,Histone deacetylase 1,,,,22.7870707009646,,,,,,,,,,,,23.7815216081852,,,,,,,23.8064681546766,,,,,,23.3654451450695,,,,,,,,1.00692418046629,0.0091577834107904,0.0147117209490674,1.00692418046629,0.0147117209490674,-0.428549736361358,0.0916713372051775,0.142447120043284
O35114,sp|O35114|SCRB2_MOUSE Lysosome membrane protein 2 OS=Mus musculus OX=10090 GN=Scarb2 PE=1 SV=3,Scarb2,Lysosome membrane protein 2,,,,,23.5680182287518,,,,,,,,24.3653540989263,24.6745165852359,24.6426395488399,24.366884622187,24.811305069541,24.7549463041941,24.3687784923294,24.5927798005883,24.2106549123267,,24.3247467598568,24.4830374931555,23.5794060270926,,,,23.7592765539556,,,24.1283077360102,23.5718644776558,,,,0.940676651900976,0.0005831561334293,0.0011025519525156,0.940676651900976,0.0011025519525156,-0.748981181974251,1.70772680807239e-05,6.08905601673983e-05
O35593,sp|O35593|PSDE_MOUSE 26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus OX=10090 GN=Psmd14 PE=1 SV=2,Psmd14,26S proteasome non-ATPase regulatory subunit 14,25.0844230499995,24.7164785777444,24.4693410472857,,24.8735573631002,24.8808790342086,24.7526901696771,24.6889076833969,24.8252064058031,,24.8163793659379,25.2203900473558,25.1329548744313,25.0108603585629,25.2169172995567,25.0938224875004,25.2559225084378,24.308762921774,25.0896119850047,25.4030601038256,25.175850697962,25.2607835962226,24.8643683110521,25.1962112465106,24.417573723682,24.6515680565469,25.1810879868544,24.9245954556943,24.8595715906616,25.1222959805833,24.845300037382,24.5628585292777,25.3517318991878,24.9058086654366,24.950891321191,24.8584911399917,0.251268591452465,0.0246515601567018,0.0366204161015097,0.251268591452465,0.0366204161015097,-0.198112667029278,0.0601121179223017,0.0997433249075707
O55131,sp|O55131|SEPT7_MOUSE Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1,Sept7,Septin-7,25.9377937173019,25.6908000839563,25.3650878705626,25.3660892374361,25.4990798989565,24.2452286523354,25.2624430965756,25.7334988091817,25.3831950583574,25.8137129631033,25.3917097738813,25.5277123709917,26.0984030078986,26.0917325851132,26.1713240710291,26.1729099402836,26.0071332557705,26.1619289311032,26.0980017170288,26.0566599146652,26.1233459177742,26.0548588405021,26.1850346614272,26.1233037711784,26.0365864922147,26.0322467024249,26.184432997285,26.0342478409763,26.1275715428362,26.1208174059792,25.8971302818173,26.1011253934186,26.1288777015657,26.1044061451971,25.8491189955344,26.1987382004416,0.677357090094532,1.34772834556288e-07,3.87692322209584e-07,0.677357090094532,3.87692322209584e-07,-0.0441114095069253,0.671509069307651,0.734407676063381
O89103,sp|O89103|C1QR1_MOUSE Complement component C1q receptor OS=Mus musculus OX=10090 GN=Cd93 PE=1 SV=1,Cd93,Complement component C1q receptor,,,,,,,,,,,,24.5777501927352,23.858419302859,23.8267978545683,,23.4857463546805,23.3078424089152,23.699254429157,,,,23.412973900236,,23.979355524851,23.8905045726988,23.7808169942888,,24.0248406163258,23.8630784554776,23.5865386135093,23.9035050041207,,24.0760820187647,24.1051232145416,,24.0769131400647,-0.924837367697076,0.0006399387005901,0.0012010556831808,-0.924837367697076,0.0012010556831808,0.270131911605414,0.0187671878037555,0.0358066713217799
P06797,sp|P06797|CATL1_MOUSE Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2,Ctsl,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,,23.6545193095966,,23.9618418551244,,,23.4215050279196,23.9650537848016,23.8045142585949,,23.3656109024843,24.2540276440561,23.8171191830584,24.1131675102514,24.1903956876212,23.7981567854802,,23.9541014361259,,,24.1575786070193,24.2185503701201,24.0315082841793,24.1150309908437,24.161542192345,,,24.3329976328687,,,24.5770041794435,,,24.1529163579655,24.1036360138677,,0.268660427614282,0.0278355255244657,0.0409549462544481,0.268660427614282,0.0409549462544481,0.221662735887026,0.0923753855479604,0.143272581139868
P11499,sp|P11499|HS90B_MOUSE Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3,Hsp90ab1,Heat shock protein HSP 90-beta,31.3923234840143,31.4437312011659,31.2800851916564,31.2533209674147,31.3646147092492,31.4557368087739,31.248067786438,31.2361078313969,31.4025195791512,31.5062847344553,31.3012631304223,31.2664941150573,31.4924277066774,31.5791226841744,31.6552845074628,31.6474796675561,31.4935314754933,31.5966768986049,31.6321424621989,31.6825437437644,31.4826269772352,31.5928025473069,31.6817397357863,31.6208268313833,31.3562599154401,31.3505264931802,31.6883443874054,31.3886562993453,31.3743123034853,31.6611224973616,31.3812431282792,31.3010121935428,31.6426697625903,31.516905603851,31.5904715761225,31.6133922573667,0.250554641537363,4.26519800873946e-06,1.04858462227636e-05,0.250554641537363,1.04858462227636e-05,-0.107690734972795,0.025422504589688,0.0469382100330766
P13020,sp|P13020|GELS_MOUSE Gelsolin OS=Mus musculus OX=10090 GN=Gsn PE=1 SV=3,Gsn,Gelsolin,,,,22.566006349063,,,,,,,,,28.4138576321319,27.7111110071747,27.8722559675638,28.5703160743007,28.260834234258,27.7899050692611,27.5654301899328,28.4055871894723,28.4635053468285,27.8303018610336,27.878147998686,28.43127226027,24.0836099926625,23.9599655775055,24.7968774975301,24.1410057886433,23.8641193951738,25.6078873049269,25.1327326100605,25.5383325878627,23.8222343796664,23.3413002408918,23.0612931568923,24.3997256650964,5.53337072017983,4.4027076088852905e-09,1.46979761606821e-08,5.53337072017983,1.46979761606821e-08,-3.78695338616677,4.4934807708766504e-14,5.73091624470268e-13
P13634,sp|P13634|CAH1_MOUSE Carbonic anhydrase 1 OS=Mus musculus OX=10090 GN=Ca1 PE=1 SV=4,Ca1,Carbonic anhydrase 1,,,,,,24.5397757360816,,,,24.907894273307,,,,,,,23.779773971817,,,,,,,,24.5535405077559,,,24.0776186934369,,,24.2585596667879,,,23.9289360635855,24.0212560046902,,-0.944061032877237,0.0114729003554205,0.018259352271967,-0.944061032877237,0.018259352271967,0.388208215434258,0.164925354012825,0.234315541519507
