Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,LFQ intensity 180808_AM_Ech26_rep1,LFQ intensity 180808_AM_Ech27_rep1,LFQ intensity 180808_AM_Ech28_rep1,LFQ intensity 180808_AM_Ech29_rep1,LFQ intensity 180808_AM_Ech26_rep2,LFQ intensity 180808_AM_Ech27_rep2,LFQ intensity 180808_AM_Ech28_rep2,LFQ intensity 180808_AM_Ech29_rep2,LFQ intensity 180808_AM_Ech26_rep3,LFQ intensity 180808_AM_Ech27_rep3,LFQ intensity 180808_AM_Ech28_rep3,LFQ intensity 180808_AM_Ech29_rep3,LFQ intensity 180808_AM_Ech30_rep1,LFQ intensity 180808_AM_Ech31_rep1,LFQ intensity 180808_AM_Ech32_rep1,LFQ intensity 180808_AM_Ech33_rep1,LFQ intensity 180808_AM_Ech30_rep2,LFQ intensity 180808_AM_Ech31_rep2,LFQ intensity 180808_AM_Ech32_rep2,LFQ intensity 180808_AM_Ech33_rep2,LFQ intensity 180808_AM_Ech30_rep3,LFQ intensity 180808_AM_Ech31_rep3,LFQ intensity 180808_AM_Ech32_rep3,LFQ intensity 180808_AM_Ech33_rep3,LFQ intensity 180808_AM_Ech34_rep1,LFQ intensity 180808_AM_Ech35_rep1,LFQ intensity 180808_AM_Ech36_rep1,LFQ intensity 180808_AM_Ech34_rep2,LFQ intensity 180808_AM_Ech35_rep2,LFQ intensity 180808_AM_Ech36_rep2,LFQ intensity 180808_AM_Ech34_rep3,LFQ intensity 180808_AM_Ech35_rep3,LFQ intensity 180808_AM_Ech36_rep3,LFQ intensity 180808_AM_Ech25_rep1,LFQ intensity 180808_AM_Ech25_rep2,LFQ intensity 180808_AM_Ech25_rep3,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC,adj.P.Val,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,26.5997733508926,26.9858505308177,26.8850004613744,27.0494800707094,26.8332988871003,26.9021522766528,26.8547093829944,27.1223237119906,27.053705823697,26.917628201836,26.8223497352544,27.1338334731907,28.4176545260408,28.1689947618776,28.2375509721858,28.3418636250478,28.4119286660493,28.3335771010138,28.4298711046204,28.2243261775343,28.5058260265994,28.3332802116393,28.3357886384676,28.1956814753439,27.6244349719896,27.29105865946,27.3757606465478,27.4916470451981,27.410398085994,27.1382333063295,27.5500182547009,27.3882527431422,27.5501157796678,27.2616820228541,27.4524679340766,27.4844070410298,1.39801978165915,3.75189411141619e-24,1.8626338830546799e-22,1.39801978165915,1.8626338830546799e-22,-0.909822232952472,4.33850601420838e-18,1.14178459865992e-16
A3KG59,sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1,Pm20d2,Peptidase M20 domain-containing protein 2,24.9835510946976,24.7444604981452,25.0045424715276,24.8400499953807,24.7653871226276,24.8449220068631,25.0153489924422,24.5352844942837,24.7088535947148,24.5726772577587,25.1283276887975,24.6554391164205,,,24.422178087433,23.6826262625337,,,,23.6084068642627,,,,23.1876427239429,24.6880597031997,24.4392247818445,24.0021496114143,24.6506107503,24.1772611296783,,24.6685286170227,24.4999012126421,24.1687524485268,24.4610732573848,24.6894775918646,24.6242637336237,-1.09135687659522,1.27636791835231e-07,3.68542256349757e-07,-1.09135687659522,3.68542256349757e-07,0.73563222795709,6.07434817131312e-05,0.0001948021135016
E9PZQ0,sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,Ryr1,Ryanodine receptor 1,32.1246155288017,32.2049099142109,32.2813677946221,32.5601948829446,32.1544278908743,32.1833315958927,32.3012751204582,32.5588747373288,32.2125833838106,32.17429099903,32.320993140882,32.5479290550988,31.4686046083175,31.5171240346028,31.6586889521447,31.4263480808147,31.5275407210824,31.5541717297319,31.6866969704541,31.3836619770681,31.4824309322504,31.5434783325559,31.7034547629679,31.3072879633258,31.8488491578748,31.86212730326,31.6197906046289,31.8789861484154,31.9330408823604,31.5609556371623,31.8437098708429,31.8857947465206,31.5825372573602,31.6974216255221,31.7154436353046,31.6806824337417,-0.780442081553186,1.9285060474867303e-15,1.52203631132414e-14,-0.780442081553186,1.52203631132414e-14,0.237487519806457,0.0002375703943628,0.0006890812062319
E9Q7G0,sp|E9Q7G0|NUMA1_MOUSE Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1,Numa1,,,,,21.8809791960035,20.9904108040728,,21.087921465831,21.9380877851571,,,,,22.7884380346623,23.477631097563,23.3868543170992,23.9215691610727,23.7653151745144,23.4429673472629,23.1369189740781,23.2598845593636,23.5659605616649,21.694849380114,23.9329896674494,24.0781973390843,,22.9065924026366,22.7612846367923,23.7759997936411,21.6619481243805,21.9461006400568,22.6848369940113,22.1937486126079,21.8759418406697,21.4446051807048,21.2432399719386,22.0294736606752,1.89661482172797,2.48801908490434e-05,5.57359733867216e-05,1.89661482172797,5.57359733867216e-05,-1.14153082921089,0.0002396879685239,0.0006923391146563
G5E8K5,sp|G5E8K5|ANK3_MOUSE Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1,Ank3,Ankyrin-3,24.6121679211826,24.5457231071584,,24.7057971204127,24.0367044563467,24.6408361210772,,24.7385980186205,,24.5762019290666,24.6693289180492,,25.5129364550002,,25.5549552866388,25.3384195852332,24.9750171618131,25.3541296198919,25.0535327294616,24.9001294955859,25.3174537904855,25.3286160640544,25.5767796250647,25.85136019548,25.1746600502829,25.095509534385,24.6539852234618,,24.5688096992187,24.8329599526894,24.4276295871657,24.6926666807077,25.0173001071559,24.6426318784289,24.5354512441142,24.3252064610467,0.77645121089342,4.82941070669106e-07,1.32722554957099e-06,0.77645121089342,1.32722554957099e-06,-0.617865417277493,5.06936082070166e-06,1.98231137752909e-05
O08528,sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1,Hk2,Hexokinase-2,29.7011911049767,29.6593559795868,30.0634361605812,29.7665755627547,29.7438404874773,29.7144875568025,30.1062169089626,29.7649009977006,29.751988800079,29.649758666886,30.1208759376167,29.8877750474912,28.9736274067794,29.1772073121141,28.94731616556,29.0257321830852,28.9238114431636,29.2048189018983,28.9483978028334,29.0074189169232,28.8576434986755,29.1450306940186,29.006027241253,29.0551322685368,29.6698292648822,29.5383678190731,29.8457144487179,29.6326317067912,29.5064991203871,29.7866946624078,29.6132434305925,29.4466683001797,29.8671358970461,30.1788210230132,30.2277222849521,30.2771184426209,-0.804853281339525,1.5929385154160097e-11,7.06493479891999e-11,-0.804853281339525,7.06493479891999e-11,0.776523547151893,4.0004791260600496e-11,3.2835615797067103e-10
O08529,sp|O08529|CAN2_MOUSE Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4,Capn2,Calpain-2 catalytic subunit,29.0432966906556,28.6245301209916,28.7272385077069,28.7589379491742,28.8946088903403,28.6251986375246,28.8138674442283,28.736728593147,28.7315648411483,28.7098680875726,28.9645702287826,28.7306686620802,29.1713798704776,29.1156620815891,29.0696817383868,29.0495333452518,29.10686783791,29.0586936944594,28.9859430210185,28.9509280833884,29.0643382259469,28.9562572524749,29.14471409549,29.0965715261183,28.7606366182972,28.6651931238398,28.9092887832589,28.6253261373147,28.8882107497893,29.038738307021,28.9301353670138,28.7482278758238,29.1461369019113,28.822012439573,28.7033104692995,28.9376534624509,0.284124343263304,3.92009341162734e-06,9.6838262608258e-06,0.284124343263304,9.6838262608258e-06,-0.216308378076551,0.0001968153586112,0.0005796089956971
O08532,sp|O08532|CA2D1_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus OX=10090 GN=Cacna2d1 PE=1 SV=1,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,29.1484810969846,29.0391414433401,29.0317230836302,29.3081603548785,28.9896540435848,28.9026485848886,29.107082659811,29.2999525491738,29.0739168949663,28.9622863034339,29.1041331837847,29.3278249256151,27.4494099773837,27.59068636624,27.5077636414427,27.2915929193633,27.6272561585163,27.5394905934161,27.6458078041888,27.4612534295361,27.4012771561007,27.5006349379658,27.6315847426581,27.4276747417113,28.4613764014895,28.5854926318741,28.3299492198317,28.5470567230555,28.5907131005126,28.2736559842795,28.443195619022,28.5851598479388,28.3191174564956,28.4234429694732,28.3788040020503,28.4476902742518,-1.60171438796407,2.11776986875515e-27,4.65606832573454e-25,-1.60171438796407,4.65606832573454e-25,0.942601813479328,9.455924630879951e-20,3.91948075949974e-18
O08539,sp|O08539|BIN1_MOUSE Myc box-dependent-interacting protein 1 OS=Mus musculus OX=10090 GN=Bin1 PE=1 SV=1,Bin1,Myc box-dependent-interacting protein 1,29.8126278484003,29.9929190592956,30.1147024646206,29.9759293653894,29.9276699540219,29.9538331780209,30.1261542123241,30.0294909774707,29.9748164541774,29.9603731227971,30.1225788511055,29.9765028907383,30.3568111901592,30.3394049261827,30.4239553468611,30.2737546813575,30.3535409542584,30.3275412448331,30.432579367372,30.2295429775373,30.373425439755,30.3266094471178,30.4259558610967,30.1565038214967,30.0234662194969,29.8903641053036,30.2197099714458,29.9296232290142,29.8900120850591,30.3552670496917,29.9614232101208,29.8759136307926,30.196795373253,30.1528132617926,30.0882595756478,30.0793844337748,0.337668906638797,4.0458176171105e-08,1.2043546059445e-07,0.337668906638797,1.2043546059445e-07,-0.27971609271955,1.5055154750182e-06,6.46669600409373e-06
O08547,sp|O08547|SC22B_MOUSE Vesicle-trafficking protein SEC22b OS=Mus musculus OX=10090 GN=Sec22b PE=1 SV=3,Sec22b,Vesicle-trafficking protein SEC22b,25.6267420770202,25.8161739370029,25.6426306442732,25.8229167387112,26.230808586931,24.9900987200301,25.6172050707487,25.5575563866286,25.7759487627531,25.9139502611203,25.9681882014968,25.9613918726293,26.1548591550913,25.9256786593926,26.2757057232944,26.1341614850616,26.2971802777912,26.0371483780134,26.1902296394115,26.1367940711547,26.0618841451187,25.9398902557552,26.1300126082327,26.1573685426609,25.9218955496101,26.0191534496816,26.0021081778774,25.9646135411395,26.0261291497567,25.9616088848385,25.647906890868,25.897991769157,25.8847664372328,25.797270304866,25.8493041017932,25.8074186113084,0.376441806802728,4.1361107929237e-05,8.99078320665194e-05,0.376441806802728,8.99078320665194e-05,-0.22172883940409,0.0091814352933368,0.0187473149216165
