"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech26_rep1","LFQ intensity 180808_AM_Ech27_rep1","LFQ intensity 180808_AM_Ech28_rep1","LFQ intensity 180808_AM_Ech29_rep1","LFQ intensity 180808_AM_Ech26_rep2","LFQ intensity 180808_AM_Ech27_rep2","LFQ intensity 180808_AM_Ech28_rep2","LFQ intensity 180808_AM_Ech29_rep2","LFQ intensity 180808_AM_Ech26_rep3","LFQ intensity 180808_AM_Ech27_rep3","LFQ intensity 180808_AM_Ech28_rep3","LFQ intensity 180808_AM_Ech29_rep3","LFQ intensity 180808_AM_Ech30_rep1","LFQ intensity 180808_AM_Ech31_rep1","LFQ intensity 180808_AM_Ech32_rep1","LFQ intensity 180808_AM_Ech33_rep1","LFQ intensity 180808_AM_Ech30_rep2","LFQ intensity 180808_AM_Ech31_rep2","LFQ intensity 180808_AM_Ech32_rep2","LFQ intensity 180808_AM_Ech33_rep2","LFQ intensity 180808_AM_Ech30_rep3","LFQ intensity 180808_AM_Ech31_rep3","LFQ intensity 180808_AM_Ech32_rep3","LFQ intensity 180808_AM_Ech33_rep3","LFQ intensity 180808_AM_Ech34_rep1","LFQ intensity 180808_AM_Ech35_rep1","LFQ intensity 180808_AM_Ech36_rep1","LFQ intensity 180808_AM_Ech34_rep2","LFQ intensity 180808_AM_Ech35_rep2","LFQ intensity 180808_AM_Ech36_rep2","LFQ intensity 180808_AM_Ech34_rep3","LFQ intensity 180808_AM_Ech35_rep3","LFQ intensity 180808_AM_Ech36_rep3","LFQ intensity 180808_AM_Ech25_rep1","LFQ intensity 180808_AM_Ech25_rep2","LFQ intensity 180808_AM_Ech25_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",30.717224715656,30.2339919864004,30.4346407072251,30.6042997683309,30.7246398644061,30.390367058093,30.4632215524646,30.653121748626,30.6245730322488,30.0677168712113,30.51541984313,30.7563422394154,30.6956855878495,30.6539535988608,30.5406106880682,30.3629439783239,30.7329382457588,30.721095422738,30.5078592465051,30.3235539806088,30.6832504954754,30.6968866245422,30.4807297042144,30.3283911347002,30.0183366317253,30.3526123679611,30.0743233977601,29.9309923996977,30.3050641020969,30.3701931898702,30.0352175254538,30.2401513574783,30.0903423885096,29.9494502706299,29.868009877178,30.0389008566387,0.0451949433698005,0.543791633642895,0.596079290723943,0.0451949433698005,0.596079290723943,-0.454525361887146,4.54566543897421e-07,2.12301783037162e-06
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",NA,NA,NA,24.4218493390811,NA,26.6514920117765,NA,NA,NA,NA,26.8746513376619,NA,25.9700793892943,26.711306595901,25.8582146653385,27.0508282099977,25.6863264257999,26.6268885356175,25.9337675860668,27.0413395852155,25.6907264535187,26.231504983555,26.1082593681148,26.9971764251755,NA,25.1794655080435,26.1441660267256,25.893965347333,25.6353354390041,25.5118525368121,24.5328132686789,24.8826759281933,24.6545597750616,26.0711685014805,26.1175541287378,26.3216108745542,0.342870622459767,0.426994318132116,0.481424363080825,0.342870622459767,0.481424363080825,-0.785065094273126,0.00840761994076637,0.0173596934767007
"A2AJI0","sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1","Map7d1","MAP7 domain-containing protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2640342082139,NA,22.200087898378,NA,NA,22.0202799010432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2AM05","sp|A2AM05|CNTLN_MOUSE Centlein OS=Mus musculus OX=10090 GN=Cntln PE=1 SV=1","Cntln","Centlein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6359824437301,NA,NA,NA,NA,NA,29.6411703818202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",26.5997733508926,26.9858505308177,26.8850004613744,27.0494800707094,26.8332988871003,26.9021522766528,26.8547093829944,27.1223237119906,27.053705823697,26.917628201836,26.8223497352544,27.1338334731907,28.4176545260408,28.1689947618776,28.2375509721858,28.3418636250478,28.4119286660493,28.3335771010138,28.4298711046204,28.2243261775343,28.5058260265994,28.3332802116393,28.3357886384676,28.1956814753439,27.6244349719896,27.29105865946,27.3757606465478,27.4916470451981,27.410398085994,27.1382333063295,27.5500182547009,27.3882527431422,27.5501157796678,27.2616820228541,27.4524679340766,27.4844070410298,1.39801978165915,3.75189411141619e-24,1.86263388305468e-22,1.39801978165915,1.86263388305468e-22,-0.909822232952472,4.33850601420838e-18,1.14178459865992e-16
"A2AN08","sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1","Ubr4","E3 ubiquitin-protein ligase UBR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9397473579372,NA,NA,NA,NA,23.1857944702156,NA,NA,NA,NA,NA,NA,23.0326965037506,NA,NA,NA,NA,NA,23.1776956517589,NA,23.5306564124517,23.1051542149078,NA,NA,NA,NA,NA,NA,NA,0.148779781640837,0.419359608936154,0.511342293131111
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",35.7245983900079,35.3154439982797,35.4602778391191,35.564743230482,35.7107700824945,35.3254301473656,35.4874007973719,35.5595334611827,35.7078802178605,35.3563393018541,35.4881550476441,35.5791405944931,35.5578713247561,35.5390865967163,35.4793999365571,35.0653648550553,35.5812727050202,35.5278827855511,35.4943608101783,35.0687499619667,35.5766018009054,35.5452519380858,35.4678468726131,35.0877035546886,34.668294972447,35.2308733634458,34.931896633539,34.6820531088582,35.2576086659135,34.9571409507246,34.6669615721613,35.245588789165,34.9380069385836,34.8657080301526,34.8696861234123,34.8830294142147,-0.10735999717177,0.178246414364159,0.223935699352196,-0.10735999717177,0.223935699352196,-0.48287871495635,4.37294075580325e-07,2.05923105937226e-06
"A2AUC9","sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1","Klhl41","Kelch-like protein 41",30.7548511667303,30.7586438312629,31.008521684505,30.7827693077378,30.7997425679968,30.8400101248631,31.0129937815167,30.892775671891,30.8871604945937,30.8190929083017,30.9995213513863,30.9003164532979,30.8966875073719,30.8994423236003,31.0474039802673,31.1796728843519,30.9350223613506,30.9781457244218,31.0730094347215,31.1957412835547,30.944079869633,31.0053127492032,31.054783659276,31.1272857881252,30.8784158866936,30.7345751003292,31.1531683367399,30.919588722553,30.790179802451,31.1573486854003,30.9169667150088,30.7501112589905,31.1821503328898,31.1525203347361,31.1585672130411,31.1582038078287,0.156682351816173,0.007564953711725,0.0122940483234897,0.156682351816173,0.0122940483234897,-0.0320659474346101,0.565660263177945,0.638372223022736
"A3KG59","sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1","Pm20d2","Peptidase M20 domain-containing protein 2",24.9835510946976,24.7444604981452,25.0045424715276,24.8400499953807,24.7653871226276,24.8449220068631,25.0153489924422,24.5352844942837,24.7088535947148,24.5726772577587,25.1283276887975,24.6554391164205,NA,NA,24.422178087433,23.6826262625337,NA,NA,NA,23.6084068642627,NA,NA,NA,23.1876427239429,24.6880597031997,24.4392247818445,24.0021496114143,24.6506107503,24.1772611296783,NA,24.6685286170227,24.4999012126421,24.1687524485268,24.4610732573848,24.6894775918646,24.6242637336237,-1.09135687659522,1.27636791835231e-07,3.68542256349757e-07,-1.09135687659522,3.68542256349757e-07,0.73563222795709,6.07434817131312e-05,0.000194802113501686
"D3YXK2","sp|D3YXK2|SAFB1_MOUSE Scaffold attachment factor B1 OS=Mus musculus OX=10090 GN=Safb PE=1 SV=2","Safb","Scaffold attachment factor B1;Scaffold attachment factor B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5241586857612,24.2705291013784,24.3604022806934,24.1016922926435,NA,24.1267215716256,NA,NA,NA,23.6695788547908,NA,23.9200911127938,23.7443688751911,24.3303175059545,24.0471010844998,24.23573280294,NA,23.4784158000703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.171837629081228,0.336314788415732,0.427287294400984
