"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech01_rep1","LFQ intensity 180808_AM_Ech02_rep1","LFQ intensity 180808_AM_Ech03_rep1","LFQ intensity 180808_AM_Ech04_rep1","LFQ intensity 180808_AM_Ech01_rep2","LFQ intensity 180808_AM_Ech02_rep2","LFQ intensity 180808_AM_Ech03_rep2","LFQ intensity 180808_AM_Ech04_rep2","LFQ intensity 180808_AM_Ech01_rep3","LFQ intensity 180808_AM_Ech02_rep3","LFQ intensity 180808_AM_Ech03_rep3","LFQ intensity 180808_AM_Ech04_rep3","LFQ intensity 180808_AM_Ech05_rep1","LFQ intensity 180808_AM_Ech06_rep1","LFQ intensity 180808_AM_Ech07_rep1","LFQ intensity 180808_AM_Ech08_rep1","LFQ intensity 180808_AM_Ech05_rep2","LFQ intensity 180808_AM_Ech06_rep2","LFQ intensity 180808_AM_Ech07_rep2","LFQ intensity 180808_AM_Ech08_rep2","LFQ intensity 180808_AM_Ech05_rep3","LFQ intensity 180808_AM_Ech06_rep3","LFQ intensity 180808_AM_Ech07_rep3","LFQ intensity 180808_AM_Ech08_rep3","LFQ intensity 180808_AM_Ech09_rep1","LFQ intensity 180808_AM_Ech10_rep1","LFQ intensity 180808_AM_Ech11_rep1","LFQ intensity 180808_AM_Ech12_rep1","LFQ intensity 180808_AM_Ech09_rep2","LFQ intensity 180808_AM_Ech10_rep2","LFQ intensity 180808_AM_Ech11_rep2","LFQ intensity 180808_AM_Ech12_rep2","LFQ intensity 180808_AM_Ech09_rep3","LFQ intensity 180808_AM_Ech10_rep3","LFQ intensity 180808_AM_Ech11_rep3","LFQ intensity 180808_AM_Ech12_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2A432","sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1","Cul4b","Cullin-4B",NA,22.8347268304231,22.095074146476,22.6870337439205,NA,NA,NA,NA,22.5722225171846,NA,NA,NA,NA,NA,NA,NA,NA,22.4194051468132,NA,22.3636228380271,NA,NA,NA,NA,NA,NA,22.5047693318235,22.2397863725099,NA,NA,NA,NA,NA,22.2921556544012,22.4910854837484,22.4847531078882,-0.155750317080866,0.415048979058554,0.67746909043579,-0.155750317080866,0.67746909043579,0.0109959976540921,0.951800145212772,0.975180689336676
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",25.4100247889034,24.9766435667518,26.7025923571214,25.3637870803536,26.6006963946449,24.782006293347,26.0874560729327,25.5203465941475,25.9411434477303,26.4005999892907,26.8341656896288,25.3962119867373,27.7988525786081,26.9281912206842,27.5727800602719,26.0572722330291,27.4180469727726,26.1964139087316,26.5634755628586,26.0628583502337,27.9751742376418,26.7065805337076,26.7695002378932,27.0169412819653,25.1667777944367,26.6648119255502,25.7104908487874,26.3537151593784,26.1137033977734,26.4164053994309,25.0700033703538,26.3278173007806,26.5090398124905,26.4881717735943,25.0091375101812,26.2760300887067,1.08753440973404,0.000131585853241403,0.00379251813298794,1.08753440973404,0.00379251813298794,-0.913331899744463,0.000968070939836983,0.00972615873826828
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",26.0526004654659,26.8936014378495,27.1310431734986,27.0801176700345,26.151264997947,26.8389734406855,27.2164008983897,27.0062566094679,26.3493163697491,27.0162086018955,27.335395923041,27.1763807204839,27.3286761176762,26.7847101643575,27.0356784219649,26.6272786652472,27.0199008233483,26.4899021365883,27.0519918915718,26.6424200080809,27.2212967856764,27.1478523230362,27.0285047666909,26.7332083748403,26.3512907480961,26.0328073910049,26.3265074661929,26.8014711943214,26.5117630911458,26.2798022336905,26.4098304305272,26.7079970712753,26.2770270853714,26.3959798319245,26.46785412463,26.8252151057872,0.0719883475475669,0.57454254408523,0.776364237025145,0.0719883475475669,0.776364237025145,-0.476989558759303,0.000604083277555987,0.00695020545145061
"A2AGT5","sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1","Ckap5","Cytoskeleton-associated protein 5",25.7401539973579,25.4837828878107,25.3166472990338,25.3955548458536,25.2604656620342,25.2304093010964,25.6357884771296,25.5593902207912,25.1967544354365,25.2921459198978,25.573841941556,NA,25.4753599008771,25.3357471385936,25.4525443411801,25.305767152982,25.3113110758919,25.3070634742819,25.5066812195384,25.461144440282,25.3344524038416,25.2059636869411,25.5259117711573,25.3580509023312,25.1740087821859,25.3469271739436,NA,25.4112442366848,25.3559245256902,25.3252589098798,25.5593903324894,25.449004763353,25.2970281824828,25.4445654291552,25.494901869774,25.4041374142274,-0.0442367217355439,0.463404561362328,0.716382335807175,-0.0442367217355439,0.716382335807175,0.0058236882690359,0.922801946433101,0.966171163151005
"A2AJI0","sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1","Map7d1","MAP7 domain-containing protein 1",23.1786161938016,23.7317824481492,22.5098036281885,23.0319111545593,22.7142930056188,23.2337755216834,NA,22.928193292127,23.1898181873377,23.7570253284545,22.5434875122897,23.1224645269993,22.9249786661374,23.1917168821764,23.2063396353921,NA,23.0823448601501,22.932184472058,23.1958218841859,23.2327724059568,22.9968210498394,23.0600099592358,23.4497878866783,22.700888025605,22.6492998283051,23.4550989843541,22.6890312284847,23.2622443128304,22.6153178211812,22.9323494652807,22.1347476388993,23.398807236093,NA,23.1503439263323,22.5242825794252,22.4573445766182,0.00295408438237743,0.984246191821823,0.989809524041258,0.00295408438237743,0.989809524041258,-0.245890739055547,0.107048421974093,0.274995244890706
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",27.0993465919,27.2852372084286,27.1089220629503,27.2250438224798,26.9143273608255,26.6287557332952,27.3441811105728,27.3480133957337,27.0071539716946,26.6104798724341,27.2380129905623,27.2784748048803,27.5855366959943,27.3135605452812,27.6262489408095,27.3490543284599,27.4281018455291,27.2165909773956,27.5467140099576,27.4283693612525,27.4759133476248,27.1497484396427,27.6371553614681,27.2208325608276,27.2970351564962,27.1967634465117,26.8080028229731,27.0566791901512,27.0569823284856,26.8572014403352,26.8518698161946,27.1809819197634,27.2196576368826,27.4278612637675,26.9175347519847,27.0385326049579,0.324156457373814,0.000533908251607151,0.00999907120334446,0.324156457373814,0.00999907120334446,-0.339060336311608,0.000321383299705088,0.00415843962665399
"A2AN08","sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1","Ubr4","E3 ubiquitin-protein ligase UBR4",22.914209503354,22.7704620488917,NA,NA,22.9307697824181,22.9746014933299,NA,NA,NA,22.9857072054682,NA,NA,23.5340044316533,NA,22.9698988391219,NA,23.210088499891,NA,NA,NA,23.0136787069224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266767612704793,0.0606503474535003,0.223761978355592,0.266767612704793,0.223761978355592,NA,NA,NA
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",32.9911313663082,33.2893440550887,33.4041081483007,33.4585238903456,32.9536346927471,33.4050135630649,33.4068159073695,33.48136302247,33.0753685869107,33.4054639308935,33.3986813812117,33.4772041757696,33.8861118655545,33.4963973137065,33.5532934015527,33.3533269436953,33.8832316858904,33.3903176896957,33.5644633475224,33.3671887022672,33.8862131542556,33.4665813145887,33.5416359653467,33.3657665665042,33.1027478637512,33.3984254048018,32.9548507439307,33.4282855637879,33.1461487527622,33.3901447996365,32.9508072451223,33.4530336401059,33.0727797077128,33.4813326103092,32.9448114674843,33.4338334627097,0.250656269174982,0.0052785805486035,0.0447213074256685,0.250656269174982,0.0447213074256685,-0.33311055737213,0.000349396928082306,0.00442431613074635
"A2AUC9","sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1","Klhl41","Kelch-like protein 41",30.2134454356628,30.2411750939232,30.2799981191541,30.3827089782822,30.2226482878741,30.2620345244341,30.2550342050153,30.4466351123456,30.3425245908877,30.1656661189649,30.1855555295956,30.4236474647671,30.297248888809,30.2918868468085,30.6979183453661,30.5283244383811,30.3842974093821,30.2895626546896,30.6645889961303,30.4447633495048,30.4031018462605,30.2205603711225,30.6438741592775,30.5143446398954,30.2046634545031,30.2759068201676,29.920842750749,30.2806567879829,30.2255743917224,30.2105395712534,29.9321755677037,30.3553900710134,30.2198657162311,30.1400248271148,29.8863503606725,30.2851542726583,0.163283207060033,0.0110032744104888,0.0725061446493626,0.163283207060033,0.0725061446493626,-0.286943946154569,3.53758087402059e-05,0.000780455986639593
"A3KG59","sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1","Pm20d2","Peptidase M20 domain-containing protein 2",NA,NA,NA,NA,NA,NA,NA,23.0035263956615,NA,NA,NA,NA,NA,NA,24.2970673242945,NA,24.1236882354671,NA,NA,NA,NA,NA,NA,23.333414302759,NA,NA,NA,NA,NA,NA,23.855962188095,NA,NA,NA,NA,NA,0.914530225178744,0.0654413900568256,0.235282066284713,0.914530225178744,0.235282066284713,-0.0620944327452015,0.882363763432953,0.943948553991559
