"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech01_rep1","LFQ intensity 180808_AM_Ech02_rep1","LFQ intensity 180808_AM_Ech03_rep1","LFQ intensity 180808_AM_Ech04_rep1","LFQ intensity 180808_AM_Ech01_rep2","LFQ intensity 180808_AM_Ech02_rep2","LFQ intensity 180808_AM_Ech03_rep2","LFQ intensity 180808_AM_Ech04_rep2","LFQ intensity 180808_AM_Ech01_rep3","LFQ intensity 180808_AM_Ech02_rep3","LFQ intensity 180808_AM_Ech03_rep3","LFQ intensity 180808_AM_Ech04_rep3","LFQ intensity 180808_AM_Ech05_rep1","LFQ intensity 180808_AM_Ech06_rep1","LFQ intensity 180808_AM_Ech07_rep1","LFQ intensity 180808_AM_Ech08_rep1","LFQ intensity 180808_AM_Ech05_rep2","LFQ intensity 180808_AM_Ech06_rep2","LFQ intensity 180808_AM_Ech07_rep2","LFQ intensity 180808_AM_Ech08_rep2","LFQ intensity 180808_AM_Ech05_rep3","LFQ intensity 180808_AM_Ech06_rep3","LFQ intensity 180808_AM_Ech07_rep3","LFQ intensity 180808_AM_Ech08_rep3","LFQ intensity 180808_AM_Ech09_rep1","LFQ intensity 180808_AM_Ech10_rep1","LFQ intensity 180808_AM_Ech11_rep1","LFQ intensity 180808_AM_Ech12_rep1","LFQ intensity 180808_AM_Ech09_rep2","LFQ intensity 180808_AM_Ech10_rep2","LFQ intensity 180808_AM_Ech11_rep2","LFQ intensity 180808_AM_Ech12_rep2","LFQ intensity 180808_AM_Ech09_rep3","LFQ intensity 180808_AM_Ech10_rep3","LFQ intensity 180808_AM_Ech11_rep3","LFQ intensity 180808_AM_Ech12_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",25.4100247889034,24.9766435667518,26.7025923571214,25.3637870803536,26.6006963946449,24.782006293347,26.0874560729327,25.5203465941475,25.9411434477303,26.4005999892907,26.8341656896288,25.3962119867373,27.7988525786081,26.9281912206842,27.5727800602719,26.0572722330291,27.4180469727726,26.1964139087316,26.5634755628586,26.0628583502337,27.9751742376418,26.7065805337076,26.7695002378932,27.0169412819653,25.1667777944367,26.6648119255502,25.7104908487874,26.3537151593784,26.1137033977734,26.4164053994309,25.0700033703538,26.3278173007806,26.5090398124905,26.4881717735943,25.0091375101812,26.2760300887067,1.08753440973404,0.000131585853241403,0.00379251813298794,1.08753440973404,0.00379251813298794,-0.913331899744463,0.000968070939836983,0.00972615873826828
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",27.0993465919,27.2852372084286,27.1089220629503,27.2250438224798,26.9143273608255,26.6287557332952,27.3441811105728,27.3480133957337,27.0071539716946,26.6104798724341,27.2380129905623,27.2784748048803,27.5855366959943,27.3135605452812,27.6262489408095,27.3490543284599,27.4281018455291,27.2165909773956,27.5467140099576,27.4283693612525,27.4759133476248,27.1497484396427,27.6371553614681,27.2208325608276,27.2970351564962,27.1967634465117,26.8080028229731,27.0566791901512,27.0569823284856,26.8572014403352,26.8518698161946,27.1809819197634,27.2196576368826,27.4278612637675,26.9175347519847,27.0385326049579,0.324156457373814,0.000533908251607151,0.00999907120334446,0.324156457373814,0.00999907120334446,-0.339060336311608,0.000321383299705088,0.00415843962665399
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",32.9911313663082,33.2893440550887,33.4041081483007,33.4585238903456,32.9536346927471,33.4050135630649,33.4068159073695,33.48136302247,33.0753685869107,33.4054639308935,33.3986813812117,33.4772041757696,33.8861118655545,33.4963973137065,33.5532934015527,33.3533269436953,33.8832316858904,33.3903176896957,33.5644633475224,33.3671887022672,33.8862131542556,33.4665813145887,33.5416359653467,33.3657665665042,33.1027478637512,33.3984254048018,32.9548507439307,33.4282855637879,33.1461487527622,33.3901447996365,32.9508072451223,33.4530336401059,33.0727797077128,33.4813326103092,32.9448114674843,33.4338334627097,0.250656269174982,0.0052785805486035,0.0447213074256685,0.250656269174982,0.0447213074256685,-0.33311055737213,0.000349396928082306,0.00442431613074635
"D3YYU8","sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1","Obsl1","Obscurin-like protein 1",27.7934081259265,27.8907936896888,27.9479943464548,27.9597884570157,27.8107279283374,28.1683140895889,28.1389591536623,28.1795267033993,27.6277236925171,27.8325900212122,27.920637664069,28.1641072303887,28.2425003289102,27.9916655110417,28.3152602261426,28.1330757005928,28.521254438564,28.1650606767555,28.3350468388831,28.0910367049105,28.4202170008028,28.1945232962571,28.4489881495181,28.0286882127761,28.0502195851727,27.9595190790467,27.8595503801663,28.1300155064918,27.9185423689341,28.1859854524568,27.8374430284422,28.2565320026362,27.6827420432668,28.402740008488,27.7266406023738,28.3469110743076,0.287728831907824,0.00106839719407807,0.0154123514145721,0.287728831907824,0.0154123514145721,-0.210872996114301,0.013226032736828,0.0662850352618548
"E9PZQ0","sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1","Ryr1","Ryanodine receptor 1",29.0466492445269,29.1230992788827,29.1964769201485,29.2442654345931,29.0344322068689,29.1729336132006,29.4016056345028,29.2118396993466,28.7928152258049,29.0857708403895,29.1204615738694,29.1043259105438,29.6142934050658,29.1725748024059,29.7537991217949,29.4810391753496,29.6443978842952,29.2842464071598,29.6980432945266,29.4704227779318,29.6241077453334,29.2005051875621,29.7620897513959,29.4364414425977,29.1365756929362,29.2727086174607,28.8782709141347,29.342136003229,29.1600758214497,29.2398268869757,28.7781595625346,29.1483519805427,29.0498858078755,29.4005434261364,28.9610175857208,29.3331912117234,0.383940451061743,1.22523430970025e-05,0.000902025948693116,0.383940451061743,0.000902025948693116,-0.370101457058269,2.14520982634552e-05,0.00051008322537549
"E9Q414","sp|E9Q414|APOB_MOUSE Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1","Apob","Apolipoprotein B-100;Apolipoprotein B-48",25.4596376407734,25.4398316998514,26.397539587491,25.4426832798891,25.3420828586164,24.5763992430109,26.2468022120111,25.0452706922775,24.8952018411488,25.0650770113518,26.3769661727213,25.1448383687932,24.7718651916407,24.2367173971117,24.9431006624324,24.8027605331121,24.5865447522313,25.0078507952749,24.3005721886335,25.2910091998418,24.8409520045637,24.3342224760417,24.5688466475365,24.9750898529255,25.1760901486225,25.1817696228059,25.2940081396819,26.2139652184958,25.5091514327964,25.0188031374455,25.3369749291897,25.9795147214931,24.7284517999957,25.7951003786694,25.7036764727536,26.0012234740311,-0.7310665755492,0.000308252218188686,0.00664766147305903,-0.7310665755492,0.00664766147305903,0.773266481219569,0.000156183206476873,0.00243965008657306
"O08749","sp|O08749|DLDH_MOUSE Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",28.4809000702603,28.380507705064,28.5648296588372,28.3873694350729,28.3615414682166,28.319778069126,28.6413409399492,28.4343545946252,28.6773171168681,28.4416878158867,28.7143263864895,28.4417411417466,28.7564471068628,28.7306683826685,28.6324470594816,28.8302765374425,28.7299897709938,28.8338145512058,28.6819954258605,28.8445613191734,28.7797466866028,28.8693466430238,28.679368990507,28.8222454428649,28.7626117059671,28.3243632061499,28.1759631385586,28.3007647369128,28.8037283038157,28.5541369890599,28.2183626073371,28.2566203624611,28.5898070694362,28.635963605565,28.3159531375235,28.4099795782812,0.278767792878764,0.000117807049514608,0.00349330625991235,0.278767792878764,0.00349330625991235,-0.32022112296827,1.67989697703754e-05,0.000433130063959077
"O08807","sp|O08807|PRDX4_MOUSE Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1","Prdx4","Peroxiredoxin-4",28.359035901894,28.3198156028303,28.5766844785034,28.5694970003919,28.3945801416578,28.594233807969,28.6020938909918,28.5776887114132,28.3194775783363,28.7216954162877,28.6130178650978,28.5226953992494,28.1944964274716,28.3999650455811,28.3221449988198,28.1292560651791,28.1211472449433,28.1634140777095,28.2253531838464,28.1406891056879,28.1773115355401,28.3751296647017,28.3978249161658,28.2612682365206,28.2266790333194,28.3512345009651,28.7314846346728,28.5650185657924,28.2810416940785,28.3606354333124,28.6527444720807,28.4175639437506,28.1799956750727,28.2553897101351,28.5855461618305,28.4946998475503,-0.271876274371309,8.05698376272618e-05,0.0027304222751461,-0.271876274371309,0.0027304222751461,0.182836097532803,0.00505263009968367,0.0336104152229966
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O09161","sp|O09161|CASQ2_MOUSE Calsequestrin-2 OS=Mus musculus OX=10090 GN=Casq2 PE=1 SV=3","Casq2","Calsequestrin-2",30.2447198756886,30.4205294675785,30.1891663978925,30.4751812342992,30.3080104807479,30.4526946715263,30.1584524309065,30.5426153813192,30.2649026179786,30.6990131869729,30.1982798306888,30.5256061340968,31.0279595885468,30.4771435020068,30.7169523887695,30.5019624013547,31.0656212268998,30.5546922018844,30.7249724986057,30.5735962978013,30.9912653256433,30.4376698382547,30.6997305838699,30.5917379088086,30.3764490683081,30.7138714817405,30.031403318824,30.3808361682698,30.6285420077339,30.4999197083676,29.9078783846848,30.3398358158323,30.2622373221691,30.3832134268484,29.9291010200101,30.3474902539263,0.323677671062484,0.000771229453828177,0.0123802622851365,0.323677671062484,0.0123802622851365,-0.380210482144218,0.000118050480779078,0.00203732281344538
