"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech13_rep1","LFQ intensity 180808_AM_Ech13_rep2","LFQ intensity 180808_AM_Ech13_rep3","LFQ intensity 180808_AM_Ech14_rep1","LFQ intensity 180808_AM_Ech14_rep2","LFQ intensity 180808_AM_Ech14_rep3","LFQ intensity 180808_AM_Ech17_rep1","LFQ intensity 180808_AM_Ech18_rep1","LFQ intensity 180808_AM_Ech19_rep1","LFQ intensity 180808_AM_Ech20_rep1","LFQ intensity 180808_AM_Ech17_rep2","LFQ intensity 180808_AM_Ech18_rep2","LFQ intensity 180808_AM_Ech19_rep2","LFQ intensity 180808_AM_Ech20_rep2","LFQ intensity 180808_AM_Ech17_rep3","LFQ intensity 180808_AM_Ech18_rep3","LFQ intensity 180808_AM_Ech19_rep3","LFQ intensity 180808_AM_Ech20_rep3","LFQ intensity 180808_AM_Ech21_rep1","LFQ intensity 180808_AM_Ech22_rep1","LFQ intensity 180808_AM_Ech23_rep1","LFQ intensity 180808_AM_Ech24_rep1","LFQ intensity 180808_AM_Ech21_rep2","LFQ intensity 180808_AM_Ech22_rep2","LFQ intensity 180808_AM_Ech23_rep2","LFQ intensity 180808_AM_Ech24_rep2","LFQ intensity 180808_AM_Ech21_rep3","LFQ intensity 180808_AM_Ech22_rep3","LFQ intensity 180808_AM_Ech23_rep3","LFQ intensity 180808_AM_Ech24_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",25.7726337023777,25.8954375690521,25.4897854093731,25.4869127498104,25.6135462140984,25.7141091873861,26.6469916040012,26.626463148327,26.6148069728803,27.0094535556289,26.656313730021,26.4532823060199,26.7646819651653,27.0653035842856,26.8172881809649,26.667145844627,26.541313641764,27.1387816141359,26.1707316028976,25.9457056426016,26.2569291197304,26.1023271610265,25.9996304668744,26.0970908365527,26.1878620203331,26.0977770016365,26.115007013289,25.8226432424306,25.9820341807876,26.3396031836478,1.08808137363545,3.48955932338011e-13,3.08909084864934e-11,1.08808137363545,3.08909084864934e-11,-0.65704038966777,4.21960556903972e-10,1.1609943322815e-08
"A2AJI0","sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1","Map7d1","MAP7 domain-containing protein 1",22.5827045404411,22.6667324085009,22.2557124790734,22.491470620319,22.7874033577156,22.5531108858719,22.8658189248832,22.691968258287,23.1321318300219,22.6072762115739,22.6017069927797,22.9651411975481,22.7523677530901,22.7361626557989,22.9846580801047,22.5570774832191,22.802953465526,22.9674564904862,22.6233345241555,22.694029228641,22.1316291904266,22.2084378757165,22.6883512433122,23.0260525064844,22.2797563048539,22.7379763664678,22.5382564230702,22.4811344754433,22.2909211761029,NA,0.249204229956234,0.0269575237997178,0.0532561495681992,0.249204229956234,0.0532561495681992,-0.287222431821327,0.00319420128749581,0.00926510795138091
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6X935","sp|A6X935|ITIH4_MOUSE Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=2","Itih4","Inter alpha-trypsin inhibitor, heavy chain 4",NA,NA,NA,NA,NA,24.3267704365728,NA,NA,NA,NA,NA,23.2947996592641,23.7683470404896,23.9704101559942,NA,NA,NA,NA,24.1526923465399,NA,NA,24.3294889672002,NA,NA,24.3711586974997,NA,24.6602548593143,NA,NA,NA,-0.648918151323542,0.0477922800451181,0.0865590590636635,-0.648918151323542,0.0865590590636635,0.700546432389249,0.00547809998545569,0.0149022889434854
"D3Z4I3","sp|D3Z4I3|RBM24_MOUSE RNA-binding protein 24 OS=Mus musculus OX=10090 GN=Rbm24 PE=3 SV=1","Rbm24","RNA-binding protein 24;RNA-binding protein 38",24.0128469066627,24.1275606391201,24.1044361766976,23.7048823846166,24.1611205158179,24.1002784736399,24.3071055641789,24.5546332113516,NA,23.9678813551563,23.760003377774,24.4739607260771,24.2142629339575,24.2938355278199,NA,24.244072464239,24.2420356151253,24.3624531786964,NA,24.1720412292367,23.9744744733785,24.1484317081476,NA,NA,NA,23.9492773314804,24.1156611113635,23.8967902284453,23.9599730758915,23.5742470464167,0.206836879345122,0.0557693142260357,0.0983635248066417,0.206836879345122,0.0983635248066417,-0.268162369892586,0.00914969687774977,0.0230960893663775
"E9PV24","sp|E9PV24|FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1","Fga","Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain",26.6263871343166,26.7328397532385,26.6372031873061,27.0679352128901,26.9208464396905,27.2223077182118,25.6676277820072,26.1082599272614,26.4956503423894,26.3850759896889,25.1292964206951,26.0676230789374,26.5959185786084,26.1855462238796,25.1990125232268,26.1155894477034,26.5091248943578,26.2903367393791,26.8138105518534,26.9648180310651,26.872743703299,26.726776625396,26.8468772538895,26.9745191192087,26.8227598381265,26.7036663529148,26.854219828268,27.1072456048388,26.9316595751002,26.7671821064768,-0.805498078597743,2.73569954330028e-05,0.000118271289558028,-0.805498078597743,0.000118271289558028,0.803101386858529,1.28388180679532e-06,1.01500763237953e-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E9PZQ0","sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1","Ryr1","Ryanodine receptor 1",31.4798519531499,31.4668977528973,31.4761880070927,31.7643787061134,31.7666042333822,31.747249454793,31.1170668879616,30.9588386088767,30.980725325977,31.0281845932771,31.213515276549,30.9894380942249,31.0187384185455,31.0813868607559,31.1309908354831,30.9479538578249,31.0303350541634,31.0744109677224,31.6462839825428,31.623925026433,31.630229422902,31.2892511708722,31.6384546259446,31.5885106685413,31.6464505000061,31.315846337264,31.6530547606888,31.6347261397885,31.658883606368,31.28323448904,-0.569229619457989,1.19144617654705e-09,1.94289337035173e-08,-0.569229619457989,1.94289337035173e-08,0.503105495752489,2.09474040516572e-10,7.07801757955995e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
