"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech26_rep1","LFQ intensity 180808_AM_Ech27_rep1","LFQ intensity 180808_AM_Ech28_rep1","LFQ intensity 180808_AM_Ech29_rep1","LFQ intensity 180808_AM_Ech26_rep2","LFQ intensity 180808_AM_Ech27_rep2","LFQ intensity 180808_AM_Ech28_rep2","LFQ intensity 180808_AM_Ech29_rep2","LFQ intensity 180808_AM_Ech26_rep3","LFQ intensity 180808_AM_Ech27_rep3","LFQ intensity 180808_AM_Ech28_rep3","LFQ intensity 180808_AM_Ech29_rep3","LFQ intensity 180808_AM_Ech30_rep1","LFQ intensity 180808_AM_Ech31_rep1","LFQ intensity 180808_AM_Ech32_rep1","LFQ intensity 180808_AM_Ech33_rep1","LFQ intensity 180808_AM_Ech30_rep2","LFQ intensity 180808_AM_Ech31_rep2","LFQ intensity 180808_AM_Ech32_rep2","LFQ intensity 180808_AM_Ech33_rep2","LFQ intensity 180808_AM_Ech30_rep3","LFQ intensity 180808_AM_Ech31_rep3","LFQ intensity 180808_AM_Ech32_rep3","LFQ intensity 180808_AM_Ech33_rep3","LFQ intensity 180808_AM_Ech34_rep1","LFQ intensity 180808_AM_Ech35_rep1","LFQ intensity 180808_AM_Ech36_rep1","LFQ intensity 180808_AM_Ech34_rep2","LFQ intensity 180808_AM_Ech35_rep2","LFQ intensity 180808_AM_Ech36_rep2","LFQ intensity 180808_AM_Ech34_rep3","LFQ intensity 180808_AM_Ech35_rep3","LFQ intensity 180808_AM_Ech36_rep3","LFQ intensity 180808_AM_Ech25_rep1","LFQ intensity 180808_AM_Ech25_rep2","LFQ intensity 180808_AM_Ech25_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",30.717224715656,30.2339919864004,30.4346407072251,30.6042997683309,30.7246398644061,30.390367058093,30.4632215524646,30.653121748626,30.6245730322488,30.0677168712113,30.51541984313,30.7563422394154,30.6956855878495,30.6539535988608,30.5406106880682,30.3629439783239,30.7329382457588,30.721095422738,30.5078592465051,30.3235539806088,30.6832504954754,30.6968866245422,30.4807297042144,30.3283911347002,30.0183366317253,30.3526123679611,30.0743233977601,29.9309923996977,30.3050641020969,30.3701931898702,30.0352175254538,30.2401513574783,30.0903423885096,29.9494502706299,29.868009877178,30.0389008566387,0.0451949433698005,0.543791633642895,0.596079290723943,0.0451949433698005,0.596079290723943,-0.454525361887146,4.54566543897421e-07,2.12301783037162e-06
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",NA,NA,NA,24.4218493390811,NA,26.6514920117765,NA,NA,NA,NA,26.8746513376619,NA,25.9700793892943,26.711306595901,25.8582146653385,27.0508282099977,25.6863264257999,26.6268885356175,25.9337675860668,27.0413395852155,25.6907264535187,26.231504983555,26.1082593681148,26.9971764251755,NA,25.1794655080435,26.1441660267256,25.893965347333,25.6353354390041,25.5118525368121,24.5328132686789,24.8826759281933,24.6545597750616,26.0711685014805,26.1175541287378,26.3216108745542,0.342870622459767,0.426994318132116,0.481424363080825,0.342870622459767,0.481424363080825,-0.785065094273126,0.00840761994076637,0.0173596934767007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",26.5997733508926,26.9858505308177,26.8850004613744,27.0494800707094,26.8332988871003,26.9021522766528,26.8547093829944,27.1223237119906,27.053705823697,26.917628201836,26.8223497352544,27.1338334731907,28.4176545260408,28.1689947618776,28.2375509721858,28.3418636250478,28.4119286660493,28.3335771010138,28.4298711046204,28.2243261775343,28.5058260265994,28.3332802116393,28.3357886384676,28.1956814753439,27.6244349719896,27.29105865946,27.3757606465478,27.4916470451981,27.410398085994,27.1382333063295,27.5500182547009,27.3882527431422,27.5501157796678,27.2616820228541,27.4524679340766,27.4844070410298,1.39801978165915,3.75189411141619e-24,1.86263388305468e-22,1.39801978165915,1.86263388305468e-22,-0.909822232952472,4.33850601420838e-18,1.14178459865992e-16
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",35.7245983900079,35.3154439982797,35.4602778391191,35.564743230482,35.7107700824945,35.3254301473656,35.4874007973719,35.5595334611827,35.7078802178605,35.3563393018541,35.4881550476441,35.5791405944931,35.5578713247561,35.5390865967163,35.4793999365571,35.0653648550553,35.5812727050202,35.5278827855511,35.4943608101783,35.0687499619667,35.5766018009054,35.5452519380858,35.4678468726131,35.0877035546886,34.668294972447,35.2308733634458,34.931896633539,34.6820531088582,35.2576086659135,34.9571409507246,34.6669615721613,35.245588789165,34.9380069385836,34.8657080301526,34.8696861234123,34.8830294142147,-0.10735999717177,0.178246414364159,0.223935699352196,-0.10735999717177,0.223935699352196,-0.48287871495635,4.37294075580325e-07,2.05923105937226e-06
"A3KG59","sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1","Pm20d2","Peptidase M20 domain-containing protein 2",24.9835510946976,24.7444604981452,25.0045424715276,24.8400499953807,24.7653871226276,24.8449220068631,25.0153489924422,24.5352844942837,24.7088535947148,24.5726772577587,25.1283276887975,24.6554391164205,NA,NA,24.422178087433,23.6826262625337,NA,NA,NA,23.6084068642627,NA,NA,NA,23.1876427239429,24.6880597031997,24.4392247818445,24.0021496114143,24.6506107503,24.1772611296783,NA,24.6685286170227,24.4999012126421,24.1687524485268,24.4610732573848,24.6894775918646,24.6242637336237,-1.09135687659522,1.27636791835231e-07,3.68542256349757e-07,-1.09135687659522,3.68542256349757e-07,0.73563222795709,6.07434817131312e-05,0.000194802113501686
"D3YYU8","sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus OX=10090 GN=Obsl1 PE=1 SV=1","Obsl1","Obscurin-like protein 1",NA,26.0305895351845,NA,NA,23.148311264967,NA,NA,NA,NA,26.0377312251724,NA,NA,25.9232360098894,26.1208444745936,25.6266368753097,25.868707105862,26.0471531670016,26.3205215651662,26.1440348964504,26.2455279557981,26.072738524972,26.259270619687,26.1793155655348,25.8594100522013,24.8612372168026,23.1037757838883,22.86671624879,25.5363740274027,23.327938783668,25.066413956916,25.7316561170036,23.8310700759814,NA,25.8480518530618,NA,25.1129146167912,0.983405725930886,0.087352535072503,0.118654502627169,0.983405725930886,0.118654502627169,-1.5270015330083,0.000336185326471098,0.000939958298969781
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D3Z7P3","sp|D3Z7P3|GLSK_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1","Gls","Glutaminase kidney isoform, mitochondrial",NA,24.071601251883,NA,NA,24.2963305111586,23.9306481416564,NA,NA,NA,NA,NA,NA,23.8217115315407,23.9366055054548,23.6635805880026,NA,NA,23.8722779157197,NA,23.5836986673553,NA,23.8764057523401,23.7321921613553,NA,NA,NA,NA,NA,NA,23.9701862585811,NA,NA,24.5219357057206,NA,24.2872720624885,24.9653177203289,-0.315744903218107,0.0785218926358083,0.107227322774187,-0.315744903218107,0.107227322774187,0.652396205098562,0.000772170951539666,0.00203215783754407
