"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech01_rep1","LFQ intensity 180808_AM_Ech02_rep1","LFQ intensity 180808_AM_Ech03_rep1","LFQ intensity 180808_AM_Ech04_rep1","LFQ intensity 180808_AM_Ech01_rep2","LFQ intensity 180808_AM_Ech02_rep2","LFQ intensity 180808_AM_Ech03_rep2","LFQ intensity 180808_AM_Ech04_rep2","LFQ intensity 180808_AM_Ech01_rep3","LFQ intensity 180808_AM_Ech02_rep3","LFQ intensity 180808_AM_Ech03_rep3","LFQ intensity 180808_AM_Ech04_rep3","LFQ intensity 180808_AM_Ech05_rep1","LFQ intensity 180808_AM_Ech06_rep1","LFQ intensity 180808_AM_Ech07_rep1","LFQ intensity 180808_AM_Ech08_rep1","LFQ intensity 180808_AM_Ech05_rep2","LFQ intensity 180808_AM_Ech06_rep2","LFQ intensity 180808_AM_Ech07_rep2","LFQ intensity 180808_AM_Ech08_rep2","LFQ intensity 180808_AM_Ech05_rep3","LFQ intensity 180808_AM_Ech06_rep3","LFQ intensity 180808_AM_Ech07_rep3","LFQ intensity 180808_AM_Ech08_rep3","LFQ intensity 180808_AM_Ech09_rep1","LFQ intensity 180808_AM_Ech10_rep1","LFQ intensity 180808_AM_Ech11_rep1","LFQ intensity 180808_AM_Ech12_rep1","LFQ intensity 180808_AM_Ech09_rep2","LFQ intensity 180808_AM_Ech10_rep2","LFQ intensity 180808_AM_Ech11_rep2","LFQ intensity 180808_AM_Ech12_rep2","LFQ intensity 180808_AM_Ech09_rep3","LFQ intensity 180808_AM_Ech10_rep3","LFQ intensity 180808_AM_Ech11_rep3","LFQ intensity 180808_AM_Ech12_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",25.4100247889034,24.9766435667518,26.7025923571214,25.3637870803536,26.6006963946449,24.782006293347,26.0874560729327,25.5203465941475,25.9411434477303,26.4005999892907,26.8341656896288,25.3962119867373,27.7988525786081,26.9281912206842,27.5727800602719,26.0572722330291,27.4180469727726,26.1964139087316,26.5634755628586,26.0628583502337,27.9751742376418,26.7065805337076,26.7695002378932,27.0169412819653,25.1667777944367,26.6648119255502,25.7104908487874,26.3537151593784,26.1137033977734,26.4164053994309,25.0700033703538,26.3278173007806,26.5090398124905,26.4881717735943,25.0091375101812,26.2760300887067,1.08753440973404,0.000131585853241403,0.00379251813298794,1.08753440973404,0.00379251813298794,-0.913331899744463,0.000968070939836983,0.00972615873826828
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",26.0526004654659,26.8936014378495,27.1310431734986,27.0801176700345,26.151264997947,26.8389734406855,27.2164008983897,27.0062566094679,26.3493163697491,27.0162086018955,27.335395923041,27.1763807204839,27.3286761176762,26.7847101643575,27.0356784219649,26.6272786652472,27.0199008233483,26.4899021365883,27.0519918915718,26.6424200080809,27.2212967856764,27.1478523230362,27.0285047666909,26.7332083748403,26.3512907480961,26.0328073910049,26.3265074661929,26.8014711943214,26.5117630911458,26.2798022336905,26.4098304305272,26.7079970712753,26.2770270853714,26.3959798319245,26.46785412463,26.8252151057872,0.0719883475475669,0.57454254408523,0.776364237025145,0.0719883475475669,0.776364237025145,-0.476989558759303,0.000604083277555987,0.00695020545145061
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",27.0993465919,27.2852372084286,27.1089220629503,27.2250438224798,26.9143273608255,26.6287557332952,27.3441811105728,27.3480133957337,27.0071539716946,26.6104798724341,27.2380129905623,27.2784748048803,27.5855366959943,27.3135605452812,27.6262489408095,27.3490543284599,27.4281018455291,27.2165909773956,27.5467140099576,27.4283693612525,27.4759133476248,27.1497484396427,27.6371553614681,27.2208325608276,27.2970351564962,27.1967634465117,26.8080028229731,27.0566791901512,27.0569823284856,26.8572014403352,26.8518698161946,27.1809819197634,27.2196576368826,27.4278612637675,26.9175347519847,27.0385326049579,0.324156457373814,0.000533908251607151,0.00999907120334446,0.324156457373814,0.00999907120334446,-0.339060336311608,0.000321383299705088,0.00415843962665399
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",32.9911313663082,33.2893440550887,33.4041081483007,33.4585238903456,32.9536346927471,33.4050135630649,33.4068159073695,33.48136302247,33.0753685869107,33.4054639308935,33.3986813812117,33.4772041757696,33.8861118655545,33.4963973137065,33.5532934015527,33.3533269436953,33.8832316858904,33.3903176896957,33.5644633475224,33.3671887022672,33.8862131542556,33.4665813145887,33.5416359653467,33.3657665665042,33.1027478637512,33.3984254048018,32.9548507439307,33.4282855637879,33.1461487527622,33.3901447996365,32.9508072451223,33.4530336401059,33.0727797077128,33.4813326103092,32.9448114674843,33.4338334627097,0.250656269174982,0.0052785805486035,0.0447213074256685,0.250656269174982,0.0447213074256685,-0.33311055737213,0.000349396928082306,0.00442431613074635
"A2AUC9","sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1","Klhl41","Kelch-like protein 41",30.2134454356628,30.2411750939232,30.2799981191541,30.3827089782822,30.2226482878741,30.2620345244341,30.2550342050153,30.4466351123456,30.3425245908877,30.1656661189649,30.1855555295956,30.4236474647671,30.297248888809,30.2918868468085,30.6979183453661,30.5283244383811,30.3842974093821,30.2895626546896,30.6645889961303,30.4447633495048,30.4031018462605,30.2205603711225,30.6438741592775,30.5143446398954,30.2046634545031,30.2759068201676,29.920842750749,30.2806567879829,30.2255743917224,30.2105395712534,29.9321755677037,30.3553900710134,30.2198657162311,30.1400248271148,29.8863503606725,30.2851542726583,0.163283207060033,0.0110032744104888,0.0725061446493626,0.163283207060033,0.0725061446493626,-0.286943946154569,3.53758087402059e-05,0.000780455986639593
"E9PZQ0","sp|E9PZQ0|RYR1_MOUSE Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1","Ryr1","Ryanodine receptor 1",29.0466492445269,29.1230992788827,29.1964769201485,29.2442654345931,29.0344322068689,29.1729336132006,29.4016056345028,29.2118396993466,28.7928152258049,29.0857708403895,29.1204615738694,29.1043259105438,29.6142934050658,29.1725748024059,29.7537991217949,29.4810391753496,29.6443978842952,29.2842464071598,29.6980432945266,29.4704227779318,29.6241077453334,29.2005051875621,29.7620897513959,29.4364414425977,29.1365756929362,29.2727086174607,28.8782709141347,29.342136003229,29.1600758214497,29.2398268869757,28.7781595625346,29.1483519805427,29.0498858078755,29.4005434261364,28.9610175857208,29.3331912117234,0.383940451061743,1.22523430970025e-05,0.000902025948693116,0.383940451061743,0.000902025948693116,-0.370101457058269,2.14520982634552e-05,0.00051008322537549
"E9Q414","sp|E9Q414|APOB_MOUSE Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1","Apob","Apolipoprotein B-100;Apolipoprotein B-48",25.4596376407734,25.4398316998514,26.397539587491,25.4426832798891,25.3420828586164,24.5763992430109,26.2468022120111,25.0452706922775,24.8952018411488,25.0650770113518,26.3769661727213,25.1448383687932,24.7718651916407,24.2367173971117,24.9431006624324,24.8027605331121,24.5865447522313,25.0078507952749,24.3005721886335,25.2910091998418,24.8409520045637,24.3342224760417,24.5688466475365,24.9750898529255,25.1760901486225,25.1817696228059,25.2940081396819,26.2139652184958,25.5091514327964,25.0188031374455,25.3369749291897,25.9795147214931,24.7284517999957,25.7951003786694,25.7036764727536,26.0012234740311,-0.7310665755492,0.000308252218188686,0.00664766147305903,-0.7310665755492,0.00664766147305903,0.773266481219569,0.000156183206476873,0.00243965008657306
"O08528","sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1","Hk2","Hexokinase-2",27.4138267908935,27.4159731972595,27.6367116873697,27.3710223671847,27.4508155407829,27.7260710215815,27.5666805554408,27.5783359017228,27.4694605901575,27.7006049801181,27.5297993132557,27.4972703279103,27.7221913713098,27.9433694850608,27.6126702115775,27.8397167579022,27.726657626778,27.7429244176743,27.8019340669526,27.7927260272525,27.5857931812616,27.5273545366946,27.8566804357851,27.9014507819564,27.2532552006815,27.5920639364954,27.10379725816,27.2708354613879,27.5980173855455,27.6865282971409,27.2790716221426,27.2366017634379,27.4442020638129,27.4976042739534,27.2271464845603,27.420713026344,0.224741385544007,0.000874119721713181,0.0136222306996908,0.224741385544007,0.0136222306996908,-0.370302677211914,7.10467408319566e-07,4.60727349637537e-05
"O08715","sp|O08715|AKAP1_MOUSE A-kinase anchor protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Akap1 PE=1 SV=4","Akap1","A-kinase anchor protein 1, mitochondrial",24.7675135553233,24.92012402416,25.0950899404761,25.1137927511266,24.9338891634751,NA,25.2417527965164,24.8941920182027,24.6521117769784,NA,25.1058701638693,24.5908329823969,24.9117384782413,25.092372511832,25.3852482875826,25.3488858975402,24.8853424969685,24.6805072808549,25.0336633402715,25.1983155718489,NA,24.9501396713184,24.8394964728563,24.8330286010759,25.3119225095996,NA,NA,24.5068137634558,24.1578805348381,24.1906101280416,24.5985392610717,24.2135730603179,24.7535051251109,24.9379628697915,24.6238714663742,24.7463225735408,0.0829138655102923,0.48160176455943,0.722064443352797,0.0829138655102923,0.722064443352797,-0.410330653548566,0.00131703931161847,0.0124023343672586
