Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000000214;0.030943468199231473;0.03221213475254814;0.46998237764392714;0.1452396405986967;0.011946551218973232;0.03829377158165048;WT treated;3.5938953037200188;-1.5541952808357504;OUI;OUI
ENSMUSG00000000305;4.349559284324742;3.022505637389613;1.1893936444011717;2.6009121907505874;0.01345608893192653;0.011097754775138035;WT treated;-1.6240816658519808;1.2646859626187807;OUI;OUI
ENSMUSG00000000320;0.948641750467206;0.856015026134324;5.391526173701149;2.5536591843269805;2.0422812681994819e-13;2.5877279471049875e-05;WT treated;2.385197964829601;-0.9438554660937692;OUI;OUI
ENSMUSG00000000392;5.43134804642078;4.070865682708012;10.095346111757204;6.409523096124203;0.0002693291022927323;0.042760671773080246;WT treated;1.0460949763646292;-0.5263155675570373;OUI;OUI
ENSMUSG00000000555;16.783707240870857;13.183349959737157;41.80149128228272;25.81159424093419;4.535961733901851e-14;0.0001264964345952358;WT treated;1.3908607288277504;-0.5635483140864979;OUI;OUI
ENSMUSG00000000567;2.4741222113254637;3.636760224951871;10.857363512914624;4.2633343463680795;0.008664141914065676;0.002131120526470817;WT treated;1.2985738121969297;-1.2105919184009686;OUI;OUI
ENSMUSG00000000753;52.21712895398163;32.944206521037884;93.83508680659763;53.74881334416578;3.6144525097729256e-09;0.010966336838455692;WT treated;1.244716760325061;-0.6699813343265719;OUI;OUI
ENSMUSG00000000794;4.040721774816575;3.1957030150393013;33.36872759512836;10.326641825592144;6.052860718104773e-15;0.0009109010991515043;WT treated;3.114177519588523;-1.5551422637700218;OUI;OUI
ENSMUSG00000000957;9.415735356931089;9.075235154273606;23.669459630199086;13.750488535995416;7.078157711399349e-06;0.005467092156732072;WT treated;1.114310434706556;-0.6521923389785118;OUI;OUI
ENSMUSG00000001020;1.916583813122115;1.8679945525373873;31.08367321400345;4.105818087465345;7.185066421431354e-22;2.782040563781914e-10;WT treated;3.7944422008666474;-2.77834677916673;OUI;OUI
ENSMUSG00000001025;20.18264634271352;18.26199719193994;68.30955124994267;32.21548877187425;1.1250782506285195e-28;1.0938255473137154e-18;WT treated;1.6278882927808125;-0.951608476992677;OUI;OUI
ENSMUSG00000001119;78.98937264287663;61.417568800517614;171.47904796491318;96.705174165295;2.269458534529726e-10;0.0022488866964190017;WT treated;1.215965053727119;-0.7000575636419003;OUI;OUI
ENSMUSG00000001131;0.8011745468602722;0.8142290706145823;19.689265915063604;2.9306885882273845;4.852720580663741e-64;1.0577907295436661e-16;WT treated;4.3124927227005;-2.617343818524924;OUI;OUI
ENSMUSG00000001333;34.807277779712464;29.712313879211635;73.48879562104996;37.675531163174675;3.617255888353964e-05;8.67163138192574e-06;WT treated;1.0333396949700575;-0.8287176170183448;OUI;OUI
ENSMUSG00000001334;112.28678985112842;117.68536442479032;65.73455487847315;118.94984024780896;0.002277762364167805;0.0009109010991515043;WT treated;-1.1027420319940255;0.9832504414975788;OUI;OUI
ENSMUSG00000001435;12.223283539615085;9.456036478843869;23.822750732038802;14.902280963951863;1.8214504105808423e-08;0.024753280185524727;WT treated;1.065993227572038;-0.5504150773357861;OUI;OUI
ENSMUSG00000001473;10.430924368317774;10.395284560161764;109.76095772367789;21.068268630349266;2.2362755205188225e-28;9.596254320937197e-18;WT treated;3.1327262913388387;-2.250422070131541;OUI;OUI
