Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue;Pourcentage_Correction
ENSMUSG00000000320;1.8135394372061775;1.268936370905319;7.439436896931744;1.3319413300617866;0.0394423388524978;0.03252832939911497;WT;1.9782131413455488;-2.396484392698075;OUI;OUI;121.1438920002617
ENSMUSG00000002324;0.1642357259167928;0.26638727105595295;0.9711173606706885;0.3880507973565146;0.007070622559660268;0.015461366481829353;WT;2.019219118549407;-1.134013343151584;OUI;OUI;56.16098481697427
ENSMUSG00000005148;2.243948860807112;3.494436365077281;22.989948015400387;8.585203973221999;0.007577659855429201;0.020750876710789467;WT;3.3002519258763416;-1.4106332886992519;OUI;OUI;42.743200214851576
ENSMUSG00000005320;3.8076901061293897;4.19846289121904;0.3941476926430262;3.062422369051468;0.020663665017244797;0.0413006375507726;WT;-2.9833018516735548;2.678015855786118;OUI;OUI;89.76684184291148
ENSMUSG00000008136;0.7743234190605119;4.685599108810431;2.8939750833405458;7.828303592403676;0.03038274614111455;0.03785615818854269;WT;1.775823267225134;1.4049499926354017;OUI;OUI;79.11541749532284
ENSMUSG00000020098;0.1229511850275016;0.23575397584262525;1.7251373896282887;0.5226981048347856;0.008229982458114024;0.015572913014750665;WT;3.033205295875165;-1.5514002753253153;OUI;OUI;51.14722293685764
ENSMUSG00000021095;0.04078379490895247;0.5160810743660771;0.20643322440340883;0.5592077964130756;0.005932309742429071;0.04151589159581771;WT;1.1220914466858707;1.1051605782550342;OUI;OUI;98.49113283362477
ENSMUSG00000022408;0.08964870838198424;0.20591346062696275;0.6031355963691634;0.2091144065431264;0.013044061068015023;0.03217145907127275;WT;1.8904733869593588;-1.1856620392247184;OUI;OUI;62.717732329708284
ENSMUSG00000022871;0.19789384753484213;0.09884270985637807;3.748861357055313;0.5833947076666626;0.02974384533729598;0.039504638855329934;WT;3.6915614708815716;-2.4936407231716267;OUI;OUI;67.54975481691301
ENSMUSG00000024736;5.126208985117401;22.917068204572733;10.435971998835665;29.429095893138086;0.015617131623659906;0.03555085088360307;WT;1.0114866952333073;1.4868137689429204;OUI;OUI;146.99291394337578
ENSMUSG00000024912;0.025154559011864964;0.21144224649711213;2.6846839852256683;1.232681232820589;0.0035578023522246467;0.01178117101453919;WT;4.4757308650175;-1.06318187519546;OUI;OUI;23.754374581988174
ENSMUSG00000025170;8.859895193612044;11.48711437388671;38.54213973201632;17.69398603326217;0.013550315817208015;0.03075277153699109;WT;2.108621220879627;-1.1187852576454844;OUI;OUI;53.05766849146089
ENSMUSG00000025352;4.6332173180559195;14.235136410362042;33.09416509087545;11.861096909326928;0.01231596243211088;0.02197422714688825;WT;2.810036597507911;-1.472579965244249;OUI;OUI;52.40429843604769
ENSMUSG00000025420;0.31884341723569154;0.3657143908393127;8.746290781831716;2.941659778466915;0.001532452073683996;0.001382105809005892;WT;4.4005897604459525;-1.54021387408736;OUI;OUI;35.00016946776866
ENSMUSG00000025610;10.960588586802888;21.532567418068155;84.02894097567388;35.46004636564328;0.009490490034529613;0.026123216572748346;WT;2.927174023274353;-1.2423449783365776;OUI;OUI;42.441787472630885
ENSMUSG00000027224;0.3222231160997961;2.984045808764145;0.7785537582758939;2.767472971221695;0.046691920304852884;0.04978999581662955;WT;1.0571250004437358;1.7065774156197497;OUI;OUI;161.43572550919183
ENSMUSG00000027254;8.366054700530078;25.782934709727584;74.32572621066782;35.59373868374018;0.010877203431530891;0.039080675218328434;WT;3.1360396783788174;-1.0601303715677084;OUI;OUI;33.80474993791206
ENSMUSG00000028736;4.892427489623225;3.7398597919282617;0.8640709216055891;1.8928702649925113;0.0026166190191558468;0.0261652429353149;WT;-2.372530287088795;1.0476366074738723;OUI;OUI;44.156932905493136
ENSMUSG00000029651;0.2566844071879818;0.4160534272386714;1.0307947749457647;0.4569392974533404;0.01684082806840901;0.029074391040023594;WT;1.6646170685941288;-1.021745124622007;OUI;OUI;61.380190272296765
ENSMUSG00000030323;8.37372230474224;10.728276634601233;41.835316970747776;18.44376851714653;0.020306195225188173;0.049364076231715404;WT;2.307098005271802;-1.1772312984771731;OUI;OUI;51.026497152565355
ENSMUSG00000030584;0.5256756942608891;0.38073830518756835;1.9431916243680962;0.6420898031941896;0.00377844976916217;0.007861095984959706;WT;1.7073375505441566;-1.4611588274403822;OUI;OUI;85.58113339209785
