Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000000290;1.9434233017712437;0.0;5.3435703693636185;2.2224340242149005;0.023312295019755142;0.034162459068192305;WT;1.4135651134731906;-1.2289155944050065;OUI;OUI
ENSMUSG00000000305;1.7669606163216574;0.0;0.468435384909984;1.0823022986847397;0.03988569324674792;0.16640989180948965;WT;-1.7156232243560026;1.056530690498327;OUI;NON
ENSMUSG00000000320;1.642670752975239;0.0;6.0713264381007255;0.6658824451237432;0.019494927808383525;0.01328174296425151;WT;1.8242805859843791;-3.010385733524687;OUI;OUI
ENSMUSG00000000392;5.672558100219582;0.0;15.200965598286638;11.81244319336555;0.010227741787909323;0.6725806610870939;WT;1.4063400062040778;-0.36115336557034095;OUI;NON
ENSMUSG00000000409;0.08865951578280074;0.0;0.2827269172844096;0.045880028452521496;0.018623219062299915;0.006456058399450604;WT;1.020530499727565;-1.3915329835242523;OUI;OUI
ENSMUSG00000000567;0.750101212557595;0.0;3.254072349425045;1.9755354536812098;0.01181107652158651;0.14482780779690133;WT;1.980207286042244;-0.6924302332256091;OUI;NON
ENSMUSG00000001247;0.32286734726265626;0.0;0.9344990174577033;0.7560601348654458;0.04580178919145611;0.6315305585573197;WT;1.2906552064104306;-0.2731482259970406;OUI;NON
ENSMUSG00000001281;0.8301793238946231;0.0;1.9864798324433772;1.3465860785972634;0.034197985255531575;0.17425590643349034;WT;1.1654901988424846;-0.5284188029413939;OUI;NON
ENSMUSG00000001348;0.25858742164652737;0.0;2.0551727558612605;10.517145438976799;0.033525570097531224;0.4673276193337642;WT;2.5874067304601693;2.3005205068605252;OUI;NON
ENSMUSG00000001349;2.0180526138511716;0.0;5.346675275213213;1.2357572646932469;0.03890441976578199;0.021608394290075484;WT;1.3626374305610207;-2.0277179943807533;OUI;OUI
ENSMUSG00000001444;0.7436666314205684;0.0;0.32105801534707984;0.13604361324583408;0.010998633204031915;0.1580164788736755;WT;-1.0026540130700685;-0.8349655805489885;OUI;NON
ENSMUSG00000001517;0.3972130889721008;0.0;1.185859774927183;0.5121595365090819;0.010346191412129245;0.032473976237202364;WT;1.3707971425548504;-1.070753731446787;OUI;OUI
ENSMUSG00000001865;0.9320464734237857;0.0;3.3294688397355356;0.8416900524355707;0.006641007453190465;0.004990959012022844;WT;1.7324772100542132;-1.8646609524623385;OUI;OUI
ENSMUSG00000002111;0.9534670103364313;0.0;2.438191606049045;1.7094991184876203;0.040634629272150787;0.3592481022875597;WT;1.268655844785598;-0.48821057629182896;OUI;NON
ENSMUSG00000002602;19.648870646747056;0.0;53.26522445474494;19.077183709225267;0.011921069080068151;0.0058750561623103804;WT;1.434129759157674;-1.4765090462454264;OUI;OUI
ENSMUSG00000002668;0.9122477589750067;0.0;1.9761367630731295;1.1384331197928306;0.0237155767563778;0.02628555823934608;WT;1.03633903364752;-0.7453855231268113;OUI;NON
ENSMUSG00000002769;0.7636202354155611;0.0;1.6995317090139528;0.8773648136401835;0.011591941360233034;0.030339589936464524;WT;1.0591525712482226;-0.8806524519874058;OUI;NON
