Ensembl Gene ID;Base mean expression;Log2FC;Adjusted p-value;Gene name
ENSMUSG00000000244;23.3351637440948;2.46712443721073;0.00631193233606364;Tspan32
ENSMUSG00000000305;69.5017348112619;-2.3799904128813;7.59350369375104e-05;Cdh4
ENSMUSG00000000628;16972.5607221478;-1.09908811104239;0.000117485220332804;Hk2
ENSMUSG00000000682;114.465633130613;2.32690922136955;0.0384344376496549;Cd52
ENSMUSG00000000791;6.84741241949692;5.78446978888235;0.00023585260389245;Il12rb1
ENSMUSG00000000792;11.9043811001747;-2.43788751507584;0.00357706246903281;Slc5a5
ENSMUSG00000001021;5.27707701876768;4.19908853539884;0.0105222834812528;S100a3
ENSMUSG00000001281;68.5093566400149;1.35656177211874;0.0446327494420311;Itgb7
ENSMUSG00000001300;400.243497180382;-1.17818766915673;0.0125369902154837;Efnb2
ENSMUSG00000001348;72.9819850863337;1.36702473760845;0.0284616414794032;Acp5
ENSMUSG00000002020;27.4761479657276;1.61786733970045;0.00341349769515023;Ltbp2
ENSMUSG00000002068;23.1321162673635;1.12990532684428;0.0386236564184518;Ccne1
ENSMUSG00000002076;157.589119360956;5.72653875146682;7.16343010038987e-22;Hsf2bp
ENSMUSG00000002111;54.6643894507163;1.44009844761096;0.0213792082251605;Spi1
ENSMUSG00000002204;28.6792381849662;2.33561889344946;0.0124727667568358;Napsa
ENSMUSG00000003283;25.0948021967378;1.93802708784509;0.0286750378100869;Hck
ENSMUSG00000003484;20.2610374756951;2.10452330769826;0.0145461676687939;Cyp4f18
ENSMUSG00000003644;229.758528289777;-1.05536997354054;0.00195340277445023;Rps6ka1
ENSMUSG00000003949;461.176759487121;-1.64624462956;0.000464220650054315;Hlf
ENSMUSG00000004267;61.9734743985545;1.20376831657133;0.0301091291144754;Eno2
ENSMUSG00000004347;26.6312742608287;-1.29007730762362;0.00789475745972457;Pde1c
ENSMUSG00000004446;36.2302583802807;1.51528015169733;0.00275888488305038;Bid
ENSMUSG00000004612;16.6532019569445;5.65001129653397;0.0209085527534271;Nkg7
ENSMUSG00000004730;141.809128549795;1.32405748154101;0.0188925354795532;Adgre1
ENSMUSG00000004902;5.56768066606883;2.34398600189752;0.0363118370866531;Slc25a18
ENSMUSG00000005087;537.254229667957;1.25378400307819;0.000876333691343938;Cd44
ENSMUSG00000005580;606.508506718763;-1.07070653740289;0.0351005065267896;Adcy9
ENSMUSG00000006216;15.7836522849276;1.88289155889233;0.00784201056375184;Clcnkb
ENSMUSG00000006221;52656.5606976674;1.13948630817119;0.0189510888428569;Hspb7
ENSMUSG00000006310;4.36183738813117;2.46369333756004;0.0458983969457788;Zbtb32
ENSMUSG00000006386;1020.16943629819;-1.07141603682691;0.0125751464950951;Tek
ENSMUSG00000006519;252.407473619695;1.1010816061029;0.00119448221500446;Cyba
ENSMUSG00000006575;14.053102296929;1.73189015716174;0.0458879306967705;Rundc3a
ENSMUSG00000006731;100.418808417974;1.75228537410888;0.00725128286447799;B4galnt1
ENSMUSG00000007107;10.6170269796493;-1.81881537131489;0.0360775893295518;Atp1a4
ENSMUSG00000010142;22.5829879739853;1.468366262198;0.0319979540662377;Tnfrsf13b
ENSMUSG00000010358;501.875825236897;1.09120944691268;9.52320898623279e-05;Ifi35
ENSMUSG00000012819;241.998159676309;-1.21638630330931;0.00323174512066291;Cdh23
ENSMUSG00000013483;45.299959675605;1.63308666506197;0.00488737045005219;Card14
ENSMUSG00000014453;4.74290738237442;2.76354751050238;0.044744186929946;Blk
ENSMUSG00000014813;75.1769831043529;-1.00153300279309;0.00533865368686926;Stc1
ENSMUSG00000015134;36.5791628646809;-1.31557673842942;0.0054655011247475;Aldh1a3
ENSMUSG00000015355;51.9623084572405;1.78313405951048;0.00144322385276313;Cd48
ENSMUSG00000015396;91.6838929473281;2.01067197253462;0.00508594470672344;Cd83
ENSMUSG00000015568;18594.125806671;-1.09931894518704;4.92416163147405e-11;Lpl
ENSMUSG00000015950;97.7971341090325;1.4449257005487;0.0211966244996719;Ncf1
ENSMUSG00000016194;204.285389667417;-1.83652899511843;4.91926792736046e-05;Hsd11b1
ENSMUSG00000017057;295.107201558607;1.61425917438886;7.41153691786863e-06;Il13ra1
ENSMUSG00000017344;864.291110378212;-1.03262063607854;0.0012238946625598;Vtn
ENSMUSG00000018008;143.209570014089;1.06384765618823;0.0164082582906935;Cyth4
ENSMUSG00000018459;12.1058329784568;2.22120040187564;0.010305239233391;Slc13a3
ENSMUSG00000018774;214.25269084364;1.17280619176471;0.00508079687197784;Cd68
ENSMUSG00000018830;2070.83018885676;-1.18921273740929;2.41413204335558e-16;Myh11
ENSMUSG00000018927;302.686801827607;1.76762258018955;0.000470363965955392;Ccl6
ENSMUSG00000019102;57.4050435372482;3.43840933855172;2.61429383836846e-05;Aldh3a1
ENSMUSG00000019122;265.628638096539;1.5373627111889;0.00285217669170357;Ccl9
ENSMUSG00000019256;138.080679088903;-1.19447973341713;0.0229451465311878;Ahr
ENSMUSG00000019832;50.9169252610257;1.19679904970436;0.0259123161224042;Rab32
ENSMUSG00000019876;8.11688557076353;2.24676607058858;0.0327232450460177;Pkib
ENSMUSG00000019889;388.409260416085;-1.26975360661867;8.77355666126607e-08;Ptprk
ENSMUSG00000019906;29.287964243227;-1.35844402763707;0.0406805353087275;Lin7a
ENSMUSG00000019997;1447.22265825933;2.10880666971933;8.55953261397244e-08;Ccn2
ENSMUSG00000020014;37.37192925;-1.33766868185309;0.000620337259459411;Cfap54
ENSMUSG00000020044;7514.45772463586;-1.12328285129183;1.18023165855721e-08;Timp3
ENSMUSG00000020120;129.629959344577;1.27052758112232;0.0496827782800613;Plek
ENSMUSG00000020143;99.7604009582726;1.75936289927454;0.0127175111846892;Dock2
ENSMUSG00000020154;2783.40771102124;-1.02544529826705;8.94636890119781e-05;Ptprb
ENSMUSG00000020279;5.03762778911533;3.59074950243333;0.0448264162507667;Il9r
ENSMUSG00000020437;100.734317053538;1.61405274849738;0.0241243838686054;Myo1g
ENSMUSG00000020534;205.948505860474;-1.25860369705189;2.87967977421387e-06;Shmt1
ENSMUSG00000020598;37.409047982586;1.55611540221419;0.00825304179546349;Nrcam
ENSMUSG00000020634;3091.09166257501;-1.05000284447218;1.51343763004352e-06;Ubxn2a
ENSMUSG00000020644;176.063401138781;1.50999326468666;0.000214986169316325;Id2
ENSMUSG00000020709;126.045448778701;-1.05874523633304;0.00101866620937706;Adap2
ENSMUSG00000020723;4.19004541416122;3.08370224541624;0.0270809974728637;Cacng4
ENSMUSG00000020901;68.6971131261298;1.65962071340954;0.0240173005377043;Pik3r5
ENSMUSG00000021097;150.99502823239;-1.07739092343314;0.0105672744474099;Clmn
ENSMUSG00000021108;503.981663489121;-1.03458925586245;7.45392769774571e-06;Prkch
ENSMUSG00000021185;729.213075458516;-1.25324919743531;0.000510569511635337;Dglucy
ENSMUSG00000021223;97.6354990232445;-1.55939593210305;0.00092673512242403;Papln
ENSMUSG00000021250;579.368843552678;2.03168612167257;0.0307868210815506;Fos
ENSMUSG00000021298;65.3685092181106;3.2422833602376;0.0119574860210795;Gpr132
ENSMUSG00000021314;35.6546864397426;-1.11975490348372;0.00479895827027126;Amph
ENSMUSG00000021423;83.19636992091;2.00083236512381;0.00177519081839182;Ly86
ENSMUSG00000021456;1316.37126496278;-1.06221834222332;1.53270090794851e-19;Fbp2
ENSMUSG00000021573;355.09455500506;-1.19173720701175;0.000983583446495129;Tppp
ENSMUSG00000021587;30.7901210685255;-1.21646374990024;0.0208178068653586;Pcsk1
ENSMUSG00000021684;68.5402691519091;-1.20722416014242;0.00395496715783265;Pde8b
ENSMUSG00000021699;2370.57798912196;-1.34353931842657;0.000157798928655268;Pde4d
ENSMUSG00000021728;94.8071761000564;1.88675154119405;0.00703127992798608;Emb
ENSMUSG00000021815;530.179344254164;1.79884791214124;0.0311861636219236;Mss51
ENSMUSG00000021886;45.4329789197587;2.42434972101558;0.00887512725092225;Gpr65
ENSMUSG00000021903;1112.57909527073;-1.00739269660203;0.000508402652294561;Galnt15
ENSMUSG00000022014;65.2357926669111;2.43959495433235;0.00365389476102209;Epsti1
ENSMUSG00000022033;6.09897067082188;2.2738987272104;0.0411479875195634;Pbk
ENSMUSG00000022296;28.7970984561458;2.97739725952727;7.38241915553088e-05;Baalc
ENSMUSG00000022416;10.5134118561471;1.96946039368561;0.0344366835837532;Cacna1i
ENSMUSG00000022436;42.8181705916919;1.25935005959367;0.0247094479029947;Sh3bp1
ENSMUSG00000022479;11.4818377169864;2.60248341169653;0.0338884321246755;Vdr
ENSMUSG00000022584;16.0823372181605;3.56720061588472;0.0102794100684285;Ly6c2
ENSMUSG00000022799;1135.60319563919;-1.11805930367471;2.32973130093896e-10;Arhgap31
ENSMUSG00000022876;23.1208486523083;2.73804066064827;0.000978616019323326;Samsn1
ENSMUSG00000022887;246.299634617212;-1.04508743566754;0.00178815211003008;Masp1
ENSMUSG00000022900;9.17345550044359;-2.26093643160191;0.0310922393182205;Ildr1
ENSMUSG00000022901;63.5072708372005;1.48996240484134;0.011842468729224;Cd86
ENSMUSG00000023039;14.4973478378707;2.73588438060466;0.0043800551604402;Krt7
ENSMUSG00000023043;363.56572492488;7.06120028293911;7.35868483128615e-19;Krt18
ENSMUSG00000023186;1209.13261271738;1.19164050442334;8.91081965116178e-06;Vwa5a
ENSMUSG00000023247;5.6090414292413;4.18044002740035;0.00253637515688151;Guca2a
ENSMUSG00000023484;42.1064486709349;2.31872503057776;0.00795425281440268;Prph
ENSMUSG00000023913;1103.46649823653;-1.29741399319062;2.80801176762549e-05;Pla2g7
ENSMUSG00000023968;33.3218573072172;1.71095825865135;0.0141145526623391;Crip3
ENSMUSG00000024013;74.9307611709353;1.16183731213196;0.0394593521192161;Fgd2
ENSMUSG00000024087;63.1112114709569;1.25728527782915;0.0391270537662453;Cyp1b1
ENSMUSG00000024186;38.7509256454627;1.99232589714582;0.00292834633076102;Rgs11
ENSMUSG00000024245;27.213096792689;-1.09215655567529;0.0178344112032165;Tmem178
ENSMUSG00000024268;19.9994392571582;1.24590069918766;0.0296838716304214;Celf4
ENSMUSG00000024292;18.8361334622535;5.40276461634113;3.7899829595294e-07;Cyp4f14
ENSMUSG00000024376;179.118705614709;-1.03535535551497;0.0172019038267202;Epb41l4a
ENSMUSG00000024397;47.2821265285638;2.78192437456831;0.000704952108373477;Aif1
ENSMUSG00000024399;14.7630530418302;2.96073860488305;0.0177210190518877;Ltb
ENSMUSG00000024521;22.8601291600171;2.41633201084887;0.0395046818497295;Pmaip1
