Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000000037;0.108890308084676;0.3809103459306709;0.3583470182206368;0.3821395129828172;0.0063190068041408;0.7932860484264264;WT;1.1336947310394725;0.0730103803177626;OUI;NON
ENSMUSG00000000739;2.6552412737412383;4.333276320552239;5.672503794230302;5.474426435170269;0.0480258603402361;0.8820736399627581;WT;1.0670185565742245;-0.0503738456275746;OUI;NON
ENSMUSG00000000753;53.64826571759639;306.8149355312003;115.70785699882197;220.209785595927;0.0236182991663241;0.1840725983954354;WT;1.1074430270058548;0.9278004408008496;OUI;NON
ENSMUSG00000000957;10.7846208781027;406.02890144662126;22.412840779337632;269.8624274410853;0.0024245392094502;0.0917934531503326;WT;1.0484569565954105;3.583938611647272;OUI;NON
ENSMUSG00000001707;8.343530842031592;8.80811235843772;17.59678660251959;11.916651378183992;0.0002304644797327;0.0011800535646559;WT;1.067569094463;-0.558452495061955;OUI;NON
ENSMUSG00000001794;157.62122855944338;201.1136744200616;362.60419889645743;292.19331033546746;0.0113578743494973;0.1678400082732977;WT;1.2014165935849783;-0.3113766361487131;OUI;NON
ENSMUSG00000002043;1.0770980486557022;1.9209303329377156;2.562371459384789;3.4360763940075487;0.0116102044367244;0.1217774945777079;WT;1.1774773755355754;0.4094375703124455;OUI;NON
ENSMUSG00000002257;1.0306786374718748;2.9801747558162828;2.520971972857268;3.3247272968996318;0.0166393003897785;0.3887396850734286;WT;1.2129129829417156;0.3858871877718756;OUI;NON
ENSMUSG00000002274;11.080512887295212;10.490917845213849;25.94033843781185;23.009517599545717;0.01900588667245;0.5189355716663948;WT;1.2197618279469389;-0.1722610543332894;OUI;NON
ENSMUSG00000002393;6.38645617349714;8.884773533371783;15.06607290563007;14.690644212460189;0.0078736199028985;0.8350316805415917;WT;1.225345170303751;-0.0361626723334697;OUI;NON
ENSMUSG00000002771;0.3840506488027787;2.5339572780384656;0.9655390273794556;2.1141492598959264;0.0183554012332219;0.133659567061667;WT;1.1383535181265567;1.0551690446189872;OUI;NON
ENSMUSG00000002804;3.0559744961441027;3.525841325329528;7.410842281550448;6.165271792169074;0.0031599157316577;0.1522469428257324;WT;1.2508891568636544;-0.2615976075558632;OUI;NON
ENSMUSG00000003062;3.7989056385670734;8.680995471901468;7.812193719313338;9.32001738398237;0.0026761907940997;0.3744467199925616;WT;1.0210085099486286;0.2516519732757725;OUI;NON
ENSMUSG00000003348;4.4859056687213;8.139594969795668;9.494566260061235;9.060004914063086;0.0347080119376221;0.8165494187572546;WT;1.0650109089845146;-0.0668692159391128;OUI;NON
ENSMUSG00000003355;0.423009506587291;3.391267338412896;1.0578358134666448;2.709962878117825;0.045544651358547;0.1210608706656988;WT;1.1465216116677823;1.2791203844768253;OUI;NON
ENSMUSG00000003380;36.99749252471744;43.39962526367263;77.96611790276609;71.72106884015798;0.0003849510946082;0.2363911504805954;WT;1.0733748524357465;-0.1202894053207689;OUI;NON
ENSMUSG00000003762;3.1684241354374825;4.318353931397342;7.110736610917664;5.488813346948253;0.0492728982169006;0.2947238038955845;WT;1.1415514344772806;-0.367604651902094;OUI;NON
ENSMUSG00000004849;9.691835799843384;13.73850916428939;20.097509280559823;17.75212049539101;0.0126691948392887;0.3347338011812194;WT;1.0445261227993996;-0.1780819440575038;OUI;NON
ENSMUSG00000004996;9.296942661346527;9.931781427659208;19.91348483877805;15.014667369026924;0.0097629672771247;0.0897446397902849;WT;1.0907090469660483;-0.4050231680350737;OUI;NON
ENSMUSG00000005202;0.1325792196253956;0.1497553974206831;0.3768799022336603;0.2296883227086361;0.035464254778086;0.2720475670778342;WT;1.0359037812940075;-0.5325231938187766;OUI;NON
ENSMUSG00000005686;13.492016144444008;16.618492582840762;29.50062435840533;37.01513048469516;0.0371086283371008;0.2143408588768318;WT;1.122868135320242;0.3263798343230645;OUI;NON
ENSMUSG00000005705;0.1060792684660599;0.1154733247495306;0.3710862937576479;0.3025966646445689;0.0363372559558221;0.5464764474571375;WT;1.192791980106035;-0.2266561372988639;OUI;NON
ENSMUSG00000005779;62.775355732768574;69.48516543470302;129.97443736490186;106.89816061835504;0.0025958794727164;0.0830379544860453;WT;1.0487709045161184;-0.2817514711823978;OUI;NON
ENSMUSG00000005950;14.458923982299153;13.651771783828345;33.89553871044071;22.2047274110855;0.0231809433825836;0.0816716076169581;WT;1.2234416984859195;-0.607995914720464;OUI;NON
ENSMUSG00000006019;3.643406964930392;6.033042018381425;7.742217311988599;7.49220120255243;0.0113233153563566;0.8002126932537288;WT;1.066909720725007;-0.0467433942145325;OUI;NON
ENSMUSG00000006095;12.713785764761528;17.034290538227722;26.075428981011537;23.025721869339048;0.004630687110351;0.2187072565816481;WT;1.0305164060096812;-0.1787147811795247;OUI;NON
ENSMUSG00000006958;3.463528768024067;4.6882280545043065;7.152634492986436;7.222304567958599;0.0060320462961727;0.95308303321377;WT;1.0251985728826494;0.0137926391060468;OUI;NON
ENSMUSG00000007594;0.0130388745171543;1.7154450517266275;0.1481265396092824;1.1878988958648806;0.0061672275057861;0.1159999745615767;WT;1.1342570475949598;2.375871382549564;OUI;NON
ENSMUSG00000007836;15.514057140321224;26.52166026049228;34.13228407498024;37.20787854904061;0.0007475448657707;0.3557765588803995;WT;1.1325121018582556;0.1241227697539898;OUI;NON
ENSMUSG00000008036;17.480644613887407;20.92454329675212;36.20257975344707;31.68984428632107;0.0011400993285976;0.1649630253328758;WT;1.0460841039655238;-0.191506123580612;OUI;NON
ENSMUSG00000008393;8.472596778642714;13.869129648172956;17.411382912008474;17.840755536827636;0.0107337737480974;0.8500315680281993;WT;1.0304888296497836;0.0349476265382838;OUI;NON
ENSMUSG00000009013;7.412218523060296;12.217950967202276;18.09266965316282;21.13767197814797;0.0027942674257395;0.3584493217453046;WT;1.2760463291205284;0.2232683656768614;OUI;NON
ENSMUSG00000009114;0.0515439529822345;0.0546193829335383;0.2234439177594184;0.7277963418607893;0.0138421156217781;0.0872002445823399;WT;1.0937792978753589;1.355760289453794;OUI;NON
ENSMUSG00000009614;1.3363032934466867;3.893448165721944;3.167485532066741;4.178110272786806;0.0012707256295561;0.3518121149512026;WT;1.1858204235243497;0.3887928219638447;OUI;NON
ENSMUSG00000009731;0.4915170208846723;2.4709898891364603;1.2137806420935244;2.160684394743751;0.0303004409465458;0.2269366547946041;WT;1.151232825639343;0.7830351837458843;OUI;NON
ENSMUSG00000010406;11.52397521726022;12.018816128234324;24.32241840271013;20.551136104954576;0.002704380795506;0.1521636179155856;WT;1.0711025364563649;-0.2419849161772922;OUI;NON
ENSMUSG00000010538;0.8568925008390945;1.2372821801491858;1.8733602619647265;1.4326990960207635;0.0115904852337182;0.1412572540764488;WT;1.044225598632932;-0.3645798717224747;OUI;NON
ENSMUSG00000011632;0.004957755953075;0.0;0.1194443581024461;0.0315091136344788;0.0481007997147933;0.0869433749938558;WT;1.0640463992062008;-0.7386923967671679;OUI;NON
ENSMUSG00000011884;7.752785814349043;14.578904551018056;16.89324925359714;17.901313162955407;0.0169229663674639;0.7068728234387909;WT;1.1136852813699003;0.0831404179206044;OUI;NON
ENSMUSG00000014776;42.660069367852856;37.71499594046325;88.50852144712026;70.15598551486875;0.0038020454575564;0.0702313819028831;WT;1.051181255390894;-0.3348243067470227;OUI;NON
ENSMUSG00000015247;1.2695223275277192;3.406552194089481;2.9302048781946795;3.824816770711257;0.0341378783931873;0.291694975756267;WT;1.1457425537762291;0.3732099631612288;OUI;NON
ENSMUSG00000015451;0.0709746537292042;0.1788569731881142;0.3060012293768304;0.2563545121691041;0.0250680705863268;0.5391738077727088;WT;1.247701628404014;-0.1881709039951346;OUI;NON
ENSMUSG00000015533;0.6999061063005644;4.601311147564732;1.6795136068702865;2.296818697814872;0.0224162484409836;0.532187458631214;WT;1.153580394104077;0.4296378192458259;OUI;NON
ENSMUSG00000015575;12.238840311666676;25.26181682399303;24.82776376777704;25.80786124089463;0.0175066538215297;0.8131723681809535;WT;1.0145466600869804;0.0556364556992223;OUI;NON
ENSMUSG00000016256;25.021353629712177;68.77276307700431;54.45500249817529;62.69737622928468;0.02390792898251;0.533465331899542;WT;1.1187972886092727;0.2029927897857135;OUI;NON
ENSMUSG00000016344;4.375742774824693;4.21393944836653;9.369972689812268;6.895389299118385;0.0046659634921015;0.0554980137694955;WT;1.0812331395053447;-0.43695591837253;OUI;NON
ENSMUSG00000016487;30.320064416195063;75.76834999864134;67.19818653320316;77.47112398640984;0.0185786450355576;0.35328867394268;WT;1.1455444213764523;0.2049520766613538;OUI;NON
ENSMUSG00000016541;26.105404957389425;38.58380542276873;54.77009819050613;52.46434516317868;0.0057455907997789;0.721185628885225;WT;1.0661557541206077;-0.06193561842758;OUI;NON
ENSMUSG00000016757;8.036760999129143;10.065141729571424;16.892102385957507;15.48759197201547;0.0009081898328094;0.3159539489870135;WT;1.0623378440546374;-0.1244662917794538;OUI;NON
